# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.312
metadata : {}


# id : NWRW1800000021.312.1.1
토종 과일브랜드 ‘썬플러스’ 아세요?

토종	토종/NNG
과일브랜드	과일/NNG+브랜드/NNG
‘썬플러스’	‘/SS+썬플러스/NNP+’/SS
아세요?	알/VV+시/EP+어요/EF+?/SF


# id : NWRW1800000021.312.2.1
미국에 ‘델몬트’ ‘썬키스트’ 등 유명 과일브랜드가 있다면 한국에는 ‘썬플러스’가 있다.

미국에	미국/NNP+에/JKB
‘델몬트’	‘/SS+델몬트/NNP+’/SS
‘썬키스트’	‘/SS+썬키스트/NNP+’/SS
등	등/NNB
유명	유명/NNG
과일브랜드가	과일/NNG+브랜드/NNG+가/JKS
있다면	있/VA+다면/EC
한국에는	한국/NNP+에/JKB+는/JX
‘썬플러스’가	‘/SS+썬플러스/NNP+’/SS+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.312.2.2
우리나라 전국 공동과일 브랜드인 썬플러스가 무명의 설움을 딛고 도약을 위한 첫걸음을 뗐다.

우리나라	우리나라/NNG
전국	전국/NNG
공동과일	공동/NNG+과일/NNG
브랜드인	브랜드/NNG+이/VCP+ㄴ/ETM
썬플러스가	썬플러스/NNP+가/JKS
무명의	무명/NNG+의/JKG
설움을	설움/NNG+을/JKO
딛고	딛/VV+고/EC
도약을	도약/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
첫걸음을	첫걸음/NNG+을/JKO
뗐다.	떼/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.312.3.1
한국과수농협연합회는 추석을 겨냥해 현대백화점에서 썬플러스라는 브랜드로 명품 과일 선물세트 판매를 시작했다고 27일 밝혔다.

한국과수농협연합회는	한국과수농협연합회/NNP+는/JX
추석을	추석/NNG+을/JKO
겨냥해	겨냥/NNG+하/XSV+아/EC
현대백화점에서	현대백화점/NNP+에서/JKB
썬플러스라는	썬플러스/NNP+이/VCP+라는/ETM
브랜드로	브랜드/NNG+로/JKB
명품	명품/NNG
과일	과일/NNG
선물세트	선물/NNG+세트/NNG
판매를	판매/NNG+를/JKO
시작했다고	시작/NNG+하/XSV+았/EP+다고/EC
27일	27/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.312.3.2
연합회는 추석 선물세트는 전국으로 팔려나가기 때문에 썬플러스 브랜드를 알릴 수 있는 절호의 기회가 될 것으로 기대했다.

연합회는	연합회/NNG+는/JX
추석	추석/NNG
