# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.230
metadata : {}


# id : NWRW1800000028.230.1.1
돈갚을 능력 ‘경보음’…대출문턱 높아지나

돈갚을	돈/NNG+갚/VV+을/ETM
능력	능력/NNG
‘경보음’…대출문턱	‘/SS+경보음/NNG+’/SS+…/SE+대출/NNG+문턱/NNG
높아지나	높아지/VV+나/EF


# id : NWRW1800000028.230.2.1
주요 은행 대출담당자들이 올 3분기에 중소기업과 가계의 신용위험이 커질 것으로 내다봤다.

주요	주요/NNG
은행	은행/NNG
대출담당자들이	대출/NNG+담당자/NNG+들/XSN+이/JKS
올	올/NNG
3분기에	3/SN+분기/NNG+에/JKB
중소기업과	중소기업/NNG+과/JC
가계의	가계/NNG+의/JKG
신용위험이	신용/NNG+위험/NNG+이/JKS
커질	커지/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
내다봤다.	내다보/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.230.2.2
중소기업과 가계의 신용위험이 상승하면서 일선 대출 창구는 돈을 빌리려는 수요에 비해 더 좁아질 것으로 예상된다.

중소기업과	중소기업/NNG+과/JC
가계의	가계/NNG+의/JKG
신용위험이	신용/NNG+위험/NNG+이/JKS
상승하면서	상승/NNG+하/XSV+면서/EC
일선	일선/NNG
대출	대출/NNG
창구는	창구/NNG+는/JX
돈을	돈/NNG+을/JKO
빌리려는	빌리/VV+려는/ETM
수요에	수요/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
더	더/MAG
좁아질	좁아지/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.230.3.1
한국은행이 6일 내놓은 ‘금융기관 대출행태 서베이 결과’를 보면, 올 3분기 대기업과 중소기업, 가계를 합쳐 산출한 신용위험지수 전망치는 ‘20’으로 2분기(16)에 비해 4포인트 상승했다.

한국은행이	한국은행/NNP+이/JKS
6일	6/SN+일/NNB
내놓은	내놓/VV+은/ETM
‘금융기관	‘/SS+금융/NNG+기관/NNG
대출행태	대출/NNG+행태/NNG
서베이	서베이/NNG
결과’를	결과/NNG+’/SS+를/JKO
보면,	보/VV+면/EC+,/SP
올	올/NNG
3분기	3/SN+분기/NNG
대기업과	대/XPN+기업/NNG+과/JC
중소기업,	중소기업/NNG+,/SP
가계를	가계/NNG+를/JKO
합쳐	합치/VV+어/EC
산출한	산출/NNG+하/XSV+ㄴ/ETM
신용위험지수	신용/NNG+위험/NNG+지수/NNG
전망치는	전망/NNG+치/XSN+는/JX
‘20’으로	‘/SS+20/SN+’/SS+으로/JKB
2분기(16)에	2/SN+분기/NNG+(/SS+16/SN+)/SS+에/JKB
비해	비/NNG+하/XSV+아/EC
4포인트	4/SN+포인트/NNG
상승했다.	상승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.230.3.2
이 조사는 지난달 한은이 16개 은행의 여신업무 총괄책임자와 면담 조사한 결과를 바탕으로 이뤄졌다.

이	이/MMD
조사는	조사/NNG+는/JX
지난달	지난달/NNG
한은이	한은/NNP+이/JKS
16개	16/SN+개/NNB
은행의	은행/NNG+의/JKG
여신업무	여신/NNG+업무/NNG
총괄책임자와	총괄/NNG+책임자/NNG+와/JKB
면담	면담/NNG
조사한	조사/NNG+하/XSV+ㄴ/ETM
결과를	결과/NNG+를/JKO
바탕으로	바탕/NNG+으로/JKB
이뤄졌다.	이뤄지/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.230.3.3
0을 기준치로 수치가 올라가면 그만큼 신용위험도가 높다는 뜻이며, 낮아지면 그 반대다.

0을	0/SN+을/JKO
기준치로	기준/NNG+치/XSN+로/JKB
수치가	수치/NNG+가/JKS
올라가면	올라가/VV+면/EC
그만큼	그만큼/MAG
신용위험도가	신용/NNG+위험도/NNG+가/JKS
높다는	높/VA+다는/ETM
뜻이며,	뜻/NNG+이/VCP+며/EC+,/SP
낮아지면	낮/VA+아/EC+지/VX+면/EC
그	그/MMD
반대다.	반대/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.230.4.1
