# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.319
metadata : {}


# id : NWRW1800000041.319.1.1
檢 “유우성씨 北에 노트북 보낸 새 증거 확보”

檢	檢/SH
“유우성씨	“/SS+유우성/NNP+씨/NNB
北에	北/SH+에/JKB
노트북	노트북/NNG
보낸	보내/VV+ㄴ/ETM
새	새/MMA
증거	증거/NNG
확보”	확보/NNG+”/SS


# id : NWRW1800000041.319.2.1
e메일 확인… 법원에 변론재개 신청

e메일	e/SL+메일/NNG
확인…	확인/NNG+…/SE
법원에	법원/NNG+에/JKB
변론재개	변론/NNG+재개/NNG
신청	신청/NNG


# id : NWRW1800000041.319.3.1
검찰이 서울시 공무원 간첩사건 피고인 유우성(류자강·34) 씨가 북한 국가안전보위부에 노트북컴퓨터를 건넨 혐의(국가보안법상 편의 제공)를 뒷받침할 새로운 증거를 확보했다며 항소심 재판부인 서울고법 형사7부(부장판사 김흥준)에 변론 재개를 신청했다.

검찰이	검찰/NNG+이/JKS
서울시	서울시/NNP
공무원	공무원/NNG
간첩사건	간첩/NNG+사건/NNG
피고인	피고인/NNG
유우성(류자강·34)	유우성/NNP+(/SS+류자강/NNP+·/SP+34/SN+)/SS
씨가	씨/NNB+가/JKS
북한	북한/NNP
국가안전보위부에	국가/NNG+안전/NNG+보위부/NNG+에/JKB
노트북컴퓨터를	노트북/NNG+컴퓨터/NNG+를/JKO
건넨	건네/VV+ㄴ/ETM
혐의(국가보안법상	혐의/NNG+(/SS+국가/NNG+보안법/NNG+상/XSN
편의	편의/NNG
제공)를	제공/NNG+)/SS+를/JKO
뒷받침할	뒷받침/NNG+하/XSV+ㄹ/ETM
새로운	새롭/VA+ㄴ/ETM
증거를	증거/NNG+를/JKO
확보했다며	확보/NNG+하/XSV+았/EP+다며/EC
항소심	항소심/NNG
재판부인	재판부/NNG+이/VCP+ㄴ/ETM
서울고법	서울고법/NNP
형사7부(부장판사	형사/NNG+7/SN+부/NNG+(/SS+부장/NNG+판사/NNG
김흥준)에	김흥준/NNP+)/SS+에/JKB
변론	변론/NNG
재개를	재개/NNG+를/JKO
