# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.34
metadata : {}


# id : NWRW1800000054.34.1.1
[월드 톡톡] 노인 돌봐줄 사람이 없어요… 일본으로 '간병 이민' 오세요

[월드	[/SS+월드/NNG
톡톡]	톡톡/MAG+]/SS
노인	노인/NNG
돌봐줄	돌보/VV+아/EC+주/VX+ㄹ/ETM
사람이	사람/NNG+이/JKS
없어요…	없/VA+어요/EF+…/SE
일본으로	일본/NNP+으로/JKB
'간병	'/SS+간병/NNG
이민'	이민/NNG+'/SS
오세요	오/VV+시/EP+어요/EF


# id : NWRW1800000054.34.2.1
외국인 근로자에 엄격한 일본, 간병인 하면 무기한 체류 허용

외국인	외국인/NNG
근로자에	근로자/NNG+에/JKB
엄격한	엄격/NNG+하/XSA+ㄴ/ETM
일본,	일본/NNP+,/SP
간병인	간병인/NNG
하면	하/VV+면/EC
무기한	무/XPN+기한/NNG
체류	체류/NNG
허용	허용/NNG


# id : NWRW1800000054.34.3.1
노인들을 돌보는 '간병복지사' 자격증을 따려고 일본으로 건너오는 아시아 유학생이 크게 늘고 있다고 요미우리신문이 14일 보도했다.

노인들을	노인/NNG+들/XSN+을/JKO
돌보는	돌보/VV+는/ETM
'간병복지사'	'/SS+간병/NNG+복지사/NNG+'/SS
자격증을	자격증/NNG+을/JKO
따려고	따/VV+려고/EC
일본으로	일본/NNP+으로/JKB
건너오는	건너오/VV+는/ETM
아시아	아시아/NNP
유학생이	유학/NNG+생/XSN+이/JKS
크게	크/VA+게/EC
늘고	늘/VV+고/EC
있다고	있/VX+다고/EC
요미우리신문이	요미우리신문/NNP+이/JKS
14일	14/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.34.3.2
외국인 노동력 유입을 까다롭게 규제하고 있는 일본 정부가 간병 분야만큼은 외국인 근로자를 적극 받아들이는 쪽으로 정책 방향을 바꾼 데 따른 것이다.

외국인	외국인/NNG
노동력	노동력/NNG
유입을	유입/NNG+을/JKO
까다롭게	까다롭/VA+게/EC
규제하고	규제/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
일본	일본/NNP
정부가	정부/NNG+가/JKS
간병	간병/NNG
분야만큼은	분야/NNG+만큼/JKB+은/JX
근로자를	근로자/NNG+를/JKO
적극	적극/NNG
받아들이는	받아들이/VV+는/ETM
쪽으로	쪽/NNB+으로/JKB
정책	정책/NNG
방향을	방향/NNG+을/JKO
바꾼	바꾸/VV+ㄴ/ETM
데	데/NNB
따른	따르/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.34.3.3
자국 일손만으로는 늘어나는 노인 인구를 감당할 수 없게 된 것이 주요인으로 꼽힌다.

자국	자국/NNG
일손만으로는	일손/NNG+만/JX+으로/JKB+는/JX
늘어나는	늘어나/VV+는/ETM
노인	노인/NNG
인구를	인구/NNG+를/JKO
감당할	감당/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없게	없/VA+게/EC
된	되/VV+ㄴ/ETM
것이	것/NNB+이/JKS
주요인으로	주요인/NNG+으로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.34.4.1
간병복지사는 노인들을 돌보는 훈련을 전문적으로 받은 인력이다.

간병복지사는	간병/NNG+복지사/NNG+는/JX
노인들을	노인/NNG+들/XSN+을/JKO
돌보는	돌보/VV+는/ETM
훈련을	훈련/NNG+을/JKO
전문적으로	전문/NNG+적/XSN+으로/JKB
받은	받/VV+은/ETM
인력이다.	인력/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.34.4.2
관련 학교에서 1850시간 동안 교육·실습을 받고, 3년 이상 현장 연수를 하면 간병복지사 시험에 응시할 자격이 생긴다.

관련	관련/NNG
학교에서	학교/NNG+에서/JKB
1850시간	1850/SN+시간/NNB
동안	동안/NNG
교육·실습을	교육/NNG+·/SP+실습/NNG+을/JKO
받고,	받/VV+고/EC+,/SP
3년	3/SN+년/NNB
이상	이상/NNG
현장	현장/NNG
연수를	연수/NNG+를/JKO
하면	하/VV+면/EC
간병복지사	간병/NNG+복지사/NNG
시험에	시험/NNG+에/JKB
응시할	응시/NNG+하/XSV+ㄹ/ETM
자격이	자격/NNG+이/JKS
생긴다.	생기/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.34.4.3
합격하면 요양원, 그룹홈, 노인병원 등지에서 일한다.

합격하면	합격/NNG+하/XSV+면/EC
요양원,	요양원/NNG+,/SP
그룹홈,	그룹홈/NNG+,/SP
노인병원	노인/NNG+병원/NNG
등지에서	등지/NNB+에서/JKB
일한다.	일/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.34.5.1
일본은 노인이 늘어 갈수록 간병복지사 일손이 달리는데, 이 분야에 지원하는 젊은이는 매년 줄고 있다.

일본은	일본/NNP+은/JX
노인이	노인/NNG+이/JKS
늘어	늘/VV+어/EC
갈수록	가/VX+ㄹ수록/EC
간병복지사	간병/NNG+복지사/NNG
일손이	일손/NNG+이/JKS
달리는데,	달리/VV+는데/EC+,/SP
