# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.302
metadata : {}


# id : NWRW1800000054.302.1.1
[경제포커스] '新사농공상'을 破(파)하라

[경제포커스]	[/SS+경제/NNG+포커스/NNG+]/SS
'新사농공상'을	'/SS+新/SH+사농공상/NNG+'/SS+을/JKO
破(파)하라	破/SH+(/SS+파/NNG+)/SS+하/XSV+라/EF


# id : NWRW1800000054.302.2.1
우리나라 1인당 국민총소득(GNI)은 지난해에도 2만달러 후반에 머물러 11년째 2만~3만달러 터널에 갇혔다.

우리나라	우리나라/NNG
1인당	1/SN+인/NNG+당/XSN
국민총소득(GNI)은	국민/NNG+총소득/NNG+(/SS+GNI/SL+)/SS+은/JX
지난해에도	지난해/NNG+에/JKB+도/JX
2만달러	2/SN+만/NR+달러/NNB
후반에	후반/NNG+에/JKB
머물러	머무르/VV+어/EC
11년째	11/SN+년/NNB+째/XSN
2만~3만달러	2/SN+만/NR+~/SO+3/SN+만/NR+달러/NNB
터널에	터널/NNG+에/JKB
갇혔다.	갇히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.302.2.2
독일과 일본의 탈출 기간(각 5년)과 견줘보면 배 넘게 긴 침체 국면이다.

독일과	독일/NNP+과/JC
일본의	일본/NNP+의/JKG
탈출	탈출/NNG
기간(각	기간/NNG+(/SS+각/MMD
5년)과	5/SN+년/NNB+)/SS+과/JKB
견줘보면	견주/VV+어/EC+보/VX+면/EC
배	배/NNG
넘게	넘/VV+게/EC
긴	길/VA+ㄴ/ETM
침체	침체/NNG
국면이다.	국면/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.302.2.3
반면 지난주 실시된 9급 공무원 공채 시험에는 17만여명이 응시해 정부 수립 후 사상 최대 기록을 세웠다.

반면	반면/NNG
지난주	지난주/NNG
실시된	실시/NNG+되/XSV+ㄴ/ETM
9급	9/SN+급/NNG
공무원	공무원/NNG
공채	공채/NNG
시험에는	시험/NNG+에/JKB+는/JX
17만여명이	17/SN+만/NR+여/XSN+명/NNB+이/JKS
응시해	응시/NNG+하/XSV+아/EC
정부	정부/NNG
수립	수립/NNG
후	후/NNG
