# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.125
metadata : {}


# id : NWRW1800000048.125.1.1
독재정권 에티오피아서 ‘인권’ 눈감은 오바마

독재정권	독재/NNG+정권/NNG
에티오피아서	에티오피아/NNP+서/JKB
‘인권’	‘/SS+인권/NNG+’/SS
눈감은	눈감/VV+은/ETM
오바마	오바마/NNP


# id : NWRW1800000048.125.2.1
총선서 야당·언론 탄압 힘입어

총선서	총선/NNG+서/JKB
야당·언론	야당/NNG+·/SP+언론/NNG
탄압	탄압/NNG
힘입어	힘입/VV+어/EF


# id : NWRW1800000048.125.3.1
집권당, 의회 의석 100% 장악

집권당,	집권당/NNG+,/SP
의회	의회/NNG
의석	의석/NNG
100%	100/SN+%/SW
장악	장악/NNG


# id : NWRW1800000048.125.4.1
“민주적으로 선출” 언급 논란

“민주적으로	“/SS+민주/NNG+적/XSN+으로/JKB
선출”	선출/NNG+”/SS
언급	언급/NNG
논란	논란/NNG


# id : NWRW1800000048.125.5.1
아프리카를 순방 중인 버락 오바마 미국 대통령이 집권 여당이 모든 의석을 장악하고 있는 에티오피아 독재 정부에 대해 “민주적으로 선출됐다”고 언급해 논란이 일고 있다.

아프리카를	아프리카/NNP+를/JKO
순방	순방/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
버락	버락/NNP
오바마	오바마/NNP
미국	미국/NNP
대통령이	대통령/NNG+이/JKS
집권	집권/NNG
여당이	여당/NNG+이/JKS
모든	모든/MMN
의석을	의석/NNG+을/JKO
장악하고	장악/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
에티오피아	에티오피아/NNP
독재	독재/NNG
정부에	정부/NNG+에/JKB
대해	대하/VV+아/EC
“민주적으로	“/SS+민주/NNG+적/XSN+으로/JKB
선출됐다”고	선출/NNG+되/XSV+었/EP+다/EF+”/SS+고/JKQ
언급해	언급/NNG+하/XSV+아/EC
논란이	논란/NNG+이/JKS
일고	일/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.125.6.1
오바마 대통령은 27일 에티오피아의 수도 아디스아바바에서 열린 하일레마리암 데살렌 에티오피아 총리와의 공동 기자회견에서 “우리는 에티오피아의 역사와 이 나라가 겪었던 고난에 매우 유념하고 있다”며 “선거를 통해 민주적으로 선출된 정부의 탄생이 앞당겨졌다”고 말했다.

오바마	오바마/NNP
대통령은	대통령/NNG+은/JX
27일	27/SN+일/NNB
에티오피아의	에티오피아/NNP+의/JKG
수도	수도/NNG
아디스아바바에서	아디스아바바/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
하일레마리암	하일레마리암/NNP
데살렌	데살렌/NNP
에티오피아	에티오피아/NNP
총리와의	총리/NNG+와/JKB+의/JKG
공동	공동/NNG
기자회견에서	기자/NNG+회견/NNG+에서/JKB
“우리는	“/SS+우리/NP+는/JX
역사와	역사/NNG+와/JC
이	이/MMD
나라가	나라/NNG+가/JKS
겪었던	겪/VV+었/EP+던/ETM
고난에	고난/NNG+에/JKB
매우	매우/MAG
유념하고	유념/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“선거를	“/SS+선거/NNG+를/JKO
통해	통하/VV+아/EC
민주적으로	민주/NNG+적/XSN+으로/JKB
선출된	선출/NNG+되/XSV+ㄴ/ETM
정부의	정부/NNG+의/JKG
탄생이	탄생/NNG+이/JKS
앞당겨졌다”고	앞당기/VV+어/EC+지/VX+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.125.6.2
이는 지난 5월말 치러진 총선에서 야당과 언론에 대한 탄압을 통해 집권 여당인 인민혁명민주전선이 의석을 100% 차지한 에티오피아 정부에 정당성을 부여해 준 것이라고 미국 언론들은 평가했다.

이는	이/NP+는/JX
지난	지나/VV+ㄴ/ETM
5월말	5/SN+월/NNB+말/NNB
치러진	치르/VV+어/EC+지/VX+ㄴ/ETM
총선에서	총선/NNG+에서/JKB
야당과	야당/NNG+과/JC
언론에	언론/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
탄압을	탄압/NNG+을/JKO
통해	통하/VV+아/EC
집권	집권/NNG
여당인	여당/NNG+이/VCP+ㄴ/ETM
