# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.360
metadata : {}


# id : NWRW1800000053.360.1.1
군사옵션 논의했나… 트럼프, 깨자마자 “준비됐다” 트윗

군사옵션	군사/NNG+옵션/NNG
논의했나…	논의/NNG+하/XSV+았/EP+나/EF+…/SE
트럼프,	트럼프/NNP+,/SP
깨자마자	깨/VV+자마자/EC
“준비됐다”	“/SS+준비/NNG+되/XSV+었/EP+다/EF+”/SS
트윗	트윗/NNG


# id : NWRW1800000053.360.2.1
한미 안보사령탑 “단계적 조치 공조” 문재인 대통령, 비공개로 대응 논의… 던퍼드 美합참의장 13일 방한

한미	한미/NNP
안보사령탑	안보/NNG+사령탑/NNG
“단계적	“/SS+단계/NNG+적/XSN
조치	조치/NNG
공조”	공조/NNG+”/SS
문재인	문재인/NNP
대통령,	대통령/NNG+,/SP
비공개로	비/XPN+공개/NNG+로/JKB
대응	대응/NNG
논의…	논의/NNG+…/SE
던퍼드	던퍼드/NNP
美합참의장	美/SH+합참/NNG+의장/NNG
13일	13/SN+일/NNB
방한	방한/NNG


# id : NWRW1800000053.360.3.1
“양측은 한미 안보와 국민 안전을 확보하기 위해 취할 단계별 조치에 대해 긴밀하고 투명하게 공조해 나간다는 약속을 재확인했다.”

“양측은	“/SS+양측/NNG+은/JX
한미	한미/NNP
안보와	안보/NNG+와/JC
국민	국민/NNG
안전을	안전/NNG+을/JKO
확보하기	확보/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
취할	취하/VV+ㄹ/ETM
단계별	단계/NNG+별/XSN
조치에	조치/NNG+에/JKB
대해	대하/VV+아/EC
긴밀하고	긴밀하/VA+고/EC
투명하게	투명/NNG+하/XSA+게/EC
공조해	공조/NNG+하/XSV+아/EC
나간다는	나가/VX+ㄴ다는/ETM
약속을	약속/NNG+을/JKO
재확인했다.”	재/XPN+확인/NNG+하/XSV+았/EP+다/EF+./SF+”/SS


# id : NWRW1800000053.360.4.1
청와대는 11일 정의용 국가안보실장이 허버트 맥매스터 미 백악관 국가안보보좌관과 통화를 했다며 딱 한 줄의 내용만 공개했다.

청와대는	청와대/NNP+는/JX
11일	11/SN+일/NNB
정의용	정의용/NNP
국가안보실장이	국가/NNG+안보실장/NNG+이/JKS
허버트	허버트/NNP
맥매스터	맥매스터/NNP
미	미/NNP
백악관	백악관/NNP
국가안보보좌관과	국가/NNG+안보/NNG+보좌관/NNG+과/JKB
통화를	통화/NNG+를/JKO
했다며	하/VV+았/EP+다며/EC
딱	딱/MAG
한	한/MMN
줄의	줄/NNG+의/JKG
내용만	내용/NNG+만/JX
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.360.4.2
한미 안보 최고 책임자의 통화는 이날 오전 8시부터 40여 분간 이뤄졌다.

한미	한미/NNP
안보	안보/NNG
최고	최고/NNG
책임자의	책임자/NNG+의/JKG
통화는	통화/NNG+는/JX
이날	이날/NNG
오전	오전/NNG
8시부터	8/SN+시/NNB+부터/JX
40여	40/SN+여/XSN
분간	분/NNB+간/XSN
이뤄졌다.	이뤄지/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.360.4.3
통화는 정 실장의 요청으로 이뤄진 것으로 전해졌다.

통화는	통화/NNG+는/JX
정	정/NNP
실장의	실장/NNG+의/JKG
요청으로	요청/NNG+으로/JKB
이뤄진	이뤄지/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000053.360.4.4
특히 미국 측에서 ‘화염과 분노’ ‘북한 정권 종말과 파멸’ 등 군사적 긴장을 높이는 발언이 쏟아진 뒤 이뤄진 통화여서 관심을 모았다.

특히	특히/MAG
미국	미국/NNP
측에서	측/NNB+에서/JKB
‘화염과	‘/SS+화염/NNG+과/JC
분노’	분노/NNG+’/SS
‘북한	‘/SS+북한/NNP
정권	정권/NNG
종말과	종말/NNG+과/JC
파멸’	파멸/NNG+’/SS
등	등/NNB
군사적	군사/NNG+적/XSN
긴장을	긴장/NNG+을/JKO
높이는	높이/VV+는/ETM
발언이	발언/NNG+이/JKS
쏟아진	쏟아지/VV+ㄴ/ETM
뒤	뒤/NNG
이뤄진	이뤄지/VV+ㄴ/ETM
통화여서	통화/NNG+이/VCP+어서/EC
관심을	관심/NNG+을/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.360.4.5
하지만 청와대는 ‘단계별 조치’에 대한 긴밀하고 투명한 공조만 언급했을 뿐 ‘단계별 조치’의 구체적인 내용에 대해선 “어떤 말도 덧붙일 수 없다”고 했다.

하지만	하지만/MAJ
청와대는	청와대/NNP+는/JX
‘단계별	‘/SS+단계/NNG+별/XSN
조치’에	조치/NNG+’/SS+에/JKB
대한	대하/VV+ㄴ/ETM
긴밀하고	긴밀하/VA+고/EC
투명한	투명/NNG+하/XSA+ㄴ/ETM
공조만	공조/NNG+만/JX
언급했을	언급/NNG+하/XSV+았/EP+을/ETM
뿐	뿐/NNB
조치’의	조치/NNG+’/SS+의/JKG
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
내용에	내용/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
“어떤	“/SS+어떤/MMD
말도	말/NNG+도/JX
덧붙일	덧붙이/VV+ㄹ/ETM
수	수/NNB
없다”고	없/VA+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.360.5.1
이 때문에 양측 간에 좀 더 깊숙한 논의가 이뤄진 것 아니냐는 관측도 나온다.

이	이/MMD
때문에	때문/NNB+에/JKB
양측	양측/NNG
간에	간/NNB+에/JKB
좀	좀/MAG
더	더/MAG
깊숙한	깊숙하/VA+ㄴ/ETM
논의가	논의/NNG+가/JKS
이뤄진	이뤄지/VV+ㄴ/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
관측도	관측/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.360.5.2
전문가들 사이에선 단계별 조치에는 최근 괌 폭격 계획을 공개한 북한의 추가 미사일 도발과 남북 간 국지 무력 충돌 등 다양한 시나리오에 대비한 군사적 응징 조치와 이후 추가 제재 등 압박 카드 등이 포함됐을 것이라는 분석이 나온다.

전문가들	전문가/NNG+들/XSN
사이에선	사이/NNG+에서/JKB+ㄴ/JX
단계별	단계/NNG+별/XSN
조치에는	조치/NNG+에/JKB+는/JX
최근	최근/MAG
괌	괌/NNP
폭격	폭격/NNG
계획을	계획/NNG+을/JKO
공개한	공개/NNG+하/XSV+ㄴ/ETM
북한의	북한/NNP+의/JKG
추가	추가/NNG
미사일	미사일/NNG
도발과	도발/NNG+과/JC
남북	남북/NNP
간	간/NNB
국지	국지/NNG
무력	무력/NNG
충돌	충돌/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
시나리오에	시나리오/NNG+에/JKB
대비한	대비/NNG+하/XSV+ㄴ/ETM
군사적	군사/NNG+적/XSN
응징	응징/NNG
조치와	조치/NNG+와/JC
이후	이후/NNG
제재	제재/NNG
압박	압박/NNG
카드	카드/NNG
등이	등/NNB+이/JKS
포함됐을	포함/NNG+되/XSV+었/EP+을/ETM
것이라는	것/NNB+이/VCP+라는/ETM
분석이	분석/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.360.5.3
미국 조야에선 북한의 미사일 실험 등 추가 도발에 대해 요격 등 한층 높은 강도로 무력 대응을 해야 한다는 지적이 나오는 상황이다.

미국	미국/NNP
조야에선	조야/NNG+에서/JKB+ㄴ/JX
북한의	북한/NNP+의/JKG
미사일	미사일/NNG
실험	실험/NNG
등	등/NNB
추가	추가/NNG
도발에	도발/NNG+에/JKB
대해	대하/VV+아/EC
요격	요격/NNG
한층	한층/MAG
높은	높/VA+은/ETM
강도로	강도/NNG+로/JKB
