# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.18
metadata : {}


# id : NWRW1800000054.18.1.1
올해 하버드 졸업식 축사, 중퇴 저커버그에게 맡겨

올해	올해/NNG
하버드	하버드/NNP
졸업식	졸업식/NNG
축사,	축사/NNG+,/SP
중퇴	중퇴/NNG
저커버그에게	저커버그/NNP+에게/JKB
맡겨	맡기/VV+어/EF


# id : NWRW1800000054.18.2.1
마크 저커버그(33·사진) 페이스북 최고경영자(CEO)가 미국 하버드대 졸업식에서 연설한다.

마크	마크/NNP
저커버그(33·사진)	저커버그/NNP+(/SS+33/SN+·/SP+사진/NNG+)/SS
페이스북	페이스북/NNP
최고경영자(CEO)가	최고/NNG+경영자/NNG+(/SS+CEO/SL+)/SS+가/JKS
미국	미국/NNP
하버드대	하버드대/NNP
졸업식에서	졸업식/NNG+에서/JKB
연설한다.	연설/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.18.2.2
그가 하버드대를 중퇴한 지 12년 만이다.

그가	그/NP+가/JKS
하버드대를	하버드대/NNP+를/JKO
중퇴한	중퇴/NNG+하/XSV+ㄴ/ETM
지	지/NNB
12년	12/SN+년/NNB
만이다.	만/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.18.2.3
하버드대는 "저커버그가 오는 5월 25일에 열리는 제366회 졸업식에서 축사를 할 예정"이라고 7일(현지 시각) 발표했다.

하버드대는	하버드대/NNP+는/JX
"저커버그가	"/SS+저커버그/NNP+가/JKS
오는	오/VV+는/ETM
5월	5/SN+월/NNB
25일에	25/SN+일/NNB+에/JKB
열리는	열리/VV+는/ETM
제366회	제/XPN+366/SN+회/NNB
졸업식에서	졸업식/NNG+에서/JKB
축사를	축사/NNG+를/JKO
할	하/VV+ㄹ/ETM
예정"이라고	예정/NNG+"/SS+이라고/JKQ
7일(현지	7/SN+일/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.18.2.4
드루 파우스트 하버드대 총장은 "전 세계인의 상호 소통 방식을 근본적으로 바꾸어 놓은 저커버그의 귀교(歸校)를 환영한다"고 말했다.

드루	드루/NNP
파우스트	파우스트/NNP
하버드대	하버드대/NNP
총장은	총장/NNG+은/JX
"전	"/SS+전/MMN
세계인의	세계인/NNG+의/JKG
상호	상호/NNG
소통	소통/NNG
방식을	방식/NNG+을/JKO
근본적으로	근본/NNG+적/XSN+으로/JKB
바꾸어	바꾸/VV+어/EC
놓은	놓/VX+은/ETM
저커버그의	저커버그/NNP+의/JKG
귀교(歸校)를	귀교/NNG+(/SS+歸校/SH+)/SS+를/JKO
