# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.114
metadata : {}


# id : NWRW1800000029.114.1.1
“한국 구제역 백신 10%는 효과 없었다”

“한국	“/SS+한국/NNP
구제역	구제역/NNG
백신	백신/NNG
10%는	10/SN+%/SW+는/JX
효과	효과/NNG
없었다”	없/VA+었/EP+다/EF+”/SS


# id : NWRW1800000029.114.2.1
제프 해먼드 英 펄브라이트 구제역국제표준연구소장

제프	제프/NNP
해먼드	해먼드/NNP
英	英/SH
펄브라이트	펄브라이트/NNP
구제역국제표준연구소장	구제역국제표준연구소장/NNG


# id : NWRW1800000029.114.3.1
올해 1월 전국의 모든 소와 돼지에게 접종한 구제역 예방백신 10개 중 1개는 바이러스 예방 효과가 없었던 것으로 밝혀졌다.

올해	올해/NNG
1월	1/SN+월/NNB
전국의	전국/NNG+의/JKG
모든	모든/MMN
소와	소/NNG+와/JC
돼지에게	돼지/NNG+에게/JKB
접종한	접종/NNG+하/XSV+ㄴ/ETM
구제역	구제역/NNG
예방백신	예방/NNG+백신/NNG
10개	10/SN+개/NNB
중	중/NNB
1개는	1/SN+개/NNB+는/JX
바이러스	바이러스/NNG
예방	예방/NNG
효과가	효과/NNG+가/JKS
없었던	없/VA+었/EP+던/ETM
것으로	것/NNB+으로/JKB
밝혀졌다.	밝혀지/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.114.4.1
제프 해먼드 영국 펄브라이트연구소 구제역국제표준연구소(WRLFMD) 소장(사진)은 22일 대전 한국생명공학연구원에서 열린 국제학술세미나에서 “한국의 구제역 바이러스의 항원 구조를 검사한 결과 지난겨울에 처방했던 백신 중 10%는 바이러스와 ‘매칭(항원-항체 반응이 성립하는 것)’되지 않았다”며 “구제역 바이러스는 종류가 다양하기 때문에 새로운 바이러스가 발견될 때마다 기존에 개발된 백신이 효과가 있는지 확인하는 것이 중요하다”고 말했다.

제프	제프/NNP
해먼드	해먼드/NNP
영국	영국/NNP
펄브라이트연구소	펄브라이트연구소/NNP
구제역국제표준연구소(WRLFMD)	구제역국제표준연구소/NNP+(/SS+WRLFMD/SL+)/SS
소장(사진)은	소장/NNG+(/SS+사진/NNG+)/SS+은/JX
22일	22/SN+일/NNB
대전	대전/NNP
한국생명공학연구원에서	한국생명공학연구원/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
국제학술세미나에서	국제/NNG+학술/NNG+세미나/NNG+에서/JKB
“한국의	“/SS+한국/NNP+의/JKG
구제역	구제역/NNG
바이러스의	바이러스/NNG+의/JKG
항원	항원/NNG
구조를	구조/NNG+를/JKO
검사한	검사/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
지난겨울에	지난겨울/NNG+에/JKB
처방했던	처방/NNG+하/XSV+았/EP+던/ETM
백신	백신/NNG
중	중/NNB
10%는	10/SN+%/SW+는/JX
바이러스와	바이러스/NNG+와/JKB
‘매칭(항원-항체	‘/SS+매칭/NNG+(/SS+항원/NNG+-/SO+항체/NNG
반응이	반응/NNG+이/JKS
성립하는	성립/NNG+하/XSV+는/ETM
것)’되지	것/NNB+)/SS+’/SS+되/XSV+지/EC
않았다”며	않/VX+았/EP+다/EF+”/SS+며/EC
“구제역	“/SS+구제역/NNG
바이러스는	바이러스/NNG+는/JX
종류가	종류/NNG+가/JKS
다양하기	다양/NNG+하/XSA+기/ETN
때문에	때문/NNB+에/JKB
새로운	새롭/VA+ㄴ/ETM
바이러스가	바이러스/NNG+가/JKS
발견될	발견/NNG+되/XSV+ㄹ/ETM
때마다	때/NNG+마다/JX
기존에	기존/NNG+에/JKB
개발된	개발/NNG+되/XSV+ㄴ/ETM
백신이	백신/NNG+이/JKS
효과가	효과/NNG+가/JKS
있는지	있/VA+는지/EF
확인하는	확인/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
중요하다”고	중요/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.114.5.1
펄브라이트 구제역국제표준연구소는 미국 농무부와 함께 세계적인 구제역 바이러스 판정 표준연구기관으로 꼽힌다.

펄브라이트	펄브라이트/NNP
구제역국제표준연구소는	구제역국제표준연구소/NNP+는/JX
미국	미국/NNP
농무부와	농무부/NNG+와/JKB
함께	함께/MAG
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
구제역	구제역/NNG
바이러스	바이러스/NNG
판정	판정/NNG
표준연구기관으로	표준/NNG+연구/NNG+기관/NNG+으로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.114.6.1
해먼드 소장은 구제역 예방백신을 적절히 예측해 적용하는 일이 쉬운 일은 아니라고 말했다.

해먼드	해먼드/NNP
소장은	소장/NNG+은/JX
구제역	구제역/NNG
예방백신을	예방/NNG+백신/NNG+을/JKO
적절히	적절히/MAG
예측해	예측/NNG+하/XSV+아/EC
적용하는	적용/NNG+하/XSV+는/ETM
일이	일/NNG+이/JKS
쉬운	쉽/VA+ㄴ/ETM
일은	일/NNG+은/JX
아니라고	아니/VCN+라고/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


