# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.250
metadata : {}


# id : NWRW1800000026.250.1.1
[대구·경북] 수성구 보건소장 공채 시작부터 '잡음';구청 안팎서 '내정설' 터져 의사·간호사 단체들 기싸움… 심사위 구성 등 무기한 연기

[대구·경북]	[/SS+대구/NNP+·/SP+경북/NNP+]/SS
수성구	수성구/NNP
보건소장	보건소장/NNG
공채	공채/NNG
시작부터	시작/NNG+부터/JX
'잡음';구청	'/SS+잡음/NNG+'/SS+;/SW+구청/NNG
안팎서	안팎/NNG+서/JKB
'내정설'	'/SS+내정설/NNG+'/SS
터져	터지/VV+어/EC
의사·간호사	의사/NNG+·/SP+간호사/NNG
단체들	단체/NNG+들/XSN
기싸움…	기/NNG+싸움/NNG+…/SE
심사위	심사위/NNG
구성	구성/NNG
등	등/NNB
무기한	무/XPN+기한/NNG
연기	연기/NNG


# id : NWRW1800000026.250.2.1
대구 수성구가 보건소장을 개방형직위로 공개모집 하는 과정에서 난데없는 홍역을 치르고 있다.

대구	대구/NNP
수성구가	수성구/NNP+가/JKS
보건소장을	보건소장/NNG+을/JKO
개방형직위로	개방/NNG+형/XSN+직위/NNG+로/JKB
공개모집	공개/NNG+모집/NNG
하는	하/VV+는/ETM
과정에서	과정/NNG+에서/JKB
난데없는	난데없/VA+는/ETM
홍역을	홍역/NNG+을/JKO
치르고	치르/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.250.2.2
후보 검증을 위한 심사위원회가 꾸려지기도 전에 '내정설'이 떠돌았고, 이로 인해 의사·간호사 등 지원한 후보들의 직군별 힘겨루기 양상까지 빚어지고 있다.

후보	후보/NNG
검증을	검증/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
심사위원회가	심사/NNG+위원회/NNG+가/JKS
꾸려지기도	꾸리/VV+어/EC+지/VX+기/ETN+도/JX
전에	전/NNG+에/JKB
'내정설'이	'/SS+내정설/NNG+'/SS+이/JKS
떠돌았고,	떠돌/VV+았/EP+고/EC+,/SP
이로	이/NP+로/JKB
인해	인/NNG+하/XSV+아/EC
의사·간호사	의사/NNG+·/SP+간호사/NNG
등	등/NNB
지원한	지원/NNG+하/XSV+ㄴ/ETM
후보들의	후보/NNG+들/XSN+의/JKG
직군별	직군/NNG+별/XSN
힘겨루기	힘겨루기/NNG
양상까지	양상/NNG+까지/JX
빚어지고	빚어지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.250.3.1
26일 오후 대구 수성구청 앞에서는 의사 40여명이 "심사위원회 공정하게 구성하라", "보건소장 선발 지역보건법을 준수하라" 등의 문구가 적힌 피켓을 들고 30여분가량 시위를 벌였다.

26일	26/SN+일/NNB
오후	오후/NNG
대구	대구/NNP
수성구청	수성구청/NNP
앞에서는	앞/NNG+에서/JKB+는/JX
의사	의사/NNG
40여명이	40/SN+여/XSN+명/NNB+이/JKS
"심사위원회	"/SS+심사/NNG+위원회/NNG
공정하게	공정/NNG+하/XSA+게/EC
구성하라",	구성/NNG+하/XSV+라/EF+"/SS+,/SP
"보건소장	"/SS+보건소장/NNG
선발	선발/NNG
지역보건법을	지역/NNG+보건법/NNG+을/JKO
준수하라"	준수/NNG+하/XSV+라/EF+"/SS
등의	등/NNB+의/JKG
문구가	문구/NNG+가/JKS
적힌	적히/VV+ㄴ/ETM
피켓을	피켓/NNG+을/JKO
들고	들/VV+고/EC
30여분가량	30/SN+여/XSN+분/NNB+가량/XSN
시위를	시위/NNG+를/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.250.3.2
후보군의 지원서만 제출된 상태에서 가운을 입은 의사들이 이례적으로 길거리로 몰려 나온 이유는 무엇일까?

후보군의	후보군/NNG+의/JKG
지원서만	지원서/NNG+만/JX
제출된	제출/NNG+되/XSV+ㄴ/ETM
상태에서	상태/NNG+에서/JKB
가운을	가운/NNG+을/JKO
입은	입/VV+은/ETM
의사들이	의사/NNG+들/XSN+이/JKS
이례적으로	이례/NNG+적/XSN+으로/JKB
길거리로	길거리/NNG+로/JKB
몰려	몰리/VV+어/EC
나온	나오/VV+ㄴ/ETM
이유는	이유/NNG+는/JX
무엇일까?	무엇/NP+이/VCP+ㄹ까/EF+?/SF


# id : NWRW1800000026.250.4.1
수성구는 지난 8일부터 21일까지 열흘간 개방형직위로 지정된 보건소장을 공개 모집했다.

수성구는	수성구/NNP+는/JX
지난	지나/VV+ㄴ/ETM
8일부터	8/SN+일/NNB+부터/JX
21일까지	21/SN+일/NNB+까지/JX
열흘간	열흘/NNG+간/XSN
개방형직위로	개방/NNG+형/XSN+직위/NNG+로/JKB
지정된	지정/NNG+되/XSV+ㄴ/ETM
보건소장을	보건소장/NNG+을/JKO
공개	공개/NNG
모집했다.	모집/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.250.5.1
4급 상당의 보건소장직은 지역주민에 대한 진료와 전염병 예방·관리, 보건·의료시책사업 수행 등을 총괄하는 자리다.

4급	4/SN+급/NNG
상당의	상당/NNG+의/JKG
보건소장직은	보건소장직/NNG+은/JX
지역주민에	지역/NNG+주민/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
진료와	진료/NNG+와/JC
전염병	전염병/NNG
예방·관리,	예방/NNG+·/SP+관리/NNG+,/SP
보건·의료시책사업	보건/NNG+·/SP+의료/NNG+시책/NNG+사업/NNG
수행	수행/NNG
등을	등/NNB+을/JKO
총괄하는	총괄/NNG+하/XSV+는/ETM
자리다.	자리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.250.5.2
접수결과 자격조건을 갖춘 8명의 후보가 신청했고, 이들은 의사직 5명과 간호직 출신 1명, 보건직 공무원 2명 등이었다.

접수결과	접수/NNG+결과/NNG
자격조건을	자격/NNG+조건/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
8명의	8/SN+명/NNB+의/JKG
후보가	후보/NNG+가/JKS
신청했고,	신청/NNG+하/XSV+았/EP+고/EC+,/SP
이들은	이/NP+들/XSN+은/JX
의사직	의사직/NNG
5명과	5/SN+명/NNB+과/JC
간호직	간호직/NNG
출신	출신/NNG
1명,	1/SN+명/NNB+,/SP
보건직	보건직/NNG
공무원	공무원/NNG
2명	2/SN+명/NNB
등이었다.	등/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.250.5.3
수성구청측은 "문호를 넓혀 유능한 인재를 데려오기 위해 보건소장을 공개모집 하는 것"이라고 말했다.

수성구청측은	수성구청/NNP+측/NNB+은/JX
"문호를	"/SS+문호/NNG+를/JKO
넓혀	넓히/VV+어/EC
유능한	유능/NNG+하/XSA+ㄴ/ETM
인재를	인재/NNG+를/JKO
데려오기	데려오/VV+기/ETN
위해	위하/VV+아/EC
보건소장을	보건소장/NNG+을/JKO
공개모집	공개/NNG+모집/NNG
하는	하/VV+는/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.250.6.1
그러나 이 과정에서 '내정설'이 불거졌다.

그러나	그러나/MAJ
이	이/MMD
과정에서	과정/NNG+에서/JKB
'내정설'이	'/SS+내정설/NNG+'/SS+이/JKS
불거졌다.	불거지/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.250.6.2
현재 수성보건소에 근무 중인 간호직군 소속 한 공무원이 내정됐다는 말이 나돌면서 지역 의사단체가 발끈하고 나선 것이다.

현재	현재/MAG
수성보건소에	수성보건소/NNP+에/JKB
근무	근무/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
간호직군	간호직군/NNG
소속	소속/NNG
한	한/MMN
공무원이	공무원/NNG+이/JKS
내정됐다는	내정/NNG+되/XSV+었/EP+다는/ETM
말이	말/NNG+이/JKS
나돌면서	나돌/VV+면서/EC
지역	지역/NNG
의사단체가	의사/NNG+단체/NNG+가/JKS
발끈하고	발끈/MAG+하/XSV+고/EC
나선	나서/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.250.7.1
의사가 지원했는데도 우선 채용하지 않고 다른 직군을 채용한다면 이는 법을 위반하는 것이라는 게 의사들의 주장이다.

의사가	의사/NNG+가/JKS
지원했는데도	지원/NNG+하/XSV+았/EP+는데/EC+도/JX
우선	우선/MAG
채용하지	채용/NNG+하/XSV+지/EC
않고	않/VX+고/EC
다른	다른/MMD
직군을	직군/NNG+을/JKO
채용한다면	채용/NNG+하/XSV+ㄴ다면/EC
이는	이/NP+는/JX
법을	법/NNG+을/JKO
위반하는	위반/NNG+하/XSV+는/ETM
것이라는	것/NNB+이/VCP+라는/ETM
게	거/NNB+이/JKS
의사들의	의사/NNG+들/XSN+의/JKG
주장이다.	주장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.250.7.2
김제형 대구시의사회장은 "보건소장은 예방에서부터 진료까지 모든 부분에 대한 전문성을 갖춰야 하는 자리이며 전문적인 식견을 고루 갖춘 의사가 임용돼야 한다"고 주장하면서 "지역보건법에도 '구청은 의사 면허를 가진 자를 우선적으로 보건소장으로 임명한다'고 명시돼 있다"고 말했다.

김제형	김제형/NNP
대구시의사회장은	대구시/NNP+의사회장/NNG+은/JX
"보건소장은	"/SS+보건소장/NNG+은/JX
예방에서부터	예방/NNG+에서부터/JKB
진료까지	진료/NNG+까지/JX
모든	모든/MMN
부분에	부분/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
전문성을	전문/NNG+성/XSN+을/JKO
