# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.401
metadata : {}


# id : NWRW1800000029.401.1.1
軍, 중거리 지대공 유도무기 ‘天弓’ 국내개발 성공

軍,	軍/SH+,/SP
중거리	중거리/NNG
지대공	지대공/NNG
유도무기	유도/NNG+무기/NNG
‘天弓’	‘/SS+天弓/SH+’/SS
국내개발	국내/NNG+개발/NNG
성공	성공/NNG


# id : NWRW1800000029.401.2.1
영공수호 최종병기… 사거리 40km, 명중률 높아

영공수호	영공/NNG+수호/NNG
최종병기…	최종/NNG+병기/NNG+…/SE
사거리	사거리/NNG
40km,	40/SN+km/SW+,/SP
명중률	명중/NNG+률/XSN
높아	높/VA+아/EF


# id : NWRW1800000029.401.3.1
40년된 호크 미사일 대체

40년된	40/SN+년/NNB+되/VV+ㄴ/ETM
호크	호크/NNP
미사일	미사일/NNG
대체	대체/NNG


# id : NWRW1800000029.401.4.1
유사시 영공을 침투하는 북한 항공기를 격추시킬 수 있는 중거리 지대공(地對空) 유도무기인 천궁(天弓)이 국내 기술로 개발됐다고 국방과학연구소(ADD)가 15일 밝혔다.

유사시	유사시/NNG
영공을	영공/NNG+을/JKO
침투하는	침투/NNG+하/XSV+는/ETM
북한	북한/NNP
항공기를	항공기/NNG+를/JKO
격추시킬	격추/NNG+시키/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
중거리	중거리/NNG
지대공(地對空)	지대공/NNG+(/SS+地對空/SH+)/SS
유도무기인	유도/NNG+무기/NNG+이/VCP+ㄴ/ETM
천궁(天弓)이	천궁/NNP+(/SS+天弓/SH+)/SS+이/JKS
국내	국내/NNG
기술로	기술/NNG+로/JKB
개발됐다고	개발/NNG+되/XSV+었/EP+다고/EC
국방과학연구소(ADD)가	국방/NNG+과학/NNG+연구소/NNG+(/SS+ADD/SL+)/SS+가/JKS
15일	15/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.401.5.1
천궁은 내년에 양산에 들어가 2013년부터 전방지역에 실전 배치되며 서울 및 수도권 핵심시설 방어 등 한국군의 주력 방공임무를 수행한다.

천궁은	천궁/NNP+은/JX
내년에	내년/NNG+에/JKB
양산에	양산/NNG+에/JKB
들어가	들어가/VV+아/EC
2013년부터	2013/SN+년/NNB+부터/JX
전방지역에	전방/NNG+지역/NNG+에/JKB
실전	실전/NNG
