# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.189
metadata : {}


# id : NWRW1800000049.189.1.1
美선 모든 제품 일괄 인증… 한국은 부처따라 제각각

美선	美/SH+서/JKB+ㄴ/JX
모든	모든/MMN
제품	제품/NNG
일괄	일괄/NNG
인증…	인증/NNG+…/SE
한국은	한국/NNP+은/JX
부처따라	부처/NNG+따르/VV+아/EC
제각각	제각각/MAG


# id : NWRW1800000049.189.2.1
환경부, 생활화학제품 15종만 검사… 유해성분 기준치 안넘으면 통과

환경부,	환경부/NNG+,/SP
생활화학제품	생활/NNG+화학/NNG+제품/NNG
15종만	15/SN+종/NNG+만/JX
검사…	검사/NNG+…/SE
유해성분	유해/NNG+성분/NNG
기준치	기준/NNG+치/XSN
안넘으면	안/MAG+넘/VV+으면/EC
통과	통과/NNG


# id : NWRW1800000049.189.3.1
가습기 살균제 사망 사건 이후 정부는 화학물질에 대한 관리규정을 강화했지만 여전히 허점투성이라는 지적이 많다.

가습기	가습기/NNG
살균제	살균제/NNG
사망	사망/NNG
사건	사건/NNG
이후	이후/NNG
정부는	정부/NNG+는/JX
화학물질에	화학/NNG+물질/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
관리규정을	관리/NNG+규정/NNG+을/JKO
강화했지만	강화/NNG+하/XSV+았/EP+지만/EC
여전히	여전히/MAG
허점투성이라는	허점/NNG+투성이/XSN+이/VCP+라는/ETM
지적이	지적/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000049.189.3.2
특히 부처별 칸막이 때문에 규제의 일관성이 떨어지는 게 문제라는 지적이 나온다.

특히	특히/MAG
부처별	부처/NNG+별/XSN
칸막이	칸막이/NNG
때문에	때문/NNB+에/JKB
규제의	규제/NNG+의/JKG
일관성이	일관/NNG+성/XSN+이/JKS
떨어지는	떨어지/VV+는/ETM
게	거/NNB+이/JKS
문제라는	문제/NNG+이/VCP+라는/ETM
지적이	지적/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.189.3.3
선진국처럼 제품에 사용되는 모든 화학물질 정보를 사전에 등록하는 제도가 필요하다는 목소리가 높다.

선진국처럼	선진국/NNG+처럼/JKB
제품에	제품/NNG+에/JKB
사용되는	사용/NNG+되/XSV+는/ETM
모든	모든/MMN
화학물질	화학/NNG+물질/NNG
정보를	정보/NNG+를/JKO
사전에	사전/NNG+에/JKB
등록하는	등록/NNG+하/XSV+는/ETM
제도가	제도/NNG+가/JKS
필요하다는	필요/NNG+하/XSA+다는/ETM
목소리가	목소리/NNG+가/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000049.189.4.1
걸음마 수준인 화학물질 관리실태는 엇박자 행정에서 잘 드러난다.

걸음마	걸음마/NNG
수준인	수준/NNG+이/VCP+ㄴ/ETM
화학물질	화학/NNG+물질/NNG
관리실태는	관리/NNG+실태/NNG+는/JX
엇박자	엇박자/NNG
행정에서	행정/NNG+에서/JKB
잘	잘/MAG
드러난다.	드러나/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.189.4.2
제품과 화학물질이 실제로 어떻게 쓰이는지 부서마다 해석이 제각각이다.

제품과	제품/NNG+과/JC
화학물질이	화학/NNG+물질/NNG+이/JKS
실제로	실제로/MAG
어떻게	어떻/VA+게/EC
쓰이는지	쓰이/VV+는지/EC
부서마다	부서/NNG+마다/JX
해석이	해석/NNG+이/JKS
제각각이다.	제각각/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.189.4.3
대표적인 사례가 일상생활에서 흔히 쓰이는 비누와 다림질 보조제 등 생활제품.

대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
사례가	사례/NNG+가/JKS
일상생활에서	일상생활/NNG+에서/JKB
흔히	흔히/MAG
쓰이는	쓰이/VV+는/ETM
비누와	비누/NNG+와/JC
다림질	다림/NNG+질/XSN
보조제	보조제/NNG
등	등/NNB
생활제품.	생활/NNG+제품/NNG+./SF


# id : NWRW1800000049.189.4.4
생활화학제품의 유해성 평가를 담당하는 환경부는 최근 다림질 보조제에 함유된 독성물질(MIT/CMIT) 기준을 30ppm 수준으로 정하는 방안을 유력하게 검토하고 있다.

생활화학제품의	생활/NNG+화학/NNG+제품/NNG+의/JKG
유해성	유해/NNG+성/XSN
평가를	평가/NNG+를/JKO
담당하는	담당/NNG+하/XSV+는/ETM
환경부는	환경부/NNG+는/JX
최근	최근/MAG
다림질	다림/NNG+질/XSN
보조제에	보조제/NNG+에/JKB
함유된	함유/NNG+되/XSV+ㄴ/ETM
독성물질(MIT/CMIT)	독성/NNG+물질/NNG+(/SS+MIT/SL+//SP+CMIT/SL+)/SS
기준을	기준/NNG+을/JKO
30ppm	30/SN+ppm/SW
수준으로	수준/NNG+으로/JKB
정하는	정하/VV+는/ETM
방안을	방안/NNG+을/JKO
유력하게	유력/NNG+하/XSA+게/EC
검토하고	검토/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.189.5.1
반면 식품의약품안전처는 MIT/CMIT를 반드시 씻어내야 할 물질로 정하고 있다.

반면	반면/NNG
