# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.55
metadata : {}


# id : NWRW1800000053.55.1.1
지구촌 성탄테러 공포 확산

지구촌	지구촌/NNG
성탄테러	성탄/NNG+테러/NNG
공포	공포/NNG
확산	확산/NNG


# id : NWRW1800000053.55.2.1
이집트서 무슬림들 콥트교회 습격… 기물 부수고 예배 중인 신도 폭행 최근 파키스탄서 IS 폭탄 테러… 美선 IS추종 테러기도범 검거

이집트서	이집트/NNP+서/JKB
무슬림들	무슬림/NNG+들/XSN
콥트교회	콥트/NNP+교회/NNG
습격…	습격/NNG+…/SE
기물	기물/NNG
부수고	부수/VV+고/EC
예배	예배/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
신도	신도/NNG
폭행	폭행/NNG
최근	최근/MAG
파키스탄서	파키스탄/NNP+서/JKB
IS	IS/SL
폭탄	폭탄/NNG
테러…	테러/NNG+…/SE
美선	美/SH+서/JKB+ㄴ/JX
IS추종	IS/SL+추종/NNG
테러기도범	테러/NNG+기도범/NNG
검거	검거/NNG


# id : NWRW1800000053.55.3.1
성탄절을 앞두고 이집트 카이로의 기독교 소수종파 콥트교회가 과격한 무슬림 수백 명에게 습격을 당했다.

성탄절을	성탄절/NNG+을/JKO
앞두고	앞두/VV+고/EC
이집트	이집트/NNP
카이로의	카이로/NNP+의/JKG
기독교	기독교/NNG
소수종파	소수/NNG+종파/NNG
콥트교회가	콥트/NNP+교회/NNG+가/JKS
과격한	과격/NNG+하/XSA+ㄴ/ETM
무슬림	무슬림/NNG
수백	수백/NR
명에게	명/NNB+에게/JKB
습격을	습격/NNG+을/JKO
당했다.	당하/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.55.3.2
지난주 파키스탄의 한 교회에서 이슬람국가(IS)의 폭탄 테러로 수십 명의 희생자가 발생한 뒤 크리스마스 테러 공포가 전 세계로 확산되고 있다.

지난주	지난주/NNG
파키스탄의	파키스탄/NNP+의/JKG
한	한/MMN
교회에서	교회/NNG+에서/JKB
이슬람국가(IS)의	이슬람국가/NNP+(/SS+IS/SL+)/SS+의/JKG
폭탄	폭탄/NNG
테러로	테러/NNG+로/JKB
수십	수십/NR
명의	명/NNB+의/JKG
희생자가	희생자/NNG+가/JKS
발생한	발생/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
크리스마스	크리스마스/NNG
테러	테러/NNG
공포가	공포/NNG+가/JKS
전	전/MMD
세계로	세계/NNG+로/JKB
확산되고	확산/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.55.4.1
24일 이집트 일간 알마스리알욤에 따르면 22일 과격파 무슬림 수백 명이 카이로 남부 기자 지역 아미르 타드로스 교회를 급습했다.

24일	24/SN+일/NNB
이집트	이집트/NNP
일간	일간/NNG
알마스리알욤에	알마스리알욤/NNP+에/JKB
따르면	따르/VV+면/EC
22일	22/SN+일/NNB
과격파	과격파/NNG
무슬림	무슬림/NNG
수백	수백/NR
명이	명/NNB+이/JKS
카이로	카이로/NNP
남부	남부/NNG
기자	기자/NNP
지역	지역/NNG
아미르	아미르/NNP
타드로스	타드로스/NNP
교회를	교회/NNG+를/JKO
급습했다.	급습/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.55.4.2
이날 금요예배를 마친 무슬림들은 콥트교인들이 모인 이 교회를 포위하고 적대적인 구호를 외치며 교회의 철거를 요구했다.

이날	이날/NNG
금요예배를	금요/NNG+예배/NNG+를/JKO
마친	마치/VV+ㄴ/ETM
무슬림들은	무슬림/NNG+들/XSN+은/JX
콥트교인들이	콥트/NNP+교인/NNG+들/XSN+이/JKS
모인	모이/VV+ㄴ/ETM
이	이/MMD
교회를	교회/NNG+를/JKO
포위하고	포위/NNG+하/XSV+고/EC
적대적인	적대/NNG+적/XSN+이/VCP+ㄴ/ETM
구호를	구호/NNG+를/JKO
외치며	외치/VV+며/EC
교회의	교회/NNG+의/JKG
철거를	철거/NNG+를/JKO
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.55.4.3
이들은 교회 안으로 들어가 기물을 부수고 콥트교도를 폭행했다.

이들은	이/NP+들/XSN+은/JX
교회	교회/NNG
안으로	안/NNG+으로/JKB
들어가	들어가/VV+아/EC
기물을	기물/NNG+을/JKO
부수고	부수/VV+고/EC
콥트교도를	콥트/NNP+교도/NNG+를/JKO
폭행했다.	폭행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.55.4.4
사망자는 나오지 않았지만 부상자들이 발생해 병원으로 옮겨진 것으로 알려졌다.

사망자는	사망자/NNG+는/JX
나오지	나오/VV+지/EC
않았지만	않/VX+았/EP+지만/EC
부상자들이	부상자/NNG+들/XSN+이/JKS
발생해	발생/NNG+하/XSV+아/EC
병원으로	병원/NNG+으로/JKB
옮겨진	옮기/VV+어/EC+지/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


