# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.201
metadata : {}


# id : NWRW1800000044.201.1.1
알바생들! 아직도 ‘알바수첩’ 몰라요?

알바생들!	알바/NNG+생/XSN+들/XSN+!/SF
아직도	아직/MAG+도/JX
‘알바수첩’	‘/SS+알바/NNG+수첩/NNG+’/SS
몰라요?	모르/VV+아요/EF+?/SF


# id : NWRW1800000044.201.2.1
[한겨레] 권리찾기 길라잡이 개정3판 나와

[한겨레]	[/SS+한겨레/NNP+]/SS
권리찾기	권리/NNG+찾/VV+기/ETN
길라잡이	길라잡이/NNG
개정3판	개정/NNG+3판/NNG
나와	나오/VV+아/EF


# id : NWRW1800000044.201.3.1
5월1일 노동절을 맞아 청소년·청년들이 아르바이트를 하면서 부당한 대우를 받지 않도록 길라잡이 몫을 해주는 ‘알바 수첩’(사진)이 나왔다.

5월1일	5/SN+월/NNB+1/SN+일/NNB
노동절을	노동절/NNG+을/JKO
맞아	맞/VV+아/EC
청소년·청년들이	청소년/NNG+·/SP+청년/NNG+들/XSN+이/JKS
아르바이트를	아르바이트/NNG+를/JKO
하면서	하/VV+면서/EC
부당한	부당/NNG+하/XSA+ㄴ/ETM
대우를	대우/NNG+를/JKO
받지	받/VV+지/EC
않도록	않/VX+도록/EC
길라잡이	길라잡이/NNG
몫을	몫/NNG+을/JKO
해주는	하/VV+아/EC+주/VX+는/ETM
‘알바	‘/SS+알바/NNG
수첩’(사진)이	수첩/NNG+’/SS+(/SS+사진/NNG+)/SS+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.201.4.1
충남비정규직지원센터는 청소년·청년들에게 노동법이 보장하는 권리를 알리고 문제를 해결할 수 있는 능력과 자신감을 길러주기 위해 <알아두면 힘이 되는 알바 수첩>을 발간했다고 30일 밝혔다.

충남비정규직지원센터는	충남비정규직지원센터/NNP+는/JX
청소년·청년들에게	청소년/NNG+·/SP+청년/NNG+들/XSN+에게/JKB
노동법이	노동법/NNG+이/JKS
보장하는	보장/NNG+하/XSV+는/ETM
권리를	권리/NNG+를/JKO
알리고	알리/VV+고/EC
문제를	문제/NNG+를/JKO
해결할	해결/NNG+하/XSV+ㄹ/ETM
수	수/NNB
