# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.181
metadata : {}


# id : NWRW1800000030.181.1.1
사법사상 초유… 宣판사(선재성·법정관리 관련 뇌물혐의) 재판 관할 바꿔서 재개

사법사상	사법/NNG+사상/NNG
초유…	초유/NNG+…/SE
宣판사(선재성·법정관리	宣/SH+판사/NNG+(/SS+선재성/NNP+·/SP+법정/NNG+관리/NNG
관련	관련/NNG
뇌물혐의)	뇌물/NNG+혐의/NNG+)/SS
재판	재판/NNG
관할	관할/NNG
바꿔서	바꾸/VV+어서/EC
재개	재개/NNG


# id : NWRW1800000030.181.2.1
?대법, 광주→서울高法 결정

?대법,	?/SF+대법/NNG+,/SP
광주→서울高法	광주/NNP+→/SW+서울/NNP+高法/SH
결정	결정/NNG


# id : NWRW1800000030.181.3.1
대법원은 14일 법정 관리 업무를 담당하면서 기업에 친구 변호사를 소개하고 그 변호사에게 뇌물을 받은 혐의(변호사법 위반과 뇌물 수수)로 기소됐다가 광주지법의 1심에서 무죄를 선고받은 선재성(49·사진) 판사(전 광주지법 수석부장)의 2심 재판을 서울고법에서 하라고 결정했다.

대법원은	대/XPN+법원/NNG+은/JX
14일	14/SN+일/NNB
법정	법정/NNG
관리	관리/NNG
업무를	업무/NNG+를/JKO
담당하면서	담당/NNG+하/XSV+면서/EC
기업에	기업/NNG+에/JKB
친구	친구/NNG
변호사를	변호사/NNG+를/JKO
소개하고	소개/NNG+하/XSV+고/EC
그	그/MMD
변호사에게	변호사/NNG+에게/JKB
뇌물을	뇌물/NNG+을/JKO
받은	받/VV+은/ETM
혐의(변호사법	혐의/NNG+(/SS+변호사법/NNG
위반과	위반/NNG+과/JKB
뇌물	뇌물/NNG
수수)로	수수/NNG+)/SS+로/JKB
기소됐다가	기소/NNG+되/XSV+었/EP+다가/EC
광주지법의	광주지법/NNP+의/JKG
1심에서	1심/NNG+에서/JKB
무죄를	무죄/NNG+를/JKO
선고받은	선고/NNG+받/XSV+은/ETM
선재성(49·사진)	선재성/NNP+(/SS+49/SN+·/SP+사진/NNG+)/SS
판사(전	판사/NNG+(/SS+전/MMD
광주지법	광주지법/NNP
수석부장)의	수석/NNG+부장/NNG+)/SS+의/JKG
2심	2심/NNG
재판을	재판/NNG+을/JKO
서울고법에서	서울고법/NNP+에서/JKB
하라고	하/VV+라고/EC
결정했다.	결정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.181.4.1
선 판사를 비롯해 이 사건으로 기소된 3명의 주거지와 검찰이 혐의를 둔 범죄가 일어난 장소 등이 광주여서 광주고법이 2심을 맡게 돼 있으나, 서울고법으로 사건 관할을 옮겨 재판을 진행해 달라는 검찰의 신청을 받아들인 것이다.

선	선/NNP
판사를	판사/NNG+를/JKO
비롯해	비롯하/VV+아/EC
이	이/MMD
사건으로	사건/NNG+으로/JKB
기소된	기소/NNG+되/XSV+ㄴ/ETM
3명의	3/SN+명/NNB+의/JKG
주거지와	주거지/NNG+와/JC
검찰이	검찰/NNG+이/JKS
혐의를	혐의/NNG+를/JKO
둔	두/VV+ㄴ/ETM
범죄가	범죄/NNG+가/JKS
일어난	일어나/VV+ㄴ/ETM
장소	장소/NNG
등이	등/NNB+이/JKS
광주여서	광주/NNP+이/VCP+어서/EC
광주고법이	광주고법/NNP+이/JKS
2심을	2심/NNG+을/JKO
맡게	맡/VV+게/EC
돼	되/VV+어/EC
있으나,	있/VX+으나/EC+,/SP
서울고법으로	서울고법/NNP+으로/JKB
사건	사건/NNG
관할을	관할/NNG+을/JKO
옮겨	옮기/VV+어/EC
재판을	재판/NNG+을/JKO
진행해	진행/NNG+하/XSV+아/EC
달라는	달/VX+라는/ETM
검찰의	검찰/NNG+의/JKG
신청을	신청/NNG+을/JKO
받아들인	받아들이/VV+ㄴ/ETM
