# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.35
metadata : {}


# id : NWRW1800000038.35.1.1
"해외유학 떠난 中 고위직 자녀, 학업 끝내고 1년내 귀국시켜야"

"해외유학	"/SS+해외/NNG+유학/NNG
떠난	떠나/VV+ㄴ/ETM
中	中/SH
고위직	고위직/NNG
자녀,	자녀/NNG+,/SP
학업	학업/NNG
끝내고	끝내/VV+고/EC
1년내	1/SN+년/NNB+내/NNB
귀국시켜야"	귀국/NNG+시키/XSV+어야/EC+"/SS


# id : NWRW1800000038.35.2.1
공산당 司正기관 수장 왕치산… VIP회원 카드도 폐지 추진

공산당	공산당/NNP
司正기관	司正/SH+기관/NNG
수장	수장/NNG
왕치산…	왕치산/NNP+…/SE
VIP회원	VIP/SL+회원/NNG
카드도	카드/NNG+도/JX
폐지	폐지/NNG
추진	추진/NNG


# id : NWRW1800000038.35.3.1
중국 공산당 최고 사정기관 '수장'인 왕치산(王岐山) 중앙기율검사위원회(기율위) 서기 겸 정치국 상무위원이 장관급 이상 고위직에 "해외 유학 중인 자녀가 있으면 학업을 마치고 1년 안에 귀국시켜야 한다"고 요구했다고 영국 BBC 중문판이 28일 보도했다.

중국	중국/NNP
공산당	공산당/NNP
최고	최고/NNG
사정기관	사정/NNG+기관/NNG
'수장'인	'/SS+수장/NNG+'/SS+이/VCP+ㄴ/ETM
왕치산(王岐山)	왕치산/NNP+(/SS+王岐山/SH+)/SS
중앙기율검사위원회(기율위)	중앙/NNG+기율/NNG+검사/NNG+위원회/NNG+(/SS+기율위/NNG+)/SS
서기	서기/NNG
겸	겸/NNB
정치국	정치국/NNG
상무위원이	상무위원/NNG+이/JKS
장관급	장관급/NNG
이상	이상/NNG
고위직에	고위직/NNG+에/JKB
"해외	"/SS+해외/NNG
유학	유학/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
자녀가	자녀/NNG+가/JKS
있으면	있/VA+으면/EC
학업을	학업/NNG+을/JKO
마치고	마치/VV+고/EC
1년	1/SN+년/NNB
안에	안/NNG+에/JKB
귀국시켜야	귀국/NNG+시키/XSV+어야/EC
