# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.5
metadata : {}


# id : NWRW1800000029.5.1.1
CJ, 올해 사상최대 2조 투자

CJ,	CJ/SL+,/SP
올해	올해/NNG
사상최대	사상/NNG+최대/NNG
2조	2/SN+조/NR
투자	투자/NNG


# id : NWRW1800000029.5.2.1
4650명 신규채용… “전 부문 1위 목표”

4650명	4650/SN+명/NNB
신규채용…	신규/NNG+채용/NNG+…/SE
“전	“/SS+전/MMN
부문	부문/NNG
1위	1/SN+위/NNB
목표”	목표/NNG+”/SS


# id : NWRW1800000029.5.3.1
CJ그룹이 올해 사상 최대 규모의 투자와 채용으로 공격 경영에 나선다.

CJ그룹이	CJ그룹/NNP+이/JKS
올해	올해/NNG
사상	사상/NNG
최대	최대/NNG
규모의	규모/NNG+의/JKG
투자와	투자/NNG+와/JC
채용으로	채용/NNG+으로/JKB
공격	공격/NNG
경영에	경영/NNG+에/JKB
나선다.	나서/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.5.4.1
CJ그룹은 올해 모두 2조891억 원을 투자하고 신입사원 900명을 포함해 모두 4650명을 채용하기로 하는 내용의 경영계획을 19일 밝혔다.

CJ그룹은	CJ그룹/NNP+은/JX
올해	올해/NNG
모두	모두/MAG
2조891억	2/SN+조/NR+891/SN+억/NR
원을	원/NNB+을/JKO
투자하고	투자/NNG+하/XSV+고/EC
신입사원	신입/NNG+사원/NNG
900명을	900/SN+명/NNB+을/JKO
포함해	포함/NNG+하/XSV+아/EC
4650명을	4650/SN+명/NNB+을/JKO
채용하기로	채용/NNG+하/XSV+기/ETN+로/JKB
하는	하/VV+는/ETM
내용의	내용/NNG+의/JKG
경영계획을	경영/NNG+계획/NNG+을/JKO
19일	19/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.5.4.2
투자 및 채용 규모는 지난해에 비해 각각 58%와 51%가량 늘어났다.

투자	투자/NNG
및	및/MAG
채용	채용/NNG
규모는	규모/NNG+는/JX
지난해에	지난해/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
각각	각각/MAG
58%와	58/SN+%/SW+와/JKB
51%가량	51/SN+%/SW+가량/XSN
늘어났다.	늘어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.5.4.3
지난해에는 투자액 1조3205억 원에 3073명을 신규 채용했다.

지난해에는	지난해/NNG+에/JKB+는/JX
투자액	투자액/NNG
1조3205억	1/SN+조/NR+3205/SN+억/NR
원에	원/NNB+에/JKB
3073명을	3073/SN+명/NNB+을/JKO
신규	신규/NNG
채용했다.	채용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.5.5.1
이재현 CJ그룹 회장은 “그룹 전 사업 부문에서 1위를 달성해 글로벌 도약의 기반을 구축하고 아시아 전역으로 글로벌라이제이션(세계화)을 확대하기 위해서는 과감한 투자를 통한 미래성장 동력 확보와 그룹 성장을 뒷받침할 인재 확보가 필수”라고 말했다.

이재현	이재현/NNP
CJ그룹	CJ그룹/NNP
회장은	회장/NNG+은/JX
“그룹	“/SS+그룹/NNG
전	전/MMN
사업	사업/NNG
부문에서	부문/NNG+에서/JKB
1위를	1/SN+위/NNB+를/JKO
달성해	달성/NNG+하/XSV+아/EC
글로벌	글로벌/NNG
도약의	도약/NNG+의/JKG
기반을	기반/NNG+을/JKO
구축하고	구축/NNG+하/XSV+고/EC
아시아	아시아/NNP
전역으로	전역/NNG+으로/JKB
