# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.76
metadata : {}


# id : NWRW1800000032.76.1.1
50억 넘는 건물 보유한 연예인 25명서태지 295억 ‘최고 빌딩부자’

50억	50/SN+억/NR
넘는	넘/VV+는/ETM
건물	건물/NNG
보유한	보유/NNG+하/XSV+ㄴ/ETM
연예인	연예인/NNG
25명서태지	25/SN+명/NNB+서태지/NNP
295억	295/SN+억/NR
‘최고	‘/SS+최고/NNG
빌딩부자’	빌딩/NNG+부자/NNG+’/SS


# id : NWRW1800000032.76.2.1
27개중 13개가 청담동

27개중	27/SN+개/NNB+중/NNB
13개가	13/SN+개/NNB+가/JKS
청담동	청담동/NNP


# id : NWRW1800000032.76.3.1
유인촌 110억원 ‘눈길’

유인촌	유인촌/NNP
110억원	110/SN+억/NR+원/NNB
‘눈길’	‘/SS+눈길/NNG+’/SS


# id : NWRW1800000032.76.4.1
가수 서태지가 연예인 가운데 최고 ‘빌딩 부자’라는 조사 결과가 나왔다.

가수	가수/NNG
서태지가	서태지/NNP+가/JKS
연예인	연예인/NNG
가운데	가운데/NNG
최고	최고/NNG
‘빌딩	‘/SS+빌딩/NNG
부자’라는	부자/NNG+’/SS+이/VCP+라는/ETM
조사	조사/NNG
결과가	결과/NNG+가/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.76.5.1
재벌닷컴이 자체적으로 확보한 자료를 바탕으로 13일 밝힌 조사 내용을 보면, 평가액 50억원 이상의 건물을 보유하고 있는 연예인은 25명인 것으로 나타났다.

재벌닷컴이	재벌닷컴/NNP+이/JKS
자체적으로	자체/NNG+적/XSN+으로/JKB
확보한	확보/NNG+하/XSV+ㄴ/ETM
자료를	자료/NNG+를/JKO
바탕으로	바탕/NNG+으로/JKB
13일	13/SN+일/NNB
밝힌	밝히/VV+ㄴ/ETM
조사	조사/NNG
내용을	내용/NNG+을/JKO
보면,	보/VV+면/EC+,/SP
평가액	평가액/NNG
50억원	50/SN+억/NR+원/NNB
이상의	이상/NNG+의/JKG
건물을	건물/NNG+을/JKO
보유하고	보유/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
연예인은	연예인/NNG+은/JX
25명인	25/SN+명/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.76.5.2
이들이 보유한 총27개 건물 중 13개가 서울 강남구 청담동에 몰려 있다.

이들이	이/NP+들/XSN+이/JKS
보유한	보유/NNG+하/XSV+ㄴ/ETM
총27개	총/MMA+27/SN+개/NNB
건물	건물/NNG
중	중/NNB
13개가	13/SN+개/NNB+가/JKS
서울	서울/NNP
강남구	강남구/NNP
청담동에	청담동/NNP+에/JKB
몰려	몰리/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.76.6.1
서태지가 소유하고 있는 서울 강남구 논현동 소재 건물의 평가액이 295억3000만원으로 가장 높았다.

서태지가	서태지/NNP+가/JKS
소유하고	소유/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
서울	서울/NNP
강남구	강남구/NNP
논현동	논현동/NNP
소재	소재/NNG
건물의	건물/NNG+의/JKG
평가액이	평가액/NNG+이/JKS
295억3000만원으로	295/SN+억/NR+3000/SN+만/NR+원/NNB+으로/JKB
가장	가장/MAG
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000032.76.6.2
지상 6층, 지하 3층에 대지 722.5㎡(219평),연면적 3729.4㎡(1천130평)로 ㎡당 공시지가는 947만원이다.

지상	지상/NNG
6층,	6/SN+층/NNG+,/SP
지하	지하/NNG
3층에	3/SN+층/NNG+에/JKB
대지	대지/NNG
722.5㎡(219평),연면적	722/SN+./SP+5/SN+㎡/SW+(/SS+219/SN+평/NNB+)/SS+,/SP+연면적/NNG
3729.4㎡(1천130평)로	3729/SN+./SP+4/SN+㎡/SW+(/SS+1/SN+천/NR+130/SN+평/NNB+)/SS+로/JKB
㎡당	㎡/SW+당/XSN
공시지가는	공시/NNG+지가/NNG+는/JX
947만원이다.	947/SN+만/NR+원/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.76.7.1
100억 이상의 건물을 보유한 연예인 9명 중 5명은 부부가 모두 연예인이다.

100억	100/SN+억/NR
이상의	이상/NNG+의/JKG
건물을	건물/NNG+을/JKO
보유한	보유/NNG+하/XSV+ㄴ/ETM
연예인	연예인/NNG
9명	9/SN+명/NNB
중	중/NNB
5명은	5/SN+명/NNB+은/JX
부부가	부부/NNG+가/JKS
모두	모두/MAG
연예인이다.	연예인/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.76.7.2
영화배우 장동건·고소영 부부가 보유한 건물 3채 가격을 합하면 282억6000만원이다.

영화배우	영화배우/NNG
장동건·고소영	장동건/NNP+·/SP+고소영/NNP
부부가	부부/NNG+가/JKS
보유한	보유/NNG+하/XSV+ㄴ/ETM
건물	건물/NNG
3채	3/SN+채/NNB
가격을	가격/NNG+을/JKO
합하면	합/NNG+하/XSV+면/EC
282억6000만원이다.	282/SN+억/NR+6000/SN+만/NR+원/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.76.7.3
고소영 소유인 강남구 청담동과 논현동 소재 건물의 평가액 합은 156억5000만원이고, 장동건 소유의 용산구 한남동 건물은 126억1000만원이다.

고소영	고소영/NNP
소유인	소유/NNG+이/VCP+ㄴ/ETM
강남구	강남구/NNP
청담동과	청담동/NNP+과/JC
논현동	논현동/NNP
소재	소재/NNG
건물의	건물/NNG+의/JKG
평가액	평가액/NNG
합은	합/NNG+은/JX
156억5000만원이고,	156/SN+억/NR+5000/SN+만/NR+원/NNB+이/VCP+고/EC+,/SP
장동건	장동건/NNP
소유의	소유/NNG+의/JKG
용산구	용산구/NNP
한남동	한남동/NNP
건물은	건물/NNG+은/JX
126억1000만원이다.	126/SN+억/NR+1000/SN+만/NR+원/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.76.8.1
탤런트 차인표·신애라 부부가 공동명의로 보유한 청담동 건물은 223억4000만원이다.

탤런트	탤런트/NNG
차인표·신애라	차인표/NNP+·/SP+신애라/NNP
부부가	부부/NNG+가/JKS
공동명의로	공동/NNG+명의/NNG+로/JKB
보유한	보유/NNG+하/XSV+ㄴ/ETM
청담동	청담동/NNP
건물은	건물/NNG+은/JX
223억4000만원이다.	223/SN+억/NR+4000/SN+만/NR+원/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.76.8.2
유인촌 전 문화체육관광부장관도 100억대 건물부자다.

유인촌	유인촌/NNP
전	전/MMD
문화체육관광부장관도	문화/NNG+체육/NNG+관광부/NNG+장관/NNG+도/JX
100억대	100/SN+억/NR+대/XSN
건물부자다.	건물/NNG+부자/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.76.8.3
부인 강혜경씨와 공동명의로 된 청담동 건물은 110억6000만원으로 평가됐다.

부인	부인/NNG
강혜경씨와	강혜경/NNP+씨/NNB+와/JKB
공동명의로	공동/NNG+명의/NNG+로/JKB
된	되/VV+ㄴ/ETM
청담동	청담동/NNP
건물은	건물/NNG+은/JX
110억6000만원으로	110/SN+억/NR+6000/SN+만/NR+원/NNB+으로/JKB
평가됐다.	평가/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000032.76.9.1
주식부자에 수십억대 건물을 갖고 있는 연예인도 있다.

주식부자에	주식/NNG+부자/NNG+에/JKB
수십억대	수십억/NR+대/XSN
건물을	건물/NNG+을/JKO
갖고	갖/VV+고/EC
있는	있/VX+는/ETM
연예인도	연예인/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000032.76.9.2
제이와이피(JYP)엔터테인먼트 주식 100억원대를 보유하고 있는 박진영 대표의 청담동 빌딩은 93억3000만원이다.

제이와이피(JYP)엔터테인먼트	제이와이피/NNP+(/SS+JYP/SL+)/SS+엔터테인먼트/NNG
주식	주식/NNG
100억원대를	100/SN+억/NR+원/NNB+대/XSN+를/JKO
보유하고	보유/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
박진영	박진영/NNP
대표의	대표/NNG+의/JKG
청담동	청담동/NNP
빌딩은	빌딩/NNG+은/JX
93억3000만원이다.	93/SN+억/NR+3000/SN+만/NR+원/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.76.9.3
지난달 와이지(YG)엔터테인먼트 상장으로 1400억원대 주식 부자에 오른 양현석 대표는 합정동에 68억2000만원짜리 건물을 보유하고 있다.

지난달	지난달/NNG
와이지(YG)엔터테인먼트	와이지/NNP+(/SS+YG/SL+)/SS+엔터테인먼트/NNG
상장으로	상장/NNG+으로/JKB
1400억원대	1400/SN+억/NR+원/NNB+대/XSN
주식	주식/NNG
부자에	부자/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
양현석	양현석/NNP
대표는	대표/NNG+는/JX
합정동에	합정동/NNP+에/JKB
68억2000만원짜리	68/SN+억/NR+2000/SN+만/NR+원/NNB+짜리/XSN
건물을	건물/NNG+을/JKO
보유하고	보유/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.76.10.1
신사동, 논현동 등 강남구에 두루 걸쳐있던 연예인의 건물투자는 2005년 이후 명품거리로 유명한 청담동으로 집중됐다.

신사동,	신사동/NNP+,/SP
논현동	논현동/NNP
등	등/NNB
강남구에	강남구/NNP+에/JKB
두루	두루/MAG
걸쳐있던	걸치/VV+어/EC+있/VX+던/ETM
연예인의	연예인/NNG+의/JKG
건물투자는	건물/NNG+투자/NNG+는/JX
2005년	2005/SN+년/NNB
이후	이후/NNG
명품거리로	명품/NNG+거리/NNG+로/JKB
유명한	유명/NNG+하/XSA+ㄴ/ETM
청담동으로	청담동/NNP+으로/JKB
집중됐다.	집중/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000032.76.10.2
탤런트 장근석(140억2000만원), 가수 비(74억5000만원), 탤런트 이미연(67억2000만원)과 김희애(59억2000만원) 등도 2005년 이후 청담동 건물을 사들였다.

탤런트	탤런트/NNG
장근석(140억2000만원),	장근석/NNP+(/SS+140/SN+억/NR+2000/SN+만/NR+원/NNB+)/SS+,/SP
가수	가수/NNG
비(74억5000만원),	비/NNP+(/SS+74/SN+억/NR+5000/SN+만/NR+원/NNB+)/SS+,/SP
이미연(67억2000만원)과	이미연/NNP+(/SS+67/SN+억/NR+2000/SN+만/NR+원/NNB+)/SS+과/JC
김희애(59억2000만원)	김희애/NNP+(/SS+59/SN+억/NR+2000/SN+만/NR+원/NNB+)/SS
등도	등/NNB+도/JX
2005년	2005/SN+년/NNB
이후	이후/NNG
청담동	청담동/NNP
건물을	건물/NNG+을/JKO
사들였다.	사들이/VV+었/EP+다/EF+./SF


