# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.55
metadata : {}


# id : NWRW1800000026.55.1.1
[인천·부천] 부천시민 6000명 '책읽기 릴레이';첫 참가 200명 이달 모집

[인천·부천]	[/SS+인천/NNP+·/SP+부천/NNP+]/SS
부천시민	부천/NNP+시민/NNG
6000명	6000/SN+명/NNB
'책읽기	'/SS+책/NNG+읽/VV+기/ETN
릴레이';첫	릴레이/NNG+'/SS+;/SW+첫/MMN
참가	참가/NNG
200명	200/SN+명/NNB
이달	이달/NNG
모집	모집/NNG


# id : NWRW1800000026.55.2.1
부천시민 6000여명이 3월부터 8월까지 '책읽기 릴레이 운동'을 펼친다.

부천시민	부천/NNP+시민/NNG
6000여명이	6000/SN+여/XSN+명/NNB+이/JKS
3월부터	3/SN+월/NNB+부터/JX
8월까지	8/SN+월/NNB+까지/JX
'책읽기	'/SS+책/NNG+읽/VV+기/ETN
릴레이	릴레이/NNG
운동'을	운동/NNG+'/SS+을/JKO
펼친다.	펼치/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.55.2.2
'책 릴레이'는 시립도서관이 이 달 중에 선정하는 한 권의 책을 시민 200명이 처음 읽은 뒤 가족이나 친지, 동료들에게 권해 책을 읽게 하는 식으로 진행된다.

'책	'/SS+책/NNG
릴레이'는	릴레이/NNG+'/SS+는/JX
시립도서관이	시립/NNG+도서관/NNG+이/JKS
이	이/MMD
달	달/NNG
중에	중/NNB+에/JKB
선정하는	선정/NNG+하/XSV+는/ETM
한	한/MMN
권의	권/NNB+의/JKG
책을	책/NNG+을/JKO
시민	시민/NNG
200명이	200/SN+명/NNB+이/JKS
처음	처음/NNG
읽은	읽/VV+은/ETM
뒤	뒤/NNG
가족이나	가족/NNG+이나/JC
친지,	친지/NNG+,/SP
동료들에게	동료/NNG+들/XSN+에게/JKB
권해	권/NNG+하/XSV+아/EC
읽게	읽/VV+게/EC
하는	하/VX+는/ETM
식으로	식/NNB+으로/JKB
진행된다.	진행/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.55.2.3
