# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.341
metadata : {}


# id : NWRW1800000030.341.1.1
野 "도와줘요 안철수"

野	野/SH
"도와줘요	"/SS+도와주/VV+어요/EF
안철수"	안철수/NNP+"/SS


# id : NWRW1800000030.341.2.1
•서울시장 보선 위기감 커져… 박원순 측 對與 공세도 강화 "나경원은 또세훈·오바타"

•서울시장	•/SW+서울시장/NNG
보선	보선/NNG
위기감	위기감/NNG
커져…	커지/VV+어/EF+…/SE
박원순	박원순/NNP
측	측/NNB
對與	對與/SH
공세도	공세/NNG+도/JX
강화	강화/NNG
"나경원은	"/SS+나경원/NNP+은/JX
또세훈·오바타"	또세훈/NNP+·/SP+오바타/NNP+"/SS


# id : NWRW1800000030.341.3.1
10·26 서울시장 보궐선거가 갈수록 박빙 양상을 보이자 야권에서 "안철수 서울대 융합과학기술대학원장이 나서야 한다"는 목소리가 커지고 있다.

10·26	10/SN+·/SP+26/SN
서울시장	서울시장/NNG
보궐선거가	보궐/NNG+선거/NNG+가/JKS
갈수록	갈수록/MAG
박빙	박빙/NNG
양상을	양상/NNG+을/JKO
보이자	보이/VV+자/EC
야권에서	야권/NNG+에서/JKB
"안철수	"/SS+안철수/NNP
서울대	서울대/NNP
융합과학기술대학원장이	융합/NNG+과학/NNG+기술/NNG+대학원장/NNG+이/JKS
나서야	나서/VV+어야/EC
한다"는	하/VX+ㄴ다/EF+"/SS+는/ETM
목소리가	목소리/NNG+가/JKS
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.341.3.2
그만큼 한나라당의 거듭된 '검증' 공세로 박원순 후보의 지지율이 정체에 빠지자 이대로 가면 서울시장 선거에서 패할지 모른다는 위기감이 커졌다는 얘기다.

그만큼	그만큼/MAG
한나라당의	한나라당/NNP+의/JKG
거듭된	거듭/MAG+되/XSV+ㄴ/ETM
'검증'	'/SS+검증/NNG+'/SS
공세로	공세/NNG+로/JKB
박원순	박원순/NNP
후보의	후보/NNG+의/JKG
지지율이	지지/NNG+율/XSN+이/JKS
정체에	정체/NNG+에/JKB
빠지자	빠지/VV+자/EC
이대로	이대로/MAG
가면	가/VV+면/EC
서울시장	서울시장/NNG
선거에서	선거/NNG+에서/JKB
패할지	패/NNG+하/XSV+ㄹ지/EF
모른다는	모르/VV+ㄴ다는/ETM
위기감이	위기감/NNG+이/JKS
커졌다는	커지/VV+었/EP+다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.341.4.1
정장선 민주당 사무총장은 17일 "안 원장은 박 후보가 나오는 데 결정적 역할을 했기 때문에 그에 상응한 책임이 있다"며 "야권이 총력전을 펼치는 상황에서 안 원장이 역할을 해야 한다"고 했다.

정장선	정장선/NNP
민주당	민주당/NNP
사무총장은	사무총장/NNG+은/JX
17일	17/SN+일/NNB
"안	"/SS+안/NNP
원장은	원장/NNG+은/JX
박	박/NNP
후보가	후보/NNG+가/JKS
나오는	나오/VV+는/ETM
데	데/NNB
결정적	결정/NNG+적/XSN
역할을	역할/NNG+을/JKO
했기	하/VV+았/EP+기/ETN
때문에	때문/NNB+에/JKB
그에	그/NP+에/JKB
상응한	상응/NNG+하/XSV+ㄴ/ETM
책임이	책임/NNG+이/JKS
있다"며	있/VA+다/EF+"/SS+며/EC
"야권이	"/SS+야권/NNG+이/JKS
총력전을	총력전/NNG+을/JKO
펼치는	펼치/VV+는/ETM
상황에서	상황/NNG+에서/JKB
안	안/NNP
원장이	원장/NNG+이/JKS
해야	하/VV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.341.4.2
김효석 민주당 의원도 이날 보도자료를 내고 "안 원장이 박 후보를 지키고 국민의 열망이 타오를 수 있도록 불쏘시개가 되어줄 것을 요청한다"고 했다.

김효석	김효석/NNP
민주당	민주당/NNP
의원도	의원/NNG+도/JX
이날	이날/NNG
보도자료를	보도/NNG+자료/NNG+를/JKO
내고	내/VV+고/EC
"안	"/SS+안/NNP
원장이	원장/NNG+이/JKS
박	박/NNP
후보를	후보/NNG+를/JKO
지키고	지키/VV+고/EC
국민의	국민/NNG+의/JKG
열망이	열망/NNG+이/JKS
