# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.139
metadata : {}


# id : NWRW1800000041.139.1.1
조선후기 풍속화는 주류사회 대항하는 ‘여항문화’의 산물

조선후기	조선/NNP+후기/NNG
풍속화는	풍속화/NNG+는/JX
주류사회	주류/NNG+사회/NNG
대항하는	대항/NNG+하/XSV+는/ETM
‘여항문화’의	‘/SS+여항/NNG+문화/NNG+’/SS+의/JKG
산물	산물/NNG


# id : NWRW1800000041.139.2.1
이중희 교수 연구서에서 밝혀 18∼19세기 경제적 발전에 힘입어 새로 부상한 中人계층 新문화 형성 기득권층과 차별화된 양상 드러내 日세속화 ‘우키요에’도 동시대 유행… 사무라이 문화와 다른 유흥소재 다뤄 상업성 철저… 순수 조선 그림과 차이

이중희	이중희/NNP
교수	교수/NNG
연구서에서	연구서/NNG+에서/JKB
밝혀	밝히/VV+어/EC
18∼19세기	18/SN+∼/SO+19/SN+세기/NNG
경제적	경제/NNG+적/XSN
발전에	발전/NNG+에/JKB
힘입어	힘입/VV+어/EC
새로	새로/MAG
부상한	부상/NNG+하/XSV+ㄴ/ETM
中人계층	中人/SH+계층/NNG
新문화	新/SH+문화/NNG
형성	형성/NNG
기득권층과	기득/NNG+권/XSN+층/XSN+과/JKB
차별화된	차별/NNG+화/XSN+되/XSV+ㄴ/ETM
양상	양상/NNG
드러내	드러내/VV+어/EC
日세속화	日/SH+세속화/NNG
‘우키요에’도	‘/SS+우키요에/NNG+’/SS+도/JX
동시대	동시대/NNG
유행…	유행/NNG+…/SE
사무라이	사무라이/NNG
문화와	문화/NNG+와/JKB
다른	다르/VA+ㄴ/ETM
유흥소재	유흥/NNG+소재/NNG
다뤄	다루/VV+어/EC
상업성	상업/NNG+성/XSN
철저…	철저/NNG+…/SE
순수	순수/NNG
조선	조선/NNP
그림과	그림/NNG+과/JKB
차이	차이/NNG


# id : NWRW1800000041.139.3.1
《 간송미술관이 소장한 국보 제135호 ‘신윤복 필 풍속도 화첩 (申潤福筆風俗圖畵帖·일명 혜원전신첩)’의 30여 그림 가운데는 ‘쌍검대무(雙劍對舞)’란 작품이 있다.

《	《/SS
간송미술관이	간송미술관/NNP+이/JKS
소장한	소장/NNG+하/XSV+ㄴ/ETM
국보	국보/NNG
제135호	제/XPN+135/SN+호/NNB
‘신윤복	‘/SS+신윤복/NNP
필	필/NNG
풍속도	풍속도/NNG
화첩	화첩/NNG
(申潤福筆風俗圖畵帖·일명	(/SS+申潤福筆風俗圖畵帖/SH+·/SP+일명/NNG
혜원전신첩)’의	혜원전신첩/NNG+)/SS+’/SS+의/JKG
30여	30/SN+여/XSN
그림	그림/NNG
가운데는	가운데/NNG+는/JX
‘쌍검대무(雙劍對舞)’란	‘/SS+쌍검대무/NNG+(/SS+雙劍對舞/SH+)/SS+’/SS+이/VCP+란/ETM
작품이	작품/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.139.3.2
7명으로 구성된 악공의 연주에 맞춰, 화려한 복장을 한 무희 2명이 멋들어지게 칼춤을 춘다.
