# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.108
metadata : {}


# id : NWRW1800000022.108.1.1
'이미자 50주년' 축하메시지 보낸 日 엔카 황제 이쓰키 히로시;"이미자는 가수 압도하는 큰 존재"

'이미자	'/SS+이미자/NNP
50주년'	50/SN+주년/NNB+'/SS
축하메시지	축하/NNG+메시지/NNG
보낸	보내/VV+ㄴ/ETM
日	日/SH
엔카	엔카/NNG
황제	황제/NNG
이쓰키	이쓰키/NNP
히로시;"이미자는	히로시/NNP+;/SP+"/SS+이미자/NNP+는/JX
가수	가수/NNG
압도하는	압도/NNG+하/XSV+는/ETM
큰	크/VA+ㄴ/ETM
존재"	존재/NNG+"/SS


# id : NWRW1800000022.108.2.1
일본 엔카의 황제로 불리는 이쓰키 히로시(61)씨가 이미자씨의 데뷔 50주년 기념 공연을 맞아 '축하메시지'를 조선일보에 보내왔다.

일본	일본/NNP
엔카의	엔카/NNG+의/JKG
황제로	황제/NNG+로/JKB
불리는	불리/VV+는/ETM
이쓰키	이쓰키/NNP
히로시(61)씨가	히로시/NNP+(/SS+61/SN+)/SS+씨/NNB+가/JKS
이미자씨의	이미자/NNP+씨/NNB+의/JKG
데뷔	데뷔/NNG
50주년	50/SN+주년/NNB
기념	기념/NNG
공연을	공연/NNG+을/JKO
맞아	맞/VV+아/EC
'축하메시지'를	'/SS+축하/NNG+메시지/NNG+'/SS+를/JKO
조선일보에	조선일보/NNP+에/JKB
보내왔다.	보내오/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.108.2.2
내친김에 그를 만나, 인터뷰했다.

내친김에	내친김/NNG+에/JKB
그를	그/NP+를/JKO
만나,	만나/VV+아/EC+,/SP
인터뷰했다.	인터뷰/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.108.3.1
"혼을 울린다고 할까요?

"혼을	"/SS+혼/NNG+을/JKO
울린다고	울리/VV+ㄴ다고/EC
할까요?	하/VV+ㄹ까/EF+요/JX+?/SF


# id : NWRW1800000022.108.3.2
한국을 대표한다는 수식어론 충분하지 않았습니다.

한국을	한국/NNP+을/JKO
대표한다는	대표/NNG+하/XSV+ㄴ다는/ETM
수식어론	수식어/NNG+로/JKB+ㄴ/JX
충분하지	충분하/VA+지/EC
않았습니다.	않/VX+았/EP+습니다/EF+./SF


# id : NWRW1800000022.108.3.3
수많은 가수를 대표하는 것이 아니라, 수많은 가수를 압도하는 큰 존재라는 느낌이었습니다."

수많은	수많/VA+은/ETM
가수를	가수/NNG+를/JKO
대표하는	대표/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKC
아니라,	아니/VCN+라/EC+,/SP
