# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.415
metadata : {}


# id : NWRW1800000030.415.1.1
[강원] 공공기관 이전, '인력 배치' 논란

[강원]	[/SS+강원/NNP+]/SS
공공기관	공공/NNG+기관/NNG
이전,	이전/NNG+,/SP
'인력	'/SS+인력/NNG
배치'	배치/NNG+'/SS
논란	논란/NNG


# id : NWRW1800000030.415.2.1
정부가 공공기관의 혁신도시 이전과 관련 "지방이전 완료 후 자체적인 인원 증감은 이전계획 승인사항이 아니다"고 밝혀 '수도권 잔류 인원'의 적정 규모를 놓고 논란이 빚어질 전망이다.

정부가	정부/NNG+가/JKS
공공기관의	공공/NNG+기관/NNG+의/JKG
혁신도시	혁신/NNG+도시/NNG
이전과	이전/NNG+과/JKB
관련	관련/NNG
"지방이전	"/SS+지방/NNG+이전/NNG
완료	완료/NNG
후	후/NNG
자체적인	자체/NNG+적/XSN+이/VCP+ㄴ/ETM
인원	인원/NNG
증감은	증감/NNG+은/JX
이전계획	이전/NNG+계획/NNG
승인사항이	승인/NNG+사항/NNG+이/JKC
아니다"고	아니/VCN+다/EF+"/SS+고/JKQ
밝혀	밝히/VV+어/EC
'수도권	'/SS+수도/NNG+권/XSN
잔류	잔류/NNG
인원'의	인원/NNG+'/SS+의/JKG
적정	적정/NNG
규모를	규모/NNG+를/JKO
놓고	놓/VV+고/EC
논란이	논란/NNG+이/JKS
빚어질	빚어지/VV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.415.3.1
이전 기관들이 수도권 소재 지사의 잔류 인원을 늘리고, 혁신도시 내 본사 인원을 줄일 경우 혁신도시는 '껍데기'로 전락할 수 있다는 우려가 나오고 있는 것이다.

이전	이전/NNG
기관들이	기관/NNG+들/XSN+이/JKS
수도권	수도/NNG+권/XSN
소재	소재/NNG
지사의	지사/NNG+의/JKG
잔류	잔류/NNG
인원을	인원/NNG+을/JKO
늘리고,	늘리/VV+고/EC+,/SP
혁신도시	혁신/NNG+도시/NNG
내	내/NNB
본사	본사/NNG
줄일	줄이/VV+ㄹ/ETM
경우	경우/NNG
혁신도시는	혁신/NNG+도시/NNG+는/JX
'껍데기'로	'/SS+껍데기/NNG+'/SS+로/JKB
전락할	전락/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
우려가	우려/NNG+가/JKS
나오고	나오/VV+고/EC
있는	있/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.415.4.1
국토해양부는 허천 의원에게 제출한 국감질의 답변서를 통해 "이미 승인된 이전 인원의 증감 여부는 이전계획 변경 승인사항이지만, 수도권 지사 등의 인원 증감은 승인사항이 아니다"고 말했다.

국토해양부는	국토/NNG+해양부/NNG+는/JX
허천	허천/NNP
의원에게	의원/NNG+에게/JKB
제출한	제출/NNG+하/XSV+ㄴ/ETM
국감질의	국감/NNG+질의/NNG
답변서를	답변서/NNG+를/JKO
통해	통하/VV+아/EC
"이미	"/SS+이미/MAG
승인된	승인/NNG+되/XSV+ㄴ/ETM
이전	이전/NNG
인원의	인원/NNG+의/JKG
증감	증감/NNG
여부는	여부/NNG+는/JX
이전계획	이전/NNG+계획/NNG
변경	변경/NNG
승인사항이지만,	승인/NNG+사항/NNG+이/VCP+지만/EC+,/SP
수도권	수도/NNG+권/XSN
지사	지사/NNG
등의	등/NNB+의/JKG
인원	인원/NNG
증감은	증감/NNG+은/JX
승인사항이	승인/NNG+사항/NNG+이/JKC
아니다"고	아니/VCN+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.415.5.1
또 "공공기관의 지방이전 완료 후, 지방 본사와 수도권 지사의 인원 증감 조정을 통해 인력을 재배치하는 것은 국토부가 관여할 사안이 아니다"고 밝혔다.

또	또/MAG
"공공기관의	"/SS+공공/NNG+기관/NNG+의/JKG
지방이전	지방/NNG+이전/NNG
완료	완료/NNG
후,	후/NNG+,/SP
지방	지방/NNG
본사와	본사/NNG+와/JC
수도권	수도/NNG+권/XSN
지사의	지사/NNG+의/JKG
인원	인원/NNG
증감	증감/NNG
조정을	조정/NNG+을/JKO
통해	통하/VV+아/EC
인력을	인력/NNG+을/JKO
재배치하는	재/XPN+배치/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
국토부가	국토부/NNG+가/JKS
관여할	관여/NNG+하/XSV+ㄹ/ETM
사안이	사안/NNG+이/JKC
아니다"고	아니/VCN+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.415.6.1
따라서 지방으로 이전하는 공공기관들이 혁신도시 내 본사와 수도권 소재 지사의 인원 조정을 통해 수도권 잔류인원을 늘릴 경우 지방의 본사는 '껍데기'로 전락할 수도 있다는 우려가 제기되고 있다.

따라서	따라서/MAJ
지방으로	지방/NNG+으로/JKB
이전하는	이전/NNG+하/XSV+는/ETM
공공기관들이	공공/NNG+기관/NNG+들/XSN+이/JKS
혁신도시	혁신/NNG+도시/NNG
내	내/NNB
본사와	본사/NNG+와/JC
수도권	수도/NNG+권/XSN
소재	소재/NNG
지사의	지사/NNG+의/JKG
인원	인원/NNG
조정을	조정/NNG+을/JKO
통해	통하/VV+아/EC
잔류인원을	잔류/NNG+인원/NNG+을/JKO
늘릴	늘리/VV+ㄹ/ETM
경우	경우/NNG
지방의	지방/NNG+의/JKG
본사는	본사/NNG+는/JX
'껍데기'로	'/SS+껍데기/NNG+'/SS+로/JKB
전락할	전락/NNG+하/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있다는	있/VA+다는/ETM
우려가	우려/NNG+가/JKS
제기되고	제기/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.415.7.1
원주 혁신도시로 이전하는 12개 공공기관이 밝힌 이전 인원 규모는 ▲국민건강보험공단 1192명 ▲건강보험심사평가원 987명 ▲한국광물자원공사 550명 ▲한국관광공사 400명 ▲도로교통공단 319명 ▲국립과학수사연구원 170명 ▲국립공원관리공단 156명 ▲한국광해관리공단 142명 ▲대한적십자사 129명 ▲한국보훈복지의료공단 116명 ▲한국지방행정연구원 108명 ▲대한석탄공사 86명 등 4355명으로 추정되고 있다.

원주	원주/NNP
혁신도시로	혁신/NNG+도시/NNG+로/JKB
이전하는	이전/NNG+하/XSV+는/ETM
12개	12/SN+개/NNB
공공기관이	공공/NNG+기관/NNG+이/JKS
밝힌	밝히/VV+ㄴ/ETM
이전	이전/NNG
인원	인원/NNG
규모는	규모/NNG+는/JX
▲국민건강보험공단	▲/SW+국민건강보험공단/NNP
1192명	1192/SN+명/NNB
▲건강보험심사평가원	▲/SW+건강/NNG+보험/NNG+심사/NNG+평가원/NNG
987명	987/SN+명/NNB
▲한국광물자원공사	▲/SW+한국광물자원공사/NNP
550명	550/SN+명/NNB
▲한국관광공사	▲/SW+한국관광공사/NNP
400명	400/SN+명/NNB
▲도로교통공단	▲/SW+도로교통공단/NNP
319명	319/SN+명/NNB
▲국립과학수사연구원	▲/SW+국립과학수사연구원/NNP
170명	170/SN+명/NNB
▲국립공원관리공단	▲/SW+국립공원관리공단/NNP
156명	156/SN+명/NNB
▲한국광해관리공단	▲/SW+한국광해관리공단/NNP
142명	142/SN+명/NNB
▲대한적십자사	▲/SW+대한적십자사/NNP
129명	129/SN+명/NNB
▲한국보훈복지의료공단	▲/SW+한국보훈복지의료공단/NNP
116명	116/SN+명/NNB
▲한국지방행정연구원	▲/SW+한국지방행정연구원/NNP
108명	108/SN+명/NNB
▲대한석탄공사	▲/SW+대한석탄공사/NNP
86명	86/SN+명/NNB
등	등/NNB
4355명으로	4355/SN+명/NNB+으로/JKB
추정되고	추정/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


