# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.69
metadata : {}


# id : NWRW1800000024.69.1.1
용산 범대위 공동집행위원장 2명 체포영장

용산	용산/NNP
범대위	범대위/NNG
공동집행위원장	공동/NNG+집행/NNG+위원장/NNG
2명	2/SN+명/NNB
체포영장	체포/NNG+영장/NNG


# id : NWRW1800000024.69.2.1
서울중앙지검 공안2부(부장 윤웅걸)는 지난달 20일 ‘용산 철거민 참사’가 일어난 뒤 추모집회를 주도해 온 ‘이명박 정권 용산철거민 살인진압 범국민대책위원회’(범대위) 이아무개씨 등 공동집행위원장 두 명의 체포영장을 청구했다고 26일 밝혔다.

서울중앙지검	서울중앙지검/NNP
공안2부(부장	공안/NNG+2/SN+부/NNG+(/SS+부장/NNG
윤웅걸)는	윤웅걸/NNP+)/SS+는/JX
지난달	지난달/NNG
20일	20/SN+일/NNB
‘용산	‘/SS+용산/NNP
철거민	철거민/NNG
참사’가	참사/NNG+’/SS+가/JKS
일어난	일어나/VV+ㄴ/ETM
뒤	뒤/NNG
추모집회를	추모/NNG+집회/NNG+를/JKO
주도해	주도/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
‘이명박	‘/SS+이명박/NNP
정권	정권/NNG
용산철거민	용산/NNP+철거민/NNG
살인진압	살인/NNG+진압/NNG
범국민대책위원회’(범대위)	범/XPN+국민/NNG+대책/NNG+위원회/NNG+’/SS+(/SS+범대위/NNG+)/SS
이아무개씨	이/NNP+아무개/NP+씨/NNB
등	등/NNB
공동집행위원장	공동/NNG+집행/NNG+위원장/NNG
두	두/MMN
명의	명/NNB+의/JKG
체포영장을	체포/NNG+영장/NNG+을/JKO
청구했다고	청구/NNG+하/XSV+았/EP+다고/EC
26일	26/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.69.2.2
이씨 등은 서울 도심에서 신고되지 않은 집회을 열고 불법 도로 점거를 해 교통을 방해한 혐의(집회 및 시위에 관한 법률 위반) 등을 받고 있으며, 2~3차례 검찰의 소환 요구에 응하지 않았다.

이씨	이/NNP+씨/NNB
등은	등/NNB+은/JX
서울	서울/NNP
도심에서	도심/NNG+에서/JKB
신고되지	신고/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
집회을	집회/NNG+을/JKO
열고	열/VV+고/EC
불법	불법/NNG
도로	도로/NNG
점거를	점거/NNG+를/JKO
해	하/VV+아/EC
교통을	교통/NNG+을/JKO
방해한	방해/NNG+하/XSV+ㄴ/ETM
혐의(집회	혐의/NNG+(/SS+집회/NNG
및	및/MAG
시위에	시위/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률	법률/NNG
위반)	위반/NNG+)/SS
등을	등/NNB+을/JKO
받고	받/VV+고/EC
있으며,	있/VX+으며/EC+,/SP
2~3차례	2/SN+~/SO+3/SN+차례/NNG
검찰의	검찰/NNG+의/JKG
소환	소환/NNG
요구에	요구/NNG+에/JKB
응하지	응하/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.69.3.1
검찰은 이날 서울중앙지검 김희관 2차장 검사 주재로 경찰 등 관련 기관과 대책회의를 열어 28일 예정된 ‘10만 범국민대회’ 때 발생할 가능성이 있는 불법행위에 대해 엄정 대처하기로 했다.

검찰은	검찰/NNG+은/JX
이날	이날/NNG
서울중앙지검	서울중앙지검/NNP
김희관	김희관/NNP
2차장	2/SN+차장/NNG
검사	검사/NNG
주재로	주재/NNG+로/JKB
경찰	경찰/NNG
등	등/NNB
관련	관련/NNG
기관과	기관/NNG+과/JKB
대책회의를	대책/NNG+회의/NNG+를/JKO
열어	열/VV+어/EC
28일	28/SN+일/NNB
예정된	예정/NNG+되/XSV+ㄴ/ETM
‘10만	‘/SS+10/SN+만/NR
범국민대회’	범/XPN+국민/NNG+대회/NNG+’/SS
때	때/NNG
발생할	발생/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있는	있/VA+는/ETM
불법행위에	불법/NNG+행위/NNG+에/JKB
대해	대하/VV+아/EC
엄정	엄정/NNG
대처하기로	대처/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.69.3.2
