# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.357
metadata : {}


# id : NWRW1800000021.357.1.1
정부, 오늘 신종플루 ‘심각’ 단계 격상

정부,	정부/NNG+,/SP
오늘	오늘/MAG
신종플루	신종/NNG+플루/NNG
‘심각’	‘/SS+심각/XR+’/SS
단계	단계/NNG
격상	격상/NNG


# id : NWRW1800000021.357.2.1
정부는 3일 신종 인플루엔자A(H1N1) 국가전염병재난단계를 최고 수준인 ‘심각’ 단계로 격상하고 후속 대책을 발표한다.

정부는	정부/NNG+는/JX
3일	3/SN+일/NNB
신종	신종/NNG
인플루엔자A(H1N1)	인플루엔자/NNG+A/SL+(/SS+H/SL+1/SN+N/SL+1/SN+)/SS
국가전염병재난단계를	국가/NNG+전염병/NNG+재난/NNG+단계/NNG+를/JKO
최고	최고/NNG
수준인	수준/NNG+이/VCP+ㄴ/ETM
‘심각’	‘/SS+심각/XR+’/SS
단계로	단계/NNG+로/JKB
격상하고	격상/NNG+하/XSV+고/EC
후속	후속/NNG
대책을	대책/NNG+을/JKO
발표한다.	발표/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.357.2.2
국가전염병재난단계는 ‘관심(Blue)’ ‘주의(Yellow)’ ‘경계(Orange)’ ‘심각(Red)’ 4단계로 구분돼 있으며 정부는 7월 21일 신종 플루의 지역사회 감염이 확산되면서 ‘경계’를 발령한 후 이를 유지해 왔다.

국가전염병재난단계는	국가/NNG+전염병/NNG+재난/NNG+단계/NNG+는/JX
‘관심(Blue)’	‘/SS+관심/NNG+(/SS+Blue/SL+)/SS+’/SS
‘주의(Yellow)’	‘/SS+주의/NNG+(/SS+Yellow/SL+)/SS+’/SS
‘경계(Orange)’	‘/SS+경계/NNG+(/SS+Orange/SL+)/SS+’/SS
‘심각(Red)’	‘/SS+심각/XR+(/SS+Red/SL+)/SS+’/SS
4단계로	4/SN+단계/NNG+로/JKB
구분돼	구분/NNG+되/XSV+어/EC
있으며	있/VX+으며/EC
정부는	정부/NNG+는/JX
7월	7/SN+월/NNB
21일	21/SN+일/NNB
신종	신종/NNG
플루의	플루/NNG+의/JKG
지역사회	지역/NNG+사회/NNG
감염이	감염/NNG+이/JKS
확산되면서	확산/NNG+되/XSV+면서/EC
‘경계’를	‘/SS+경계/NNG+’/SS+를/JKO
발령한	발령/NNG+하/XSV+ㄴ/ETM
후	후/NNG
이를	이/NP+를/JKO
유지해	유지/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.357.3.1
정부가 심각 단계로 격상하기로 한 것은 지난주(10월 25∼31일) 하루 평균 신종 플루 감염 환자가 8857명으로 그 전주(18∼24일) 4220명보다 2배 이상 늘어난 데다 이번 주 들어 기온이 떨어지면서 앞으로 3, 4주간 환자가 급증할 것으로 예상되기 때문이다.

정부가	정부/NNG+가/JKS
심각	심각/XR
단계로	단계/NNG+로/JKB
격상하기로	격상/NNG+하/XSV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
것은	것/NNB+은/JX
지난주(10월	지난주/NNG+(/SS+10/SN+월/NNB
25∼31일)	25/SN+∼/SO+31/SN+일/NNB+)/SS
하루	하루/NNG
평균	평균/NNG
신종	신종/NNG
플루	플루/NNG
감염	감염/NNG
환자가	환자/NNG+가/JKS
8857명으로	8857/SN+명/NNB+으로/JKB
그	그/MMD
전주(18∼24일)	전주/NNG+(/SS+18/SN+∼/SO+24/SN+일/NNB+)/SS
4220명보다	4220/SN+명/NNB+보다/JKB
2배	2/SN+배/NNG
이상	이상/NNG
늘어난	늘어나/VV+ㄴ/ETM
데다	데/NNB+다/JX
이번	이번/NNG
주	주/NNG
들어	들/VV+어/EC
기온이	기온/NNG+이/JKS
떨어지면서	떨어지/VV+면서/EC
앞으로	앞/NNG+으로/JKB
3,	3/SN+,/SP
4주간	4/SN+주간/NNB
급증할	급증/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상되기	예상/NNG+되/XSV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.357.4.1
보건복지가족부 중앙인플루엔자대책본부는 “지난달 18∼24일 전국 817개 표본감시의료기관의 외래환자 1000명당 인플루엔자 유사 환자는 20.29명으로 그 전주(11∼17일)에 비해 119.6%가 증가했다”고 2일 밝혔다.

보건복지가족부	보건/NNG+복지/NNG+가족부/NNG
중앙인플루엔자대책본부는	중앙/NNG+인플루엔자/NNG+대책/NNG+본부/NNG+는/JX
“지난달	“/SS+지난달/NNG
18∼24일	18/SN+∼/SO+24/SN+일/NNB
전국	전국/NNG
817개	817/SN+개/NNB
표본감시의료기관의	표본/NNG+감시/NNG+의료/NNG+기관/NNG+의/JKG
외래환자	외래/NNG+환자/NNG
1000명당	1000/SN+명/NNB+당/XSN
인플루엔자	인플루엔자/NNG
유사	유사/NNG
환자는	환자/NNG+는/JX
20.29명으로	20/SN+./SP+29/SN+명/NNB+으로/JKB
그	그/MMD
전주(11∼17일)에	전주/NNG+(/SS+11/SN+∼/SO+17/SN+일/NNB+)/SS+에/JKB
비해	비/NNG+하/XSV+아/EC
119.6%가	119/SN+./SP+6/SN+%/SW+가/JKS
증가했다”고	증가/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
2일	2/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.357.4.2
이는 역대 최고치였던 올해 1월 수준(17.5명)을 넘어선 것이다.

이는	이/NP+는/JX
역대	역대/NNG
최고치였던	최고/NNG+치/XSN+이/VCP+었/EP+던/ETM
올해	올해/NNG
1월	1/SN+월/NNB
수준(17.5명)을	수준/NNG+(/SS+17/SN+./SP+5/SN+명/NNB+)/SS+을/JKO
넘어선	넘어서/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.357.4.3
국가전염병재난단계가 심각 단계로 상향 조정되면 행정안전부 장관을 본부장으로 하는 중앙인플루엔자 재난안전대책본부 구성 및 인력 동원 계획, 신종 플루 감염 차단을 위한 부처별 대책이 마련된다.

국가전염병재난단계가	국가/NNG+전염병/NNG+재난/NNG+단계/NNG+가/JKS
심각	심각/XR
단계로	단계/NNG+로/JKB
상향	상향/NNG
조정되면	조정/NNG+되/XSV+면/EC
행정안전부	행정/NNG+안전부/NNG
장관을	장관/NNG+을/JKO
본부장으로	본부장/NNG+으로/JKB
하는	하/VV+는/ETM
중앙인플루엔자	중앙/NNG+인플루엔자/NNG
재난안전대책본부	재난/NNG+안전/NNG+대책/NNG+본부/NNG
구성	구성/NNG
및	및/MAG
인력	인력/NNG
동원	동원/NNG
계획,	계획/NNG+,/SP
신종	신종/NNG
플루	플루/NNG
감염	감염/NNG
차단을	차단/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
부처별	부처/NNG+별/XSN
대책이	대책/NNG+이/JKS
마련된다.	마련/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.357.4.4
여행과 행사 자제령, 신종 플루 검사기간 단축을 위한 검사장비 공급 확대, 타미플루의 오남용 방지 대책도 발표된다.

여행과	여행/NNG+과/JC
행사	행사/NNG
자제령,	자제령/NNG+,/SP
신종	신종/NNG
플루	플루/NNG
검사기간	검사/NNG+기간/NNG
단축을	단축/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
검사장비	검사/NNG+장비/NNG
공급	공급/NNG
확대,	확대/NNG+,/SP
타미플루의	타미플루/NNG+의/JKG
오남용	오남용/NNG
방지	방지/NNG
대책도	대책/NNG+도/JX
발표된다.	발표/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.357.4.5
집단 발생이 속출하고 있는 학교 대책은 전문가들 사이에 이견이 많고 교육과학기술부의 행정지침이 내려간 지 일주일도 되지 않아 현재 휴교 지침을 유지할 것으로 알려졌다.

집단	집단/NNG
발생이	발생/NNG+이/JKS
속출하고	속출/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
학교	학교/NNG
대책은	대책/NNG+은/JX
전문가들	전문가/NNG+들/XSN
사이에	사이/NNG+에/JKB
이견이	이견/NNG+이/JKS
많고	많/VA+고/EC
