# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.68
metadata : {}


# id : NWRW1800000022.68.1.1
[브리핑] 왕따·폭력·위화감 조성… '꽃보다 남자' 징계 심사

[브리핑]	[/SS+브리핑/NNG+]/SS
왕따·폭력·위화감	왕따/NNG+·/SP+폭력/NNG+·/SP+위화감/NNG
조성…	조성/NNG+…/SE
'꽃보다	'/SS+꽃/NNG+보다/JKB
남자'	남자/NNG+'/SS
징계	징계/NNG
심사	심사/NNG


# id : NWRW1800000022.68.2.1
방송통신심의위원회(위원장 박명진)가 KBS 2 TV 드라마 '꽃보다 남자'에 대해 제기되는 시청자 민원들에 따라 제작진 의견 진술을 듣기로 했다.

방송통신심의위원회(위원장	방송/NNG+통신/NNG+심의/NNG+위원회/NNG+(/SS+위원장/NNG
박명진)가	박명진/NNP+)/SS+가/JKS
KBS	KBS/SL
2	2/SN
TV	TV/SL
드라마	드라마/NNG
'꽃보다	'/SS+꽃/NNG+보다/JKB
남자'에	남자/NNG+'/SS+에/JKB
대해	대하/VV+아/EC
제기되는	제기/NNG+되/XSV+는/ETM
시청자	시청자/NNG
민원들에	민원/NNG+들/XSN+에/JKB
따라	따르/VV+아/EC
제작진	제작진/NNG
의견	의견/NNG
진술을	진술/NNG+을/JKO
듣기로	듣/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.68.3.1
방통심의위측은 "지난 1월 한달간 접수된 시청자 민원 201건 가운데 21건이 '꽃보다 남자'와 관련된 것"이라며 "지적된 내용 대다수가 왕따 조장, 학교 폭력, 성희롱, 계층 간 위화감 조성 등이었다"고 밝혔다.

방통심의위측은	방통심의위/NNG+측/NNB+은/JX
"지난	"/SS+지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
한달간	한/MMN+달/NNB+간/XSN
접수된	접수/NNG+되/XSV+ㄴ/ETM
시청자	시청자/NNG
민원	민원/NNG
201건	201/SN+건/NNB
가운데	가운데/NNG
21건이	21/SN+건/NNB+이/JKS
'꽃보다	'/SS+꽃/NNG+보다/JKB
남자'와	남자/NNG+'/SS+와/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"지적된	"/SS+지적/NNG+되/XSV+ㄴ/ETM
내용	내용/NNG
대다수가	대/XPN+다수/NNG+가/JKS
왕따	왕따/NNG
조장,	조장/NNG+,/SP
학교	학교/NNG
폭력,	폭력/NNG+,/SP
성희롱,	성희롱/NNG+,/SP
계층	계층/NNG
간	간/NNB
위화감	위화감/NNG
조성	조성/NNG
등이었다"고	등/NNB+이/VCP+었/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.68.4.1
방통심의위가 개별 프로그램에 대한 제재를 결정하기 위해서는 반드시 제작진의 의견 진술을 들어야 한다.

방통심의위가	방통심의위/NNG+가/JKS
개별	개별/NNG
프로그램에	프로그램/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
제재를	제재/NNG+를/JKO
결정하기	결정/NNG+하/XSV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
반드시	반드시/MAG
제작진의	제작진/NNG+의/JKG
의견	의견/NNG
진술을	진술/NNG+을/JKO
들어야	듣/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.68.4.2
방통심의위 관계자는 "제재를 받을 가능성이 높기 때문에 의견진술이 결정된 것 같다"고 말했다.

방통심의위	방통심의위/NNG
관계자는	관계자/NNG+는/JX
"제재를	"/SS+제재/NNG+를/JKO
받을	받/VV+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높기	높/VA+기/ETN
때문에	때문/NNB+에/JKB
의견진술이	의견/NNG+진술/NNG+이/JKS
결정된	결정/NNG+되/XSV+ㄴ/ETM
것	것/NNB
같다"고	같/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.68.5.1
'꽃보다 남자' 제작진 의견 진술은 오는 3일 방송심의소위원회에서 진행된다.

'꽃보다	'/SS+꽃/NNG+보다/JKB
남자'	남자/NNG+'/SS
제작진	제작진/NNG
의견	의견/NNG
진술은	진술/NNG+은/JX
오는	오/VV+는/ETM
3일	3/SN+일/NNB
방송심의소위원회에서	방송/NNG+심의/NNG+소/XPN+위원회/NNG+에서/JKB
진행된다.	진행/NNG+되/XSV+ㄴ다/EF+./SF


