# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.313
metadata : {}


# id : NWRW1800000054.313.1.1
[터치! 코리아] 그 사랑이 눈총 받는 이유

[터치!	[/SS+터치/NNG+!/SF
코리아]	코리아/NNP+]/SS
그	그/MMD
사랑이	사랑/NNG+이/JKS
눈총	눈총/NNG
받는	받/VV+는/ETM
이유	이유/NNG


# id : NWRW1800000054.313.2.1
5월의 어느 오후 조금 늙은 남자와 조금 젊은 남자들이 산책하는 모습은 보기 좋았다.

5월의	5/SN+월/NNB+의/JKG
어느	어느/MMD
오후	오후/NNG
조금	조금/MAG
늙은	늙/VV+은/ETM
남자와	남자/NNG+와/JC
젊은	젊/VA+은/ETM
남자들이	남자/NNG+들/XSN+이/JKS
산책하는	산책/NNG+하/XSV+는/ETM
모습은	모습/NNG+은/JX
보기	보/VV+기/ETN
좋았다.	좋/VA+았/EP+다/EF+./SF


# id : NWRW1800000054.313.2.2
지난 11일 문재인 대통령과 임종석 비서실장, 조국 민정수석 등 청와대 참모진이 테이크아웃 커피를 들고 청와대에서 걷는 모습을 사진으로 봤다.

지난	지나/VV+ㄴ/ETM
11일	11/SN+일/NNB
문재인	문재인/NNP
대통령과	대통령/NNG+과/JC
임종석	임종석/NNP
비서실장,	비서실장/NNG+,/SP
조국	조국/NNP
민정수석	민정/NNG+수석/NNG
등	등/NNB
청와대	청와대/NNP
참모진이	참모진/NNG+이/JKS
테이크아웃	테이크아웃/NNG
커피를	커피/NNG+를/JKO
들고	들/VV+고/EC
청와대에서	청와대/NNP+에서/JKB
걷는	걷/VV+는/ETM
모습을	모습/NNG+을/JKO
사진으로	사진/NNG+으로/JKB
봤다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.313.2.3
종이컵 하나 드는 게 뭐 감탄할 일인가 싶은데도 상쾌한 느낌이 드는 건 어쩔 수 없었다.

종이컵	종이컵/NNG
하나	하나/NR
드는	들/VV+는/ETM
게	거/NNB+이/JKS
뭐	뭐/IC
감탄할	감탄/NNG+하/XSV+ㄹ/ETM
일인가	일/NNG+이/VCP+ㄴ가/EF
싶은데도	싶/VX+은데/EC+도/JX
상쾌한	상쾌하/VA+ㄴ/ETM
느낌이	느낌/NNG+이/JKS
건	거/NNB+ㄴ/JX
어쩔	어쩌/VV+ㄹ/ETM
수	수/NNB
