# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.361
metadata : {}


# id : NWRW1800000053.361.1.1
“北 SLBM 발사 준비 징후 포착”

“北	“/SS+北/SH
SLBM	SLBM/SL
발사	발사/NNG
준비	준비/NNG
징후	징후/NNG
포착”	포착/NNG+”/SS


# id : NWRW1800000053.361.2.1
[한반도 위기론 증폭]38노스, 신포 일대 위성사진 분석 “잠수함 갑판 위장막으로 덮여” 아사히 “한미일, 영상 분석 결과… ICBM 대기권 재진입 실패 결론”

[한반도	[/SS+한반도/NNP
위기론	위기/NNG+론/XSN
증폭]38노스,	증폭/NNG+]/SS+38노스/NNP+,/SP
신포	신포/NNP
일대	일대/NNG
위성사진	위성/NNG+사진/NNG
분석	분석/NNG
“잠수함	“/SS+잠수함/NNG
갑판	갑판/NNG
위장막으로	위장막/NNG+으로/JKB
덮여”	덮이/VV+어/EF+”/SS
아사히	아사히/NNP
“한미일,	“/SS+한미일/NNP+,/SP
영상	영상/NNG
결과…	결과/NNG+…/SE
ICBM	ICBM/SL
대기권	대기/NNG+권/XSN
재진입	재/XPN+진입/NNG
실패	실패/NNG
결론”	결론/NNG+”/SS


# id : NWRW1800000053.361.3.1
북한이 잠수함발사탄도미사일(SLBM)의 해상 발사 시험을 준비하는 징후가 포착됐다고 미국 북한전문매체 38노스가 12일(현지 시간) 보도했다.

북한이	북한/NNP+이/JKS
잠수함발사탄도미사일(SLBM)의	잠수함/NNG+발사/NNG+탄도/NNG+미사일/NNG+(/SS+SLBM/SL+)/SS+의/JKG
해상	해상/NNG
발사	발사/NNG
시험을	시험/NNG+을/JKO
준비하는	준비/NNG+하/XSV+는/ETM
징후가	징후/NNG+가/JKS
포착됐다고	포착/NNG+되/XSV+었/EP+다고/EC
미국	미국/NNP
북한전문매체	북한/NNP+전문/NNG+매체/NNG
38노스가	38노스/NNP+가/JKS
12일(현지	12/SN+일/NNB+(/SS+현지/NNG
시간)	시간/NNG+)/SS
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.361.4.1
38노스에 따르면 군사전문가 조지프 버뮤데스는 7일 북한 신포 일대를 촬영한 위성사진을 분석한 결과 신포 조선소에 정박 중인 잠수함 전방과 후반 갑판이 위장막으로 덮여 있는 사실이 확인됐다고 밝혔다.

38노스에	38노스/NNP+에/JKB
따르면	따르/VV+면/EC
군사전문가	군사/NNG+전문가/NNG
조지프	조지프/NNP
버뮤데스는	버뮤데스/NNP+는/JX
7일	7/SN+일/NNB
북한	북한/NNP
신포	신포/NNP
일대를	일대/NNG+를/JKO
촬영한	촬영/NNG+하/XSV+ㄴ/ETM
위성사진을	위성/NNG+사진/NNG+을/JKO
분석한	분석/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
조선소에	조선소/NNG+에/JKB
정박	정박/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
잠수함	잠수함/NNG
전방과	전방/NNG+과/JC
후반	후반/NNG
갑판이	갑판/NNG+이/JKS
위장막으로	위장막/NNG+으로/JKB
덮여	덮이/VV+어/EC
있는	있/VX+는/ETM
사실이	사실/NNG+이/JKS
확인됐다고	확인/NNG+되/XSV+었/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.361.4.2
이는 북한이 잠수함의 새로운 활동을 감추기 위해 사용하는 방법으로 7월 북극성-1(SLBM) 시험 발사 전에도 비슷한 움직임이 관찰됐다.

이는	이/NP+는/JX
북한이	북한/NNP+이/JKS
잠수함의	잠수함/NNG+의/JKG
새로운	새롭/VA+ㄴ/ETM
활동을	활동/NNG+을/JKO
감추기	감추/VV+기/ETN
위해	위하/VV+아/EC
사용하는	사용/NNG+하/XSV+는/ETM
방법으로	방법/NNG+으로/JKB
7월	7/SN+월/NNB
북극성-1(SLBM)	북극성/NNG+-/SO+1/SN+(/SS+SLBM/SL+)/SS
시험	시험/NNG
발사	발사/NNG
전에도	전/NNG+에/JKB+도/JX
비슷한	비슷하/VA+ㄴ/ETM
움직임이	움직임/NNG+이/JKS
관찰됐다.	관찰/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.361.5.1
한편 한미일 3국 정부는 지난달 28일 북한이 발사한 대륙간탄도미사일(ICBM)급 화성-14형이 대기권 재진입에 실패했다는 결론을 내렸다고 일본 아사히신문이 12일 보도했다.

한편	한편/MAG
한미일	한미일/NNP
3국	3국/NNG
정부는	정부/NNG+는/JX
지난달	지난달/NNG
28일	28/SN+일/NNB
북한이	북한/NNP+이/JKS
발사한	발사/NNG+하/XSV+ㄴ/ETM
대륙간탄도미사일(ICBM)급	대륙/NNG+간/NNB+탄도/NNG+미사일/NNG+(/SS+ICBM/SL+)/SS+급/NNG
화성-14형이	화성-14/NNP+형/XSN+이/JKS
대기권	대기/NNG+권/XSN
재진입에	재/XPN+진입/NNG+에/JKB
실패했다는	실패/NNG+하/XSV+았/EP+다는/ETM
결론을	결론/NNG+을/JKO
내렸다고	내리/VV+었/EP+다고/EC
일본	일본/NNP
아사히신문이	아사히신문/NNP+이/JKS
12일	12/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.361.5.2
신문은 일본 NHK가 미사일 낙하 추정 시각에 홋카이도(北海道)에서 촬영한 섬광 영상을 한미일 당국이 분석한 결과 이 같은 결론에 도달했다고 신문은 전했다.

신문은	신문/NNG+은/JX
일본	일본/NNP
NHK가	NHK/SL+가/JKS
미사일	미사일/NNG
낙하	낙하/NNG
추정	추정/NNG
시각에	시각/NNG+에/JKB
홋카이도(北海道)에서	홋카이도/NNP+(/SS+北海道/SH+)/SS+에서/JKB
촬영한	촬영/NNG+하/XSV+ㄴ/ETM
섬광	섬광/NNG
영상을	영상/NNG+을/JKO
한미일	한미일/NNP
당국이	당국/NNG+이/JKS
분석한	분석/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
이	이/NP
같은	같/VA+은/ETM
결론에	결론/NNG+에/JKB
도달했다고	도달/NNG+하/XSV+았/EP+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.361.6.1
영상 속 피사체는 광점(光點)이 서서히 어두워져 해면 도달 전에 사라졌는데 이는 탄두가 소멸했음을 보여준다는 것이다.

영상	영상/NNG
속	속/NNG
피사체는	피사체/NNG+는/JX
광점(光點)이	광점/NNG+(/SS+光點/SH+)/SS+이/JKS
서서히	서서히/MAG
어두워져	어둡/VA+어/EC+지/VX+어/EC
해면	해면/NNG
도달	도달/NNG
전에	전/NNG+에/JKB
사라졌는데	사라지/VV+었/EP+는데/EC
이는	이/NP+는/JX
탄두가	탄두/NNG+가/JKS
소멸했음을	소멸/NNG+하/XSV+았/EP+음/ETN+을/JKO
보여준다는	보이/VV+어/EC+주/VX+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.361.6.2
신문은 고각 발사한 화성-14형이 거의 수직으로 떨어지면서 대기의 저항도 컸다고 지적했다.

신문은	신문/NNG+은/JX
고각	고각/NNG
발사한	발사/NNG+하/XSV+ㄴ/ETM
화성-14형이	화성-14/NNP+형/XSN+이/JKS
거의	거의/MAG
수직으로	수직/NNG+으로/JKB
떨어지면서	떨어지/VV+면서/EC
대기의	대기/NNG+의/JKG
저항도	저항/NNG+도/JX
컸다고	크/VA+었/EP+다고/EC
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.361.6.3
이 분석대로라면 북한의 ICBM급 재진입 기술은 정상 각도는 물론이고 고각 발사도 성공하기 힘든 수준으로 해석될 수 있다.

이	이/MMD
분석대로라면	분석/NNG+대로/JX+이/VCP+라면/EC
북한의	북한/NNP+의/JKG
ICBM급	ICBM급/NNG
재진입	재/XPN+진입/NNG
기술은	기술/NNG+은/JX
정상	정상/NNG
각도는	각도/NNG+는/JX
물론이고	물론/NNG+이/VCP+고/EC
고각	고각/NNG
발사도	발사/NNG+도/JX
성공하기	성공/NNG+하/XSV+기/ETN
힘든	힘들/VA+ㄴ/ETM
수준으로	수준/NNG+으로/JKB
해석될	해석/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.361.6.4
군 당국자는 “핵장착 ICBM을 쏴도 재진입 과정에서 탄두가 파괴되면 무용지물”이라고 말했다.

군	군/NNG
당국자는	당국자/NNG+는/JX
“핵장착	“/SS+핵/NNG+장착/NNG
ICBM을	ICBM/SL+을/JKO
쏴도	쏘/VV+아도/EC
재진입	재/XPN+진입/NNG
과정에서	과정/NNG+에서/JKB
탄두가	탄두/NNG+가/JKS
파괴되면	파괴/NNG+되/XSV+면/EC
무용지물”이라고	무용지물/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.361.7.1
신문은 군사 소식통을 인용해 당초 한미일 3국은 북한이 3월 신형 엔진을 완성시키기 전까지는 “ICBM 완성까지 2년 정도 걸릴 것”으로 내다봤으나 지금은 완성하는 데 수개월 정도 남은 것으로 보고 있다고 전했다.

신문은	신문/NNG+은/JX
군사	군사/NNG
소식통을	소식통/NNG+을/JKO
인용해	인용/NNG+하/XSV+아/EC
당초	당초/NNG
한미일	한미일/NNP
3국은	3국/NNG+은/JX
북한이	북한/NNP+이/JKS
3월	3/SN+월/NNB
신형	신형/NNG
엔진을	엔진/NNG+을/JKO
완성시키기	완성/NNG+시키/XSV+기/ETN
전까지는	전/NNG+까지/JX+는/JX
“ICBM	“/SS+ICBM/SL
완성까지	완성/NNG+까지/JX
2년	2/SN+년/NNB
정도	정도/NNG
걸릴	걸리/VV+ㄹ/ETM
것”으로	것/NNB+”/SS+으로/JKB
내다봤으나	내다보/VV+았/EP+으나/EC
지금은	지금/NNG+은/JX
완성하는	완성/NNG+하/XSV+는/ETM
데	데/NNB
수개월	수개월/NNG
남은	남/VV+은/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다고	있/VX+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


