# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.48
metadata : {}


# id : NWRW1800000053.48.1.1
中, 동남아에 무기수출 확대… 군사적 영향력 키워

中,	中/SH+,/SP
동남아에	동남아/NNP+에/JKB
무기수출	무기/NNG+수출/NNG
확대…	확대/NNG+…/SE
군사적	군사/NNG+적/XSN
영향력	영향력/NNG
키워	키우/VV+어/EF


# id : NWRW1800000053.48.2.1
美와 패권경쟁이 무기판매로 이어져 필리핀, 태국, 말레이시아등 5개국에 총은 물론 탱크-함정-전투기까지 제공

美와	美/SH+와/JC
패권경쟁이	패권/NNG+경쟁/NNG+이/JKS
무기판매로	무기/NNG+판매/NNG+로/JKB
이어져	이어지/VV+어/EC
필리핀,	필리핀/NNP+,/SP
태국,	태국/NNP+,/SP
말레이시아등	말레이시아/NNP+등/NNB
5개국에	5/SN+개국/NNB+에/JKB
총은	총/NNG+은/JX
물론	물론/MAG
탱크-함정-전투기까지	탱크/NNG+-/SO+함정/NNG+-/SO+전투기/NNG+까지/JX
제공	제공/NNG


# id : NWRW1800000053.48.3.1
동남아시아 국가들이 중국산 무기로 무장하고 있다.

동남아시아	동남아시아/NNP
국가들이	국가/NNG+들/XSN+이/JKS
중국산	중국/NNP+산/XSN
무기로	무기/NNG+로/JKB
무장하고	무장/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.48.3.2
동남아 국가 대부분이 연관된 남중국해 영유권 문제로 미국과 대립하고 있는 중국이 동남아 국가들에 무기를 판매하는 등 군사 협력을 강화해 이 지역에 대한 영향력을 높이려는 움직임으로 풀이된다.

동남아	동남아/NNP
국가	국가/NNG
대부분이	대/XPN+부분/NNG+이/JKS
연관된	연관/NNG+되/XSV+ㄴ/ETM
남중국해	남중국해/NNP
영유권	영유/NNG+권/XSN
문제로	문제/NNG+로/JKB
미국과	미국/NNP+과/JKB
대립하고	대립/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
중국이	중국/NNP+이/JKS
국가들에	국가/NNG+들/XSN+에/JKB
무기를	무기/NNG+를/JKO
판매하는	판매/NNG+하/XSV+는/ETM
등	등/NNB
군사	군사/NNG
협력을	협력/NNG+을/JKO
강화해	강화/NNG+하/XSV+아/EC
이	이/MMD
지역에	지역/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
영향력을	영향력/NNG+을/JKO
높이려는	높이/VV+려는/ETM
움직임으로	움직임/NNG+으로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.48.3.3
지역 패권을 둘러싼 미중 간 경쟁이 무기 판매로까지 확대되고 있는 것이다.

지역	지역/NNG
패권을	패권/NNG+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
미중	미/NNP+중/NNP
간	간/NNB
경쟁이	경쟁/NNG+이/JKS
무기	무기/NNG
