# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.429
metadata : {}


# id : NWRW1800000038.429.1.1
68% "종북세력 문제 심각"… 통진당 지지자 43%도 "심각"

68%	68/SN+%/SW
"종북세력	"/SS+종북/NNG+세력/NNG
문제	문제/NNG
심각"…	심각/XR+"/SS+…/SE
통진당	통진당/NNP
지지자	지지자/NNG
43%도	43/SN+%/SW+도/JX
"심각"	"/SS+심각/XR+"/SS


# id : NWRW1800000038.429.2.1
일부 종교인 北 옹호성 발언 84% "동의 안한다" 답변, "韓日정상회담 필요" 70%

일부	일부/NNG
종교인	종교인/NNG
北	北/SH
옹호성	옹호/NNG+성/XSN
발언	발언/NNG
84%	84/SN+%/SW
"동의	"/SS+동의/NNG
안한다"	안/MAG+하/VV+ㄴ다/EF+"/SS
답변,	답변/NNG+,/SP
"韓日정상회담	"/SS+韓日/SH+정상/NNG+회담/NNG
필요"	필요/NNG+"/SS
70%	70/SN+%/SW


# id : NWRW1800000038.429.3.1
우리 국민 대다수는 종북(從北) 세력의 문제가 심각하다고 인식하고 있는 것으로 나타났다.

우리	우리/NP
국민	국민/NNG
대다수는	대/XPN+다수/NNG+는/JX
종북(從北)	종북/NNG+(/SS+從北/SH+)/SS
세력의	세력/NNG+의/JKG
문제가	문제/NNG+가/JKS
심각하다고	심각하/VA+다고/EC
인식하고	인식/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.429.4.1
TV조선·미디어리서치의 이번 조사에서 우리 사회의 종북 세력 문제가 '심각하다'고 답한 응답자는 전체 응답자의 67.7%에 달했다.

TV조선·미디어리서치의	TV조선/NNP+·/SP+미디어리서치/NNP+의/JKG
이번	이번/NNG
조사에서	조사/NNG+에서/JKB
우리	우리/NP
사회의	사회/NNG+의/JKG
종북	종북/NNG
세력	세력/NNG
문제가	문제/NNG+가/JKS
'심각하다'고	'/SS+심각하/VA+다/EF+'/SS+고/JKQ
답한	답/NNG+하/XSV+ㄴ/ETM
응답자는	응답자/NNG+는/JX
전체	전체/NNG
응답자의	응답자/NNG+의/JKG
67.7%에	67/SN+./SP+7/SN+%/SW+에/JKB
달했다.	달하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.429.5.1
'심각하지 않다'고 답한 응답자는 26.9%에 그쳤고, '모른다'고 답하거나 응답하지 않은 사람은 5.4%였다.

'심각하지	'/SS+심각하/VA+지/EC
않다'고	않/VX+다/EF+'/SS+고/JKQ
답한	답/NNG+하/XSV+ㄴ/ETM
응답자는	응답자/NNG+는/JX
26.9%에	26/SN+./SP+9/SN+%/SW+에/JKB
그쳤고,	그치/VV+었/EP+고/EC+,/SP
'모른다'고	'/SS+모르/VV+ㄴ다/EF+'/SS+고/JKQ
답하거나	답/NNG+하/XSV+거나/EC
응답하지	응답/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
사람은	사람/NNG+은/JX
5.4%였다.	5/SN+./SP+4/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.429.6.1
연령별로는 60세 이상 응답자의 79.7%가 심각하다고 답했으며, 19~29세 응답자의 62.6%도 '심각하다'고 답했다.

연령별로는	연령/NNG+별/XSN+로/JKB+는/JX
60세	60/SN+세/NNB
이상	이상/NNG
응답자의	응답자/NNG+의/JKG
79.7%가	79/SN+./SP+7/SN+%/SW+가/JKS
심각하다고	심각하/VA+다고/EC
답했으며,	답/NNG+하/XSV+았/EP+으며/EC+,/SP
19~29세	19/SN+~/SO+29/SN+세/NNB
62.6%도	62/SN+./SP+6/SN+%/SW+도/JX
'심각하다'고	'/SS+심각하/VA+다/EF+'/SS+고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.429.6.2
30대 응답자는 51.2%가 '심각하다'고 답했으며, 46.1%는 '심각하지 않다'고 답했다.

30대	30/SN+대/NNB
응답자는	응답자/NNG+는/JX
51.2%가	51/SN+./SP+2/SN+%/SW+가/JKS
'심각하다'고	'/SS+심각하/VA+다/EF+'/SS+고/JKQ
답했으며,	답/NNG+하/XSV+았/EP+으며/EC+,/SP
46.1%는	46/SN+./SP+1/SN+%/SW+는/JX
'심각하지	'/SS+심각하/VA+지/EC
않다'고	않/VX+다/EF+'/SS+고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.429.7.1
지지 정당별로는 새누리당 지지자의 87.7%, 민주당 지지자의 46.4%가 '심각하다'고 응답했다.

지지	지지/NNG
정당별로는	정당/NNG+별/XSN+로/JKB+는/JX
새누리당	새누리당/NNP
지지자의	지지자/NNG+의/JKG
87.7%,	87/SN+./SP+7/SN+%/SW+,/SP
민주당	민주당/NNP
46.4%가	46/SN+./SP+4/SN+%/SW+가/JKS
'심각하다'고	'/SS+심각하/VA+다/EF+'/SS+고/JKQ
응답했다.	응답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.429.7.2
내란 음모 혐의로 이석기 통합진보당 의원이 구속된 가운데 통합진보당 지지자 43.2%도 우리 사회의 종북 세력 문제가 '심각하다'고 답했다.

내란	내란/NNG
음모	음모/NNG
혐의로	혐의/NNG+로/JKB
이석기	이석기/NNP
통합진보당	통합진보당/NNP
의원이	의원/NNG+이/JKS
구속된	구속/NNG+되/XSV+ㄴ/ETM
가운데	가운데/NNG
지지자	지지자/NNG
43.2%도	43/SN+./SP+2/SN+%/SW+도/JX
우리	우리/NP
