# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.238
metadata : {}


# id : NWRW1800000024.238.1.1
‘세계합창대회’ 오늘 창원서 팡파르

‘세계합창대회’	‘/SS+세계/NNG+합창/NNG+대회/NNG+’/SS
오늘	오늘/NNG
창원서	창원/NNP+서/JKB
팡파르	팡파르/NNG


# id : NWRW1800000024.238.2.1
세계 합창인들의 최대 축제이자 최고 수준의 대회인 ‘월드콰이어챔피언십 코리아 2009’가 경남에서 7일부터 17일까지 11일간의 일정에 들어갔다.

세계	세계/NNG
합창인들의	합창인/NNG+들/XSN+의/JKG
최대	최대/NNG
축제이자	축제/NNG+이/VCP+자/EC
최고	최고/NNG
수준의	수준/NNG+의/JKG
대회인	대회/NNG+이/VCP+ㄴ/ETM
‘월드콰이어챔피언십	‘/SS+월드콰이어/NNG+챔피언십/NNG
코리아	코리아/NNP
2009’가	2009/SN+’/SS+가/JKS
경남에서	경남/NNP+에서/JKB
7일부터	7/SN+일/NNB+부터/JX
17일까지	17/SN+일/NNB+까지/JX
11일간의	11/SN+일/NNB+간/XSN+의/JKG
일정에	일정/NNG+에/JKB
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.238.3.1
‘노래하는 인류, 하나되는 세계’라는 주제로 열리는 이번 행사에는 그랑프리대회, 아시안콰이어게임, 한국국제오픈콰이어대회 등 세 부문으로 나뉘어 진행되는 경연 부문에 29개국 165개 팀이 출전한다.

‘노래하는	‘/SS+노래/NNG+하/XSV+는/ETM
인류,	인류/NNG+,/SP
하나되는	하나/NR+되/VV+는/ETM
세계’라는	세계/NNG+’/SS+이/VCP+라는/ETM
주제로	주제/NNG+로/JKB
열리는	열리/VV+는/ETM
이번	이번/NNG
행사에는	행사/NNG+에/JKB+는/JX
그랑프리대회,	그랑프리/NNG+대회/NNG+,/SP
아시안콰이어게임,	아시안/NNP+콰이어/NNG+게임/NNG+,/SP
한국국제오픈콰이어대회	한국/NNP+국제/NNG+오픈/NNG+콰이어/NNG+대회/NNG
등	등/NNB
세	세/MMN
부문으로	부문/NNG+으로/JKB
나뉘어	나뉘/VV+어/EC
진행되는	진행/NNG+되/XSV+는/ETM
경연	경연/NNG
부문에	부문/NNG+에/JKB
29개국	29/SN+개국/NNB
165개	165/SN+개/NNB
팀이	팀/NNG+이/JKS
출전한다.	출전/NNG+하/XSV+ㄴ다/EF+./SF


