# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.32
metadata : {}


# id : NWRW1800000028.32.1.1
내년까지 신으려면 어떻게 관리/‘올겨울 완소’ 어그부츠, 얼룩 생길라

내년까지	내년/NNG+까지/JX
신으려면	신/VV+으려면/EC
어떻게	어떻/VA+게/EC
관리/‘올겨울	관리/NNG+//SP+‘/SS+올겨울/NNG
완소’	완소/NNG+’/SS
어그부츠,	어그부츠/NNG+,/SP
얼룩	얼룩/NNG
생길라	생기/VV+ㄹ라/EF


# id : NWRW1800000028.32.2.1
올겨울 거리는 흔히 ‘어그부츠’라 하는 양털부츠가 점령했다.

올겨울	올겨울/NNG
거리는	거리/NNG+는/JX
흔히	흔히/MAG
‘어그부츠’라	‘/SS+어그부츠/NNG+’/SS+이/VCP+라/EC
하는	하/VV+는/ETM
양털부츠가	양털/NNG+부츠/NNG+가/JKS
점령했다.	점령/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.32.2.2
어그부츠는 원래 오스트레일리아(호주) 바닷가에서 서핑을 즐기는 서퍼들이 바다에서 나왔을 때 신던 보온용 신발에서 유래했다.

어그부츠는	어그부츠/NNG+는/JX
원래	원래/MAG
오스트레일리아(호주)	오스트레일리아/NNP+(/SS+호주/NNP+)/SS
바닷가에서	바닷가/NNG+에서/JKB
서핑을	서핑/NNG+을/JKO
즐기는	즐기/VV+는/ETM
서퍼들이	서퍼/NNG+들/XSN+이/JKS
바다에서	바다/NNG+에서/JKB
나왔을	나오/VV+았/EP+을/ETM
때	때/NNG
신던	신/VV+던/ETM
보온용	보온/NNG+용/XSN
신발에서	신발/NNG+에서/JKB
유래했다.	유래/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.32.2.3
내부가 천연 양털이라 차가워진 발을 감싸주는데다 맨발로 신어도 땀이 차지 않는 특성 때문이다.

내부가	내부/NNG+가/JKS
천연	천연/NNG
양털이라	양털/NNG+이/VCP+라/EC
차가워진	차갑/VA+어/EC+지/VX+ㄴ/ETM
발을	발/NNG+을/JKO
감싸주는데다	감싸/VV+아/EC+주/VX+는데/EC+다/JX
맨발로	맨/XPN+발/NNG+로/JKB
신어도	신/VV+어도/EC
땀이	땀/NNG+이/JKS
차지	차/VV+지/EC
않는	않/VX+는/ETM
특성	특성/NNG
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.32.2.4
