# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.274
metadata : {}


# id : NWRW1800000040.274.1.1
“한대련 비판글로 유인물” 비운동권 후보에 메신저 덕성여대 교직원, 학생회 투표 개입

“한대련	“/SS+한대련/NNP
비판글로	비판/NNG+글/NNG+로/JKB
유인물”	유인물/NNG+”/SS
비운동권	비/XPN+운동/NNG+권/XSN
후보에	후보/NNG+에/JKB
메신저	메신저/NNG
덕성여대	덕성여대/NNP
교직원,	교직원/NNG+,/SP
학생회	학생회/NNG
투표	투표/NNG
개입	개입/NNG


# id : NWRW1800000040.274.2.1
‘종북몰이’ 성명서 제안하고

‘종북몰이’	‘/SS+종북/NNG+몰이/NNG+’/SS
성명서	성명서/NNG
제안하고	제안/NNG+하/XSV+고/EC


# id : NWRW1800000040.274.3.1
일부 학생 개인정보도 유출

일부	일부/NNG
학생	학생/NNG
개인정보도	개인/NNG+정보/NNG+도/JX
유출	유출/NNG


# id : NWRW1800000040.274.4.1
덕성여대 교직원이 학생회 투표에 개입하면서 학생들을 동원해 ‘종북몰이’에 나서고, 일부 학생들의 개인정보까지 조사해 유출한 사실이 확인됐다.

덕성여대	덕성여대/NNP
교직원이	교직원/NNG+이/JKS
학생회	학생회/NNG
투표에	투표/NNG+에/JKB
개입하면서	개입/NNG+하/XSV+면서/EC
학생들을	학생/NNG+들/XSN+을/JKO
동원해	동원/NNG+하/XSV+아/EC
‘종북몰이’에	‘/SS+종북/NNG+몰이/NNG+’/SS+에/JKB
나서고,	나서/VV+고/EC+,/SP
일부	일부/NNG
학생들의	학생/NNG+들/XSN+의/JKG
개인정보까지	개인/NNG+정보/NNG+까지/JX
조사해	조사/NNG+하/XSV+아/EC
유출한	유출/NNG+하/XSV+ㄴ/ETM
사실이	사실/NNG+이/JKS
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000040.274.5.1
5일 <한겨레>가 입수한 덕성여대 학생처 직원 김아무개(47)씨와 학생 2명이 지난 5~6월 주고받은 모바일 메신저 대화 내용을 보면, 김씨는 지난 6월 초 진행된 ‘한국대학생연합(한대련) 가입 유지 찬반 총투표’와 관련해 “(한대련을 비판하는 자유게시판 글이) 참 좋던데, 그것과 투표 일정을 같이 넣어서 A4 (유인물을) 만들어서 뿌리자”고 제안했다.

5일	5/SN+일/NNB
<한겨레>가	</SS+한겨레/NNP+>/SS+가/JKS
입수한	입수/NNG+하/XSV+ㄴ/ETM
덕성여대	덕성여대/NNP
학생처	학생처/NNG
직원	직원/NNG
김아무개(47)씨와	김/NNP+아무개/NP+(/SS+47/SN+)/SS+씨/NNB+와/JC
학생	학생/NNG
2명이	2/SN+명/NNB+이/JKS
지난	지나/VV+ㄴ/ETM
5~6월	5/SN+~/SO+6/SN+월/NNB
주고받은	주고받/VV+은/ETM
모바일	모바일/NNG
메신저	메신저/NNG
대화	대화/NNG
내용을	내용/NNG+을/JKO
보면,	보/VV+면/EC+,/SP
김씨는	김/NNP+씨/NNB+는/JX
6월	6/SN+월/NNB
초	초/NNB
진행된	진행/NNG+되/XSV+ㄴ/ETM
‘한국대학생연합(한대련)	‘/SS+한국대학생연합/NNP+(/SS+한대련/NNP+)/SS
가입	가입/NNG
유지	유지/NNG
찬반	찬반/NNG
총투표’와	총/MMA+투표/NNG+’/SS+와/JKB
관련해	관련/NNG+하/XSV+아/EC
“(한대련을	“/SS+(/SS+한대련/NNP+을/JKO
비판하는	비판/NNG+하/XSV+는/ETM
자유게시판	자유/NNG+게시판/NNG
글이)	글/NNG+이/JKS+)/SS
참	참/MAG
좋던데,	좋/VA+던데/EC+,/SP
그것과	그것/NP+과/JC
투표	투표/NNG
일정을	일정/NNG+을/JKO
같이	같이/MAG
넣어서	넣/VV+어서/EC
A4	A/SL+4/SN
(유인물을)	(/SS+유인물/NNG+을/JKO+)/SS
만들어서	만들/VV+어서/EC
뿌리자”고	뿌리/VV+자/EF+”/SS+고/JKQ
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.274.5.2
유인물은 ‘통진당의 대장 격인 한대련은 우리 학교에서 더 이상 필요 없다’는 제목으로, 실제 1000여장이 뿌려졌다.

유인물은	유인물/NNG+은/JX
‘통진당의	‘/SS+통진당/NNP+의/JKG
대장	대장/NNG
격인	격/NNB+이/VCP+ㄴ/ETM
한대련은	한대련/NNP+은/JX
우리	우리/NP
학교에서	학교/NNG+에서/JKB
더	더/MAG
이상	이상/NNG
필요	필요/NNG
없다’는	없/VA+다/EF+’/SS+는/ETM
제목으로,	제목/NNG+으로/JKB+,/SP
실제	실제/NNG
1000여장이	1000/SN+여/XSN+장/NNB+이/JKS
뿌려졌다.	뿌리/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000040.274.6.1
김씨는 졸업생 성명서 제작도 주도했다.

김씨는	김/NNP+씨/NNB+는/JX
졸업생	졸업/NNG+생/XSN
성명서	성명서/NNG
제작도	제작/NNG+도/JX
주도했다.	주도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.274.6.2
김씨는 메신저에서 “하나는 선배들이 이름만 적으면 되게끔 만들었고, 다른 하나는 강의실마다 배포용으로 만들었으니 확인해보라”고 적었다.

김씨는	김/NNP+씨/NNB+는/JX
메신저에서	메신저/NNG+에서/JKB
“하나는	“/SS+하나/NR+는/JX
선배들이	선배/NNG+들/XSN+이/JKS
이름만	이름/NNG+만/JX
적으면	적/VV+으면/EC
되게끔	되/VV+게끔/EC
만들었고,	만들/VV+었/EP+고/EC+,/SP
다른	다른/MMD
하나는	하나/NR+는/JX
강의실마다	강의실/NNG+마다/JX
배포용으로	배포/NNG+용/XSN+으로/JKB
만들었으니	만들/VV+었/EP+으니/EC
확인해보라”고	확인/NNG+하/XSV+아/EC+보/VX+라/EF+”/SS+고/JKQ
적었다.	적/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.274.6.3
‘덕성여대를 사랑하는 졸업생 50인 일동’ 명의의 이 성명서는 “종북 성향으로 학생들의 외면을 받아온 한대련은 반드시 퇴출되어야 한다”는 주장을 담았다.

‘덕성여대를	‘/SS+덕성여대/NNP+를/JKO
사랑하는	사랑/NNG+하/XSV+는/ETM
졸업생	졸업/NNG+생/XSN
50인	50/SN+인/NNG
일동’	일동/NNG+’/SS
명의의	명의/NNG+의/JKG
이	이/MMD
성명서는	성명서/NNG+는/JX
“종북	“/SS+종북/NNG
성향으로	성향/NNG+으로/JKB
학생들의	학생/NNG+들/XSN+의/JKG
외면을	외면/NNG+을/JKO
받아온	받/VV+아/EC+오/VX+ㄴ/ETM
한대련은	한대련/NNP+은/JX
반드시	반드시/MAG
퇴출되어야	퇴출/NNG+되/XSV+어야/EC
한다”는	하/VX+ㄴ다/EF+”/SS+는/ETM
주장을	주장/NNG+을/JKO
담았다.	담/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.274.7.1
아울러 김씨는 총학생회를 옹호하는 학생들을 “다 빨갱이들”이라고 규정했고, 6월 총투표에서 한대련 탈퇴가 부결되자 “옆에서 김○○ 선생(또다른 교직원)이 서서히 죽여야 더 흥미있고 재미있지 않으냐고 한다”는 말도 남겼다.

아울러	아울러/MAG
김씨는	김/NNP+씨/NNB+는/JX
총학생회를	총학생회/NNG+를/JKO
