# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.223
metadata : {}


# id : NWRW1800000037.223.1.1
[지금이 제철]<63>전남 고흥 유자

[지금이	[/SS+지금/NNG+이/JKS
제철]<63>전남	제철/NNG+]/SS+</SS+63/SN+>/SS+전남/NNP
고흥	고흥/NNP
유자	유자/NNG


# id : NWRW1800000037.223.2.1
상큼한 향기… ‘비타민C 금메달’

상큼한	상큼하/VA+ㄴ/ETM
향기…	향기/NNG+…/SE
‘비타민C	‘/SS+비타민/NNG+C/SL
금메달’	금메달/NNG+’/SS


# id : NWRW1800000037.223.3.1
18일 전남 고흥군 풍양면 매곡리 3.3ha의 땅엔 높이 3m가량의 나무 1200여 그루가 늘어서 있었다.

18일	18/SN+일/NNB
전남	전남/NNP
고흥군	고흥군/NNP
풍양면	풍양면/NNP
매곡리	매곡리/NNP
3.3ha의	3/SN+./SP+3/SN+ha/SW+의/JKG
땅엔	땅/NNG+에/JKB+ㄴ/JX
높이	높이/NNG
3m가량의	3/SN+m/SW+가량/XSN+의/JKG
나무	나무/NNG
1200여	1200/SN+여/XSN
그루가	그루/NNB+가/JKS
늘어서	늘어서/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000037.223.3.2
진눈깨비가 내리는 궂은 날씨에도 푸른 잎 사이로 어른 주먹만 한 황금색 열매가 주렁주렁 매달려 있다.

진눈깨비가	진눈깨비/NNG+가/JKS
내리는	내리/VV+는/ETM
궂은	궂/VA+은/ETM
날씨에도	날씨/NNG+에/JKB+도/JX
푸른	푸르/VA+ㄴ/ETM
잎	잎/NNG
사이로	사이/NNG+로/JKB
어른	어른/NNG
주먹만	주먹/NNG+만/JX
한	하/VA+ㄴ/ETM
황금색	황금색/NNG
열매가	열매/NNG+가/JKS
주렁주렁	주렁주렁/MAG
매달려	매달리/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.223.3.3
50, 60대 주부 30명이 나뭇가지에 난 가시를 피해 가며 수확에 한창이었다.

50,	50/SN+,/SP
60대	60/SN+대/NNB
주부	주부/NNG
30명이	30/SN+명/NNB+이/JKS
나뭇가지에	나뭇가지/NNG+에/JKB
난	나/VV+ㄴ/ETM
가시를	가시/NNG+를/JKO
피해	피하/VV+아/EC
가며	가/VX+며/EC
수확에	수확/NNG+에/JKB
한창이었다.	한창/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.223.3.4
비타민C가 레몬보다 세 배 많은 유자다.

비타민C가	비타민/NNG+C/SL+가/JKS
레몬보다	레몬/NNG+보다/JKB
세	세/MMN
배	배/NNG
많은	많/VA+은/ETM
유자다.	유자/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.223.4.1
이 농장은 24년 전 유자나무를 심었고 17년 전부터 농약, 화학비료를 전혀 쓰지 않는 유기농업을 하고 있다.

이	이/MMD
농장은	농장/NNG+은/JX
24년	24/SN+년/NNB
전	전/NNG
유자나무를	유자나무/NNG+를/JKO
심었고	심/VV+었/EP+고/EC
17년	17/SN+년/NNB
전부터	전/NNG+부터/JX
농약,	농약/NNG+,/SP
화학비료를	화학/NNG+비료/NNG+를/JKO
전혀	전혀/MAG
쓰지	쓰/VV+지/EC
않는	않/VX+는/ETM
유기농업을	유기/NNG+농업/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.223.4.2
