# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.370
metadata : {}


# id : NWRW1800000045.370.1.1
서비스업체 수도권 産團 입주 허용

서비스업체	서비스업체/NNG
수도권	수도/NNG+권/XSN
産團	産團/SH
입주	입주/NNG
허용	허용/NNG


# id : NWRW1800000045.370.2.1
저수지 상류 공장 신설도 허용 추진… 사실상 수도권 규제완화 효과 기대

저수지	저수지/NNG
상류	상류/NNG
공장	공장/NNG
신설도	신설/NNG+도/JX
허용	허용/NNG
추진…	추진/NNG+…/SE
사실상	사실상/MAG
수도권	수도/NNG+권/XSN
규제완화	규제/NNG+완화/NNG
효과	효과/NNG
기대	기대/NNG


# id : NWRW1800000045.370.3.1
서울 구로디지털산업단지에 입주해 있는 제조업체 A사는 지난해 같은 산단 내에 애프터서비스(AS)용 콜센터를 지으려 했다.

서울	서울/NNP
구로디지털산업단지에	구로디지털산업단지/NNP+에/JKB
입주해	입주/NNG+하/XSV+아/EC
있는	있/VX+는/ETM
제조업체	제조업체/NNG
A사는	A/SL+사/NNG+는/JX
지난해	지난해/NNG
같은	같/VA+은/ETM
산단	산단/NNG
내에	내/NNB+에/JKB
애프터서비스(AS)용	애프터서비스/NNG+(/SS+AS/SL+)/SS+용/XSN
콜센터를	콜센터/NNG+를/JKO
지으려	짓/VV+으려/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.370.3.2
하지만 산단 측은 “입주할 수 있는 업종 리스트에 서비스업이 없다”며 이 계획을 불허했다.

하지만	하지만/MAJ
산단	산단/NNG
측은	측/NNB+은/JX
“입주할	“/SS+입주/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
업종	업종/NNG
리스트에	리스트/NNG+에/JKB
서비스업이	서비스업/NNG+이/JKS
없다”며	없/VA+다/EF+”/SS+며/EC
이	이/MMD
계획을	계획/NNG+을/JKO
불허했다.	불허/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.370.4.1
이런 불편을 없애기 위해 정부가 광고대행업 등 서비스업체의 산단 입주를 허용하기로 했다.

이런	이런/MMD
불편을	불편/NNG+을/JKO
없애기	없애/VV+기/ETN
위해	위하/VV+아/EC
정부가	정부/NNG+가/JKS
광고대행업	광고/NNG+대행업/NNG
등	등/NNB
서비스업체의	서비스업체/NNG+의/JKG
산단	산단/NNG
입주를	입주/NNG+를/JKO
허용하기로	허용/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.370.4.2
