# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.414
metadata : {}


# id : NWRW1800000040.414.1.1
새누리-민주 중진 10인 ‘정치 복원’ 모임

새누리-민주	새누리/NNP+-/SO+민주/NNP
중진	중진/NNG
10인	10/SN+인/NNG
‘정치	‘/SS+정치/NNG
복원’	복원/NNG+’/SS
모임	모임/NNG


# id : NWRW1800000040.414.2.1
대선개입 특검·예산안 교착정국서

대선개입	대선/NNG+개입/NNG
특검·예산안	특검/NNG+·/SP+예산안/NNG
교착정국서	교착/NNG+정국/NNG+서/JKB


# id : NWRW1800000040.414.3.1
남경필·우윤근 의원 등 “중재 역할”

남경필·우윤근	남경필/NNP+·/SP+우윤근/NNP
의원	의원/NNG
등	등/NNB
“중재	“/SS+중재/NNG
역할”	역할/NNG+”/SS


# id : NWRW1800000040.414.4.1
새누리당과 민주당의 중진 의원들이 국가기관의 대선개입 의혹 특검 도입과 내년 예산안 심사 등 현안을 놓고 여야가 날카롭게 대치하고 있는 교착 정국을 풀기 위해 발벗고 나섰다.

새누리당과	새누리당/NNP+과/JC
민주당의	민주당/NNP+의/JKG
중진	중진/NNG
의원들이	의원/NNG+들/XSN+이/JKS
국가기관의	국가/NNG+기관/NNG+의/JKG
대선개입	대선/NNG+개입/NNG
의혹	의혹/NNG
특검	특검/NNG
도입과	도입/NNG+과/JC
내년	내년/NNG
예산안	예산안/NNG
심사	심사/NNG
등	등/NNB
현안을	현안/NNG+을/JKO
놓고	놓/VV+고/EC
여야가	여야/NNG+가/JKS
날카롭게	날카롭/VA+게/EC
대치하고	대치/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
교착	교착/NNG
정국을	정국/NNG+을/JKO
풀기	풀/VV+기/ETN
위해	위하/VV+아/EC
발벗고	발/NNG+벗/VV+고/EC
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.414.5.1
이병석·박병석 국회부의장을 비롯한 여·야 중진 10명은 26일 아침 국회 귀빈식당에서 조찬 모임을 열고 각종 현안과 관련해 타협점을 찾지 못한 채 대립하고 있는 여야가 소통을 늘리고 정국과 정치를 정상화할 수 있도록 ‘중재 역할’을 하기로 했다.

이병석·박병석	이병석/NNP+·/SP+박병석/NNP
국회부의장을	국회/NNG+부의장/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
여·야	여·야/NNG
중진	중진/NNG
10명은	10/SN+명/NNB+은/JX
26일	26/SN+일/NNB
아침	아침/NNG
국회	국회/NNG
귀빈식당에서	귀빈/NNG+식당/NNG+에서/JKB
조찬	조찬/NNG
모임을	모임/NNG+을/JKO
열고	열/VV+고/EC
각종	각종/NNG
현안과	현안/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
타협점을	타협점/NNG+을/JKO
찾지	찾/VV+지/EC
못한	못하/VX+ㄴ/ETM
채	채/NNB
대립하고	대립/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
여야가	여야/NNG+가/JKS
소통을	소통/NNG+을/JKO
늘리고	늘리/VV+고/EC
정국과	정국/NNG+과/JC
정치를	정치/NNG+를/JKO
정상화할	정상/NNG+화/XSN+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
‘중재	‘/SS+중재/NNG
역할’을	역할/NNG+’/SS+을/JKO
하기로	하/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.414.5.2
이들은 특히 새누리당의 경우 청와대의 통제로 현안 협상과 관련해 재량권이 약하고, 민주당은 당내 계파간 이견으로 일관된 방향을 잡지 못하면서 타협점을 마련하는 데 어려움을 겪고 있다는 데 인식을 함께하고, 여야 지도부가 소신껏 협상할 수 있도록 힘을 보태주기로 한 것으로 알려졌다.

이들은	이/NP+들/XSN+은/JX
특히	특히/MAG
새누리당의	새누리당/NNP+의/JKG
경우	경우/NNG
청와대의	청와대/NNP+의/JKG
통제로	통제/NNG+로/JKB
현안	현안/NNG
협상과	협상/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
재량권이	재량/NNG+권/XSN+이/JKS
약하고,	약하/VA+고/EC+,/SP
민주당은	민주당/NNP+은/JX
당내	당내/NNG
계파간	계파/NNG+간/NNB
이견으로	이견/NNG+으로/JKB
일관된	일관/NNG+되/XSV+ㄴ/ETM
방향을	방향/NNG+을/JKO
잡지	잡/VV+지/EC
못하면서	못하/VX+면서/EC
타협점을	타협점/NNG+을/JKO
마련하는	마련/NNG+하/XSV+는/ETM
데	데/NNB
어려움을	어려움/NNG+을/JKO
겪고	겪/VV+고/EC
있다는	있/VX+다는/ETM
인식을	인식/NNG+을/JKO
함께하고,	함께/MAG+하/XSV+고/EC+,/SP
여야	여야/NNG
지도부가	지도부/NNG+가/JKS
소신껏	소신껏/MAG
협상할	협상/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
힘을	힘/NNG+을/JKO
보태주기로	보태/VV+어/EC+주/VX+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.414.6.1
남경필 새누리당 의원은 1시간30여분 동안 진행된 회동이 끝난 뒤 “상대방에 대한 이해가 서로 부족하단 걸 느꼈다.

남경필	남경필/NNP
새누리당	새누리당/NNP
의원은	의원/NNG+은/JX
1시간30여분	1/SN+시간/NNB+30/SN+여/XSN+분/NNB
동안	동안/NNG
진행된	진행/NNG+되/XSV+ㄴ/ETM
