# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.222
metadata : {}


# id : NWRW1800000036.222.1.1
“언니들이 날 왕따…학원이 지옥 같아요”

“언니들이	“/SS+언니/NNG+들/XSN+이/JKS
날	나/NP+ㄹ/JKO
왕따…학원이	왕따/NNG+…/SE+학원/NNG+이/JKS
지옥	지옥/NNG
같아요”	같/VA+아요/EF+”/SS


# id : NWRW1800000036.222.2.1
[한겨레] 학교폭력 피해가 학원까지

[한겨레]	[/SS+한겨레/NNP+]/SS
학교폭력	학교/NNG+폭력/NNG
피해가	피해/NNG+가/JKS
학원까지	학원/NNG+까지/JX


# id : NWRW1800000036.222.3.1
“쟤는 전교 왕따래” 학교 달라도 금세 소문

“쟤는	“/SS+쟤/NP+는/JX
전교	전교/NNG
왕따래”	왕따/NNG+이/VCP+래/EF+”/SS
학교	학교/NNG
달라도	다르/VA+아도/EC
금세	금세/MAG
소문	소문/NNG


# id : NWRW1800000036.222.4.1
“조기유학 갔다 와서 언니들하고 같은 레벨에 들었는데, 언니들이 저를 왕따시켜요.

“조기유학	“/SS+조기/NNG+유학/NNG
갔다	가/VV+았/EP+다/EC
와서	오/VV+아서/EC
언니들하고	언니/NNG+들/XSN+하고/JKB
같은	같/VA+은/ETM
레벨에	레벨/NNG+에/JKB
들었는데,	들/VV+었/EP+는데/EC+,/SP
언니들이	언니/NNG+들/XSN+이/JKS
저를	저/NP+를/JKO
왕따시켜요.	왕따/NNG+시키/XSV+어요/EF+./SF


# id : NWRW1800000036.222.4.2
학교에선 너무 즐거운데 학원은 지옥 같아요.”

학교에선	학교/NNG+에서/JKB+ㄴ/JX
너무	너무/MAG
즐거운데	즐겁/VA+ㄴ데/EC
학원은	학원/NNG+은/JX
지옥	지옥/NNG
같아요.”	같/VA+아요/EF+./SF+”/SS


# id : NWRW1800000036.222.5.1
지난 25일 한 인터넷 포털사이트 게시판에 초등학교 5학년 여학생이 올린 글이다.

지난	지나/VV+ㄴ/ETM
25일	25/SN+일/NNB
한	한/MMN
인터넷	인터넷/NNG
포털사이트	포털/NNG+사이트/NNG
게시판에	게시판/NNG+에/JKB
초등학교	초등학교/NNG
5학년	5/SN+학년/NNG
여학생이	여학생/NNG+이/JKS
올린	올리/VV+ㄴ/ETM
글이다.	글/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.222.5.2
이 게시판에는 학원에서 왕따를 당한다며 괴로움을 호소하는 글이 여럿 올라와 있다.

이	이/MMD
게시판에는	게시판/NNG+에/JKB+는/JX
학원에서	학원/NNG+에서/JKB
왕따를	왕따/NNG+를/JKO
당한다며	당하/VV+ㄴ다며/EC
괴로움을	괴로움/NNG+을/JKO
호소하는	호소/NNG+하/XSV+는/ETM
글이	글/NNG+이/JKS
여럿	여럿/NNG
올라와	올라오/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.222.6.1
이처럼 학원에서 벌어지는 왕따나 괴롭힘 등은 학생들 사이의 경쟁을 노골적으로 부추기는 학원의 특성 때문에 생기는 것이라는 지적이 많다.

이처럼	이/NP+처럼/JKB
학원에서	학원/NNG+에서/JKB
벌어지는	벌어지/VV+는/ETM
왕따나	왕따/NNG+나/JC
괴롭힘	괴롭힘/NNG
등은	등/NNB+은/JX
학생들	학생/NNG+들/XSN
사이의	사이/NNG+의/JKG
경쟁을	경쟁/NNG+을/JKO
노골적으로	노골/NNG+적/XSN+으로/JKB
부추기는	부추기/VV+는/ETM
학원의	학원/NNG+의/JKG
특성	특성/NNG
때문에	때문/NNB+에/JKB
생기는	생기/VV+는/ETM
것이라는	것/NNB+이/VCP+라는/ETM
지적이	지적/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000036.222.6.2
서울 강남의 한 학원장은 “일부 학원에서는 모의고사를 봐서 1등부터 꼴등까지 성적을 붙여놓기도 하고, 어떤 강사는 공부 못하는 애를 사람 취급하지 않는 식으로 경쟁을 부추긴다”며 “공부 못하는 학생을 낙오시키는 학원 시스템 속에서 놀림감이 될 수 있다”고 말했다.

서울	서울/NNP
강남의	강남/NNP+의/JKG
한	한/MMN
학원장은	학원장/NNG+은/JX
“일부	“/SS+일부/NNG
학원에서는	학원/NNG+에서/JKB+는/JX
모의고사를	모의고사/NNG+를/JKO
봐서	보/VV+아서/EC
1등부터	1/SN+등/NNB+부터/JX
꼴등까지	꼴등/NNG+까지/JX
성적을	성적/NNG+을/JKO
붙여놓기도	붙이/VV+어/EC+놓/VX+기/ETN+도/JX
하고,	하/VX+고/EC+,/SP
어떤	어떤/MMD
강사는	강사/NNG+는/JX
공부	공부/NNG
못하는	못/MAG+하/XSV+는/ETM
애를	애/NNG+를/JKO
사람	사람/NNG
취급하지	취급/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
식으로	식/NNB+으로/JKB
경쟁을	경쟁/NNG+을/JKO
부추긴다”며	부추기/VV+ㄴ다/EF+”/SS+며/EC
“공부	“/SS+공부/NNG
학생을	학생/NNG+을/JKO
낙오시키는	낙오/NNG+시키/XSV+는/ETM
학원	학원/NNG
시스템	시스템/NNG
속에서	속/NNG+에서/JKB
놀림감이	놀림감/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.222.7.1
레벨테스트를 통해 학생들을 수준별로 서열화하는 영어나 수학 전문학원에서 생기는 왕따도 같은 맥락이다.

레벨테스트를	레벨/NNG+테스트/NNG+를/JKO
통해	통하/VV+아/EC
학생들을	학생/NNG+들/XSN+을/JKO
