# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.323
metadata : {}


# id : NWRW1800000029.323.1.1
[오늘과 내일/방형남]北의 독재자도 퇴장할 날 온다

[오늘과	[/SS+오늘/NNG+과/JC
내일/방형남]北의	내일/NNG+//SP+방형남/NNP+]/SS+北/SH+의/JKG
독재자도	독재자/NNG+도/JX
퇴장할	퇴장/NNG+하/XSV+ㄹ/ETM
날	날/NNG
온다	오/VV+ㄴ다/EF


# id : NWRW1800000029.323.2.1
지구촌 독재자들의 ‘퇴장 도미노’가 계속되고 있다.

지구촌	지구촌/NNG
독재자들의	독재자/NNG+들/XSN+의/JKG
‘퇴장	‘/SS+퇴장/NNG
도미노’가	도미노/NNG+’/SS+가/JKS
계속되고	계속/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.323.2.2
리비아의 독재자 무아마르 카다피는 내전 발생 6개월 만에 결정적인 패전 위기에 몰렸다.

리비아의	리비아/NNP+의/JKG
독재자	독재자/NNG
무아마르	무아마르/NNP
카다피는	카다피/NNP+는/JX
내전	내전/NNG
발생	발생/NNG
6개월	6/SN+개월/NNB
만에	만/NNB+에/JKB
결정적인	결정/NNG+적/XSN+이/VCP+ㄴ/ETM
패전	패전/NNG
위기에	위기/NNG+에/JKB
몰렸다.	몰리/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.323.2.3
2000명이 넘는 국민을 학살한 시리아의 독재자 바샤르 알아사드는 국제사회의 공적(公敵) 신세가 됐다.

2000명이	2000/SN+명/NNB+이/JKS
넘는	넘/VV+는/ETM
국민을	국민/NNG+을/JKO
학살한	학살/NNG+하/XSV+ㄴ/ETM
시리아의	시리아/NNP+의/JKG
독재자	독재자/NNG
바샤르	바샤르/NNP
알아사드는	알아사드/NNP+는/JX
국제사회의	국제/NNG+사회/NNG+의/JKG
공적(公敵)	공적/NNG+(/SS+公敵/SH+)/SS
신세가	신세/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.323.2.4
버락 오바마 미국 대통령은 더 참지 못하겠다며 그제 알아사드의 퇴진을 공개적으로 요구했다.

버락	버락/NNP
오바마	오바마/NNP
미국	미국/NNP
대통령은	대통령/NNG+은/JX
더	더/MAG
참지	참/VV+지/EC
못하겠다며	못하/VX+겠/EP+다며/EC
그제	그제/MAG
알아사드의	알아사드/NNP+의/JKG
퇴진을	퇴진/NNG+을/JKO
공개적으로	공개/NNG+적/XSN+으로/JKB
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.323.2.5
영국 독일 프랑스 정상들이 즉각 동참했다.

영국	영국/NNP
독일	독일/NNP
프랑스	프랑스/NNP
정상들이	정상/NNG+들/XSN+이/JKS
즉각	즉각/MAG
동참했다.	동참/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.323.3.1
3대 세습을 진행 중인 북한의 김정일 부자에게도 두려운 소식일 것이다.

3대	3/SN+대/NNB
세습을	세습/NNG+을/JKO
진행	진행/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
북한의	북한/NNP+의/JKG
김정일	김정일/NNP
부자에게도	부자/NNG+에게/JKB+도/JX
두려운	두렵/VA+ㄴ/ETM
