# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.143
metadata : {}


# id : NWRW1800000046.143.1.1
"惡夢의 순간, 자식처럼 돌봐줘 감사해요"

"惡夢의	"/SS+惡夢/SH+의/JKG
순간,	순간/NNG+,/SP
자식처럼	자식/NNG+처럼/JKB
돌봐줘	돌보/VV+아/EC+주/VX+어/EC
감사해요"	감사/NNG+하/XSV+아요/EF+"/SS


# id : NWRW1800000046.143.2.1
안산 단원高 생존학생 75명, 학교 찾은 조도 주민과 상봉

안산	안산/NNP
단원高	단원/NNP+高/SH
생존학생	생존/NNG+학생/NNG
75명,	75/SN+명/NNB+,/SP
학교	학교/NNG
찾은	찾/VV+은/ETM
조도	조도/NNP
주민과	주민/NNG+과/JKB
상봉	상봉/NNG


# id : NWRW1800000046.143.3.1
작년 4월 16일 세월호 침몰 당시 단원고 학생들을 헌신적으로 구조하고 보살폈던 전남 진도군 조도면 동거차도·서거차도·대마도·관매도 주민 80여명이 20일 경기도 안산 단원고를 방문했다.

작년	작년/NNG
4월	4/SN+월/NNB
16일	16/SN+일/NNB
세월호	세월호/NNP
침몰	침몰/NNG
당시	당시/NNG
단원고	단원고/NNP
학생들을	학생/NNG+들/XSN+을/JKO
헌신적으로	헌신/NNG+적/XSN+으로/JKB
구조하고	구조/NNG+하/XSV+고/EC
보살폈던	보살피/VV+었/EP+던/ETM
전남	전남/NNP
진도군	진도군/NNP
조도면	조도면/NNP
동거차도·서거차도·대마도·관매도	동거차도/NNP+·/SP+서거차도/NNP+·/SP+대마도/NNP+·/SP+관매도/NNP
주민	주민/NNG
80여명이	80/SN+여/XSN+명/NNB+이/JKS
20일	20/SN+일/NNB
경기도	경기도/NNP
안산	안산/NNP
단원고를	단원고/NNP+를/JKO
방문했다.	방문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.143.3.2
당시 생존한 학생 75명은 "기억하기도 싫은 악몽을 만났을 때 자식처럼 돌봐주셔서 감사하다"며 인사했다.

당시	당시/NNG
생존한	생존/NNG+하/XSV+ㄴ/ETM
학생	학생/NNG
75명은	75/SN+명/NNB+은/JX
"기억하기도	"/SS+기억/NNG+하/XSV+기/ETN+도/JX
싫은	싫/VA+은/ETM
악몽을	악몽/NNG+을/JKO
만났을	만나/VV+았/EP+을/ETM
때	때/NNG
자식처럼	자식/NNG+처럼/JKB
돌봐주셔서	돌보/VV+아/EC+주/VX+시/EP+어서/EC
감사하다"며	감사/NNG+하/XSA+다/EF+"/SS+며/EC
인사했다.	인사/NNG+하/XSV+았/EP+다/EF+./SF


