# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.111
metadata : {}


# id : NWRW1800000048.111.1.1
IS “팔미라 유적 파괴 않겠다” 공언

IS	IS/SL
“팔미라	“/SS+팔미라/NNP
유적	유적/NNG
파괴	파괴/NNG
않겠다”	않/VX+겠/EP+다/EF+”/SS
공언	공언/NNG


# id : NWRW1800000048.111.2.1
훼손안된 벨사원 등 영상도 공개

훼손안된	훼손/NNG+안/MAG+되/XSV+ㄴ/ETM
벨사원	벨사원/NNP
등	등/NNB
영상도	영상/NNG+도/JX
공개	공개/NNG


# id : NWRW1800000048.111.3.1
‘우상 관련 없으면 무사’ 선전

‘우상	‘/SS+우상/NNG
관련	관련/NNG
없으면	없/VA+으면/EC
무사’	무사/NNG+’/SS
선전	선전/NNG


# id : NWRW1800000048.111.4.1
극단주의 무장단체 이슬람국가(IS)가 지난 20일 장악한 시리아의 고대 유적도시 팔미라의 유적들을 파괴하지 않겠다고 공언했다.

극단주의	극단주의/NNG
무장단체	무장/NNG+단체/NNG
이슬람국가(IS)가	이슬람국가/NNP+(/SS+IS/SL+)/SS+가/JKS
지난	지나/VV+ㄴ/ETM
20일	20/SN+일/NNB
장악한	장악/NNG+하/XSV+ㄴ/ETM
시리아의	시리아/NNP+의/JKG
고대	고대/NNG
유적도시	유적/NNG+도시/NNG
팔미라의	팔미라/NNP+의/JKG
유적들을	유적/NNG+들/XSN+을/JKO
파괴하지	파괴/NNG+하/XSV+지/EC
않겠다고	않/VX+겠/EP+다고/EC
공언했다.	공언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.111.4.2
두달 전 이라크 북부의 고대 아시리아 도시 님루드와 파르티아 제국의 요새 도시 하트라 유적지를 무자비하게 파괴한 이들이 달라지기라도 한 걸까?

두달	두/MMN+달/NNB
전	전/NNG
이라크	이라크/NNP
북부의	북부/NNG+의/JKG
고대	고대/NNG
아시리아	아시리아/NNP
도시	도시/NNG
님루드와	님루드/NNP+와/JC
파르티아	파르티아/NNP
제국의	제국/NNG+의/JKG
요새	요새/NNG
하트라	하트라/NNP
유적지를	유적지/NNG+를/JKO
