# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.123
metadata : {}


# id : NWRW1800000053.123.1.1
[헬스동아]빼빼 마른 당신, 도대체 왜 살이 안찔까

[헬스동아]빼빼	[/SS+헬스/NNG+동아/NNP+]/SS+빼빼/MAG
마른	마르/VV+ㄴ/ETM
당신,	당신/NP+,/SP
도대체	도대체/MAG
왜	왜/MAG
살이	살/NNG+이/JKS
안찔까	안/MAG+찌/VV+ㄹ까/EF


# id : NWRW1800000053.123.2.1
마른 사람, 소화 흡수력 약한 경우 많아 체중 늘릴때도 감량때처럼 몸 리셋해야 밤 10시쯤 발효콩 섭취하면 근육 늘어

마른	마르/VV+ㄴ/ETM
사람,	사람/NNG+,/SP
소화	소화/NNG
흡수력	흡수력/NNG
약한	약하/VA+ㄴ/ETM
경우	경우/NNG
많아	많/VA+아/EC
체중	체중/NNG
늘릴때도	늘리/VV+ㄹ/ETM+때/NNG+도/JX
감량때처럼	감량/NNG+때/NNG+처럼/JKB
몸	몸/NNG
리셋해야	리셋/NNG+하/XSV+아야/EC
밤	밤/NNG
10시쯤	10/SN+시/NNB+쯤/XSN
발효콩	발효/NNG+콩/NNG
섭취하면	섭취/NNG+하/XSV+면/EC
근육	근육/NNG
늘어	늘/VV+어/EF


# id : NWRW1800000053.123.3.1
날씬한 몸매가 미의 기준으로 자리 잡으면서 다이어트하는 사람들이 꾸준하게 늘어나고 있다.

날씬한	날씬하/VA+ㄴ/ETM
몸매가	몸매/NNG+가/JKS
미의	미/NNG+의/JKG
기준으로	기준/NNG+으로/JKB
자리	자리/NNG
잡으면서	잡/VV+으면서/EC
다이어트하는	다이어트/NNG+하/XSV+는/ETM
사람들이	사람/NNG+들/XSN+이/JKS
꾸준하게	꾸준하/VA+게/EC
늘어나고	늘어나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.123.3.2
그러나 깡마른 몸은 오히려 위험할 수 있다.

그러나	그러나/MAJ
깡마른	깡마르/VA+ㄴ/ETM
몸은	몸/NNG+은/JX
오히려	오히려/MAG
위험할	위험/NNG+하/XSA+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.123.3.3
저체중인 사람들은 체중을 늘리기 위해 고단백·고칼로리 음식 위주로 식단을 구성해보지만 여전히 변함없는 체중만 확인할 뿐이다.

저체중인	저/XPN+체중/NNG+이/VCP+ㄴ/ETM
사람들은	사람/NNG+들/XSN+은/JX
체중을	체중/NNG+을/JKO
늘리기	늘리/VV+기/ETN
위해	위하/VV+아/EC
고단백·고칼로리	고/XPN+단백/NNG+·/SP+고/XPN+칼로리/NNG
음식	음식/NNG
위주로	위주/NNG+로/JKB
식단을	식단/NNG+을/JKO
구성해보지만	구성/NNG+하/XSV+아/EC+보/VX+지만/EC
여전히	여전히/MAG
변함없는	변함없/VA+는/ETM
체중만	체중/NNG+만/JX
확인할	확인/NNG+하/XSV+ㄹ/ETM
뿐이다.	뿐/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.123.4.1
저체중의 원인은 다양하지만 대표적으로 위장관의 소화 흡수력이 약한 데서 비롯된다.

저체중의	저/XPN+체중/NNG+의/JKG
원인은	원인/NNG+은/JX
다양하지만	다양/NNG+하/XSA+지만/EC
대표적으로	대표/NNG+적/XSN+으로/JKB
위장관의	위장관/NNG+의/JKG
소화	소화/NNG
흡수력이	흡수력/NNG+이/JKS
약한	약하/VA+ㄴ/ETM
데서	데/NNB+서/JKB
비롯된다.	비롯되/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.123.4.2
장이 안 좋거나 식탐이 없는 것은 모두 소화 흡수와 관련돼 있다.

장이	장/NNG+이/JKS
안	안/MAG
좋거나	좋/VA+거나/EC
식탐이	식탐/NNG+이/JKS
없는	없/VA+는/ETM
것은	것/NNB+은/JX
모두	모두/MAG
소화	소화/NNG
흡수와	흡수/NNG+와/JKB
관련돼	관련/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.123.4.3
저체중인 사람들은 음식을 먹어도 위장이 약해 영양분을 흡수하지 못하고 자주 탈이 난다.

저체중인	저/XPN+체중/NNG+이/VCP+ㄴ/ETM
사람들은	사람/NNG+들/XSN+은/JX
음식을	음식/NNG+을/JKO
먹어도	먹/VV+어도/EC
위장이	위장/NNG+이/JKS
약해	약하/VA+아/EC
영양분을	영양분/NNG+을/JKO
흡수하지	흡수/NNG+하/XSV+지/EC
못하고	못하/VX+고/EC
자주	자주/MAG
탈이	탈/NNG+이/JKS
난다.	나/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.123.4.4
소화 흡수력이 약한 상태가 이어지면 우리 몸은 영양분을 제대로 저장하지 못하게 된다.

소화	소화/NNG
흡수력이	흡수력/NNG+이/JKS
약한	약하/VA+ㄴ/ETM
상태가	상태/NNG+가/JKS
이어지면	이어지/VV+면/EC
우리	우리/NP
몸은	몸/NNG+은/JX
영양분을	영양분/NNG+을/JKO
제대로	제대로/MAG
저장하지	저장/NNG+하/XSV+지/EC
못하게	못하/VX+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.123.4.5
결국 근육으로 보내지는 영양분이 부족해 체중은 늘어나지 않고 체내 시스템은 저체중의 상태로 고정된다.

결국	결국/MAG
근육으로	근육/NNG+으로/JKB
보내지는	보내/VV+지/EC+는/JX
영양분이	영양분/NNG+이/JKS
부족해	부족/NNG+하/XSA+아/EC
체중은	체중/NNG+은/JX
늘어나지	늘어나/VV+지/EC
않고	않/VX+고/EC
체내	체내/NNG
시스템은	시스템/NNG+은/JX
저체중의	저/XPN+체중/NNG+의/JKG
상태로	상태/NNG+로/JKB
고정된다.	고정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.123.5.1
필수아미노산 8종 함유량 10배 높은 발효콩

필수아미노산	필수/NNG+아미노산/NNG
8종	8/SN+종/NNG
함유량	함유량/NNG
10배	10/SN+배/NNG
높은	높/VA+은/ETM
발효콩	발효/NNG+콩/NNG


# id : NWRW1800000053.123.6.1
비만인 사람은 다이어트할 때 우선 체중이 감량될 수 있도록 몸의 상태를 리셋해야 한다.

비만인	비만/NNG+이/VCP+ㄴ/ETM
사람은	사람/NNG+은/JX
다이어트할	다이어트/NNG+하/XSV+ㄹ/ETM
때	때/NNG
우선	우선/MAG
체중이	체중/NNG+이/JKS
감량될	감량/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
몸의	몸/NNG+의/JKG
상태를	상태/NNG+를/JKO
리셋해야	리셋/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000053.123.6.2
체중 미달인 사람도 동일하다.

체중	체중/NNG
미달인	미달/NNG+이/VCP+ㄴ/ETM
사람도	사람/NNG+도/JX
동일하다.	동일/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000053.123.6.3
체중을 늘리기 위해서는 영양분의 소화 흡수율을 최적화시켜야 한다.

체중을	체중/NNG+을/JKO
늘리기	늘리/VV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
영양분의	영양분/NNG+의/JKG
소화	소화/NNG
흡수율을	흡수/NNG+율/XSN+을/JKO
최적화시켜야	최적/NNG+화/XSN+시키/XSV+어야/EC
