# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.62
metadata : {}


# id : NWRW1800000045.62.1.1
[기업&CEO]디 이그제큐티브 센터, 최고의 글로벌 비즈니스 서비스 제공

[기업&CEO]디	[/SS+기업/NNG+&/SW+CEO/SL+]/SS+디/NNP
이그제큐티브	이그제큐티브/NNP
센터,	센터/NNP+,/SP
최고의	최고/NNG+의/JKG
글로벌	글로벌/NNG
비즈니스	비즈니스/NNG
서비스	서비스/NNG
제공	제공/NNG


# id : NWRW1800000045.62.2.1
1994년에 오픈한 오피스 서비스 글로벌 기업인 디 이그제큐티브 센터(www.executivecentre.co.kr)는 서울파이낸스센터(SFC), 강남파이낸스센터(GFC), 서울국제금융센터(IFC)에 입주하여 최소의 비용으로 최상의 사무실 시설과 글로벌 비즈니스 서비스를 제공하고 있다.

1994년에	1994/SN+년/NNB+에/JKB
오픈한	오픈/NNG+하/XSV+ㄴ/ETM
오피스	오피스/NNG
서비스	서비스/NNG
글로벌	글로벌/NNG
기업인	기업/NNG+이/VCP+ㄴ/ETM
디	디/NNP
이그제큐티브	이그제큐티브/NNP
센터(www.executivecentre.co.kr)는	센터/NNP+(/SS+www/SL+./SP+executivecentre/SL+./SP+co/SL+./SP+kr/SL+)/SS+는/JX
서울파이낸스센터(SFC),	서울파이낸스센터/NNP+(/SS+SFC/SL+)/SS+,/SP
강남파이낸스센터(GFC),	강남파이낸스센터/NNP+(/SS+GFC/SL+)/SS+,/SP
서울국제금융센터(IFC)에	서울국제금융센터/NNP+(/SS+IFC/SL+)/SS+에/JKB
입주하여	입주/NNG+하/XSV+아/EC
최소의	최소/NNG+의/JKG
비용으로	비용/NNG+으로/JKB
최상의	최상/NNG+의/JKG
사무실	사무실/NNG
시설과	시설/NNG+과/JC
비즈니스	비즈니스/NNG
서비스를	서비스/NNG+를/JKO
제공하고	제공/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.62.2.2
사업을 준비하는 고객들은 두 장의 간단한 계약서와 함께 즉시 비즈니스를 시작할 수 있다.

사업을	사업/NNG+을/JKO
준비하는	준비/NNG+하/XSV+는/ETM
고객들은	고객/NNG+들/XSN+은/JX
두	두/MMN
