# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.277
metadata : {}


# id : NWRW1800000028.277.1.1
‘대북 강경책’ 지속 신호

‘대북	‘/SS+대북/NNG
강경책’	강경책/NNG+’/SS
지속	지속/NNG
신호	신호/NNG


# id : NWRW1800000028.277.2.1
8일 개각 발표 전까지 외교안보 쪽 장관 1~2명 교체가 정설이었다.

8일	8/SN+일/NNB
개각	개각/NNG
발표	발표/NNG
전까지	전/NNG+까지/JX
외교안보	외교/NNG+안보/NNG
쪽	쪽/NNB
장관	장관/NNG
1~2명	1/SN+~/SO+2/SN+명/NNB
교체가	교체/NNG+가/JKS
정설이었다.	정설/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000028.277.2.2
‘천안함 외교’ 실패에다 최근 남북 및 한-중 관계 약화, 이란 제재 문제와 한-리비아 갈등으로 불거진 아랍·중동 외교의 난맥상 등으로 인해 쇄신할 필요가 있었기 때문이다.

‘천안함	‘/SS+천안함/NNP
외교’	외교/NNG+’/SS
실패에다	실패/NNG+에다/JKB
최근	최근/MAG
남북	남북/NNP
및	및/MAG
한-중	한-중/NNP
관계	관계/NNG
약화,	약화/NNG+,/SP
이란	이란/NNP
제재	제재/NNG
문제와	문제/NNG+와/JC
한-리비아	한/NNP+-/SO+리비아/NNP
갈등으로	갈등/NNG+으로/JKB
불거진	불거지/VV+ㄴ/ETM
아랍·중동	아랍/NNP+·/SP+중동/NNP
외교의	외교/NNG+의/JKG
난맥상	난맥상/NNG
등으로	등/NNB+으로/JKB
인해	인/NNG+하/XSV+아/EC
쇄신할	쇄신/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있었기	있/VA+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.277.2.3
실제 외교안보 부서들은 이날 오전 장관 교체에 대비해 후임 하마평에 오른 사람들의 프로필을 준비했던 것으로 알려졌다.

실제	실제/NNG
외교안보	외교/NNG+안보/NNG
부서들은	부서/NNG+들/XSN+은/JX
이날	이날/NNG
오전	오전/NNG
장관	장관/NNG
교체에	교체/NNG+에/JKB
대비해	대비/NNG+하/XSV+아/EC
후임	후임/NNG
하마평에	하마평/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
사람들의	사람/NNG+들/XSN+의/JKG
프로필을	프로필/NNG+을/JKO
준비했던	준비/NNG+하/XSV+았/EP+던/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.277.3.1
하지만 이명박 대통령은 지난달 4기 청와대 참모진을 개편하면서 김성환 외교안보수석 등 외교안보 라인을 전혀 손대지 않은 데 이어 이날 외교안보 3개 부처 장관들도 모두 유임시켰다.

하지만	하지만/MAJ
이명박	이명박/NNP
대통령은	대통령/NNG+은/JX
지난달	지난달/NNG
4기	4/SN+기/NNG
청와대	청와대/NNP
참모진을	참모진/NNG+을/JKO
개편하면서	개편/NNG+하/XSV+면서/EC
김성환	김성환/NNP
외교안보수석	외교/NNG+안보/NNG+수석/NNG
등	등/NNB
외교안보	외교/NNG+안보/NNG
라인을	라인/NNG+을/JKO
전혀	전혀/MAG
손대지	손대/VV+지/EC
않은	않/VX+은/ETM
데	데/NNB
이어	잇/VV+어/EC
이날	이날/NNG
3개	3/SN+개/NNB
부처	부처/NNG
장관들도	장관/NNG+들/XSN+도/JX
모두	모두/MAG
유임시켰다.	유임/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000028.277.3.2
홍상표 청와대 홍보수석은 이날 개각 발표 뒤 기자회견에서 “서너 달 남은 주요 20개국(G20) 정상회의가 있기 때문에 현재 외교안보 부처 국무위원들이 그걸 쭉 준비해왔고, 업무의 연속성과 일관성을 유지하는 게 좋겠다 해서 이번에 (개각 대상에서) 제외된 걸로 안다”고 말했다.

홍상표	홍상표/NNP
청와대	청와대/NNP
홍보수석은	홍보/NNG+수석/NNG+은/JX
이날	이날/NNG
개각	개각/NNG
발표	발표/NNG
뒤	뒤/NNG
