# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.266
metadata : {}


# id : NWRW1800000054.266.1.1
'혼수 상태' 수비부터 수술하라

'혼수	'/SS+혼수/NNG
상태'	상태/NNG+'/SS
수비부터	수비/NNG+부터/JX
수술하라	수술/NNG+하/XSV+라/EF


# id : NWRW1800000054.266.2.1
신태용호 '발등의 불' 수비라인

신태용호	신태용호/NNP
'발등의	'/SS+발등/NNG+의/JKG
불'	불/NNG+'/SS
수비라인	수비/NNG+라인/NNG


# id : NWRW1800000054.266.3.1
'급한 불부터 끄고 보라'는 말이 있다.

'급한	'/SS+급하/VA+ㄴ/ETM
불부터	불/NNG+부터/JX
끄고	끄/VV+고/EC
보라'는	보/VX+라/EF+'/SS+는/ETM
말이	말/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.266.3.2
2018 러시아 월드컵 본선행이 불투명해진 위급한 상황에서 '소방수'로 투입된 신태용 축구 대표팀 감독이 처한 상황이 딱 그렇다.

2018	2018/SN
러시아	러시아/NNP
월드컵	월드컵/NNG
본선행이	본선행/NNG+이/JKS
불투명해진	불/XPN+투명/NNG+하/XSA+아/EC+지/VX+ㄴ/ETM
위급한	위급/NNG+하/XSA+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
'소방수'로	'/SS+소방수/NNG+'/SS+로/JKB
투입된	투입/NNG+되/XSV+ㄴ/ETM
신태용	신태용/NNP
축구	축구/NNG
대표팀	대표/NNG+팀/NNG
감독이	감독/NNG+이/JKS
처한	처하/VV+ㄴ/ETM
상황이	상황/NNG+이/JKS
딱	딱/MAG
그렇다.	그렇/VA+다/EF+./SF


# id : NWRW1800000054.266.3.3
신태용호(號)는 남은 두 경기에서 이란과 우즈베키스탄이라는 까다로운 팀을 상대해야 하는데, 기성용과 손흥민은 부상으로 출전이 불확실하다.

신태용호(號)는	신태용호/NNP+(/SS+號/SH+)/SS+는/JX
남은	남/VV+은/ETM
두	두/MMN
경기에서	경기/NNG+에서/JKB
이란과	이란/NNP+과/JC
우즈베키스탄이라는	우즈베키스탄/NNP+이/VCP+라는/ETM
까다로운	까다롭/VA+ㄴ/ETM
팀을	팀/NNG+을/JKO
상대해야	상대/NNG+하/XSV+아야/EC
하는데,	하/VX+는데/EC+,/SP
기성용과	기성용/NNP+과/JC
손흥민은	손흥민/NNP+은/JX
부상으로	부상/NNG+으로/JKB
출전이	출전/NNG+이/JKS
불확실하다.	불확실/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000054.266.3.4
어수선한 팀 분위기로 불똥이 여러 곳에 튀어 있지만, 신태용 감독이 해결해야 할 가장 큰 숙제이자 제일 먼저 꺼야 할 불은 바로 대표팀의 수비 불안이다.

어수선한	어수선하/VA+ㄴ/ETM
팀	팀/NNG
분위기로	분위기/NNG+로/JKB
불똥이	불똥/NNG+이/JKS
여러	여러/MMN
곳에	곳/NNG+에/JKB
튀어	튀/VV+어/EC
있지만,	있/VX+지만/EC+,/SP
신태용	신태용/NNP
감독이	감독/NNG+이/JKS
해결해야	해결/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
가장	가장/MAG
큰	크/VA+ㄴ/ETM
숙제이자	숙제/NNG+이/VCP+자/EC
제일	제일/MAG
먼저	먼저/MAG
꺼야	끄/VV+어야/EC
불은	불/NNG+은/JX
바로	바로/MAG
대표팀의	대표/NNG+팀/NNG+의/JKG
수비	수비/NNG
불안이다.	불안/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.266.3.5
수비 불안은 예선을 거치는 동안 한국 축구의 가장 큰 골치가 됐다.

수비	수비/NNG
불안은	불안/NNG+은/JX
예선을	예선/NNG+을/JKO
거치는	거치/VV+는/ETM
동안	동안/NNG
한국	한국/NNP
축구의	축구/NNG+의/JKG
가장	가장/MAG
큰	크/VA+ㄴ/ETM
골치가	골치/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.266.3.6
한국은 예선 8경기에서 11골을 넣고 10골을 내줬다.

한국은	한국/NNP+은/JX
예선	예선/NNG
8경기에서	8/SN+경기/NNG+에서/JKB
11골을	11/SN+골/NNG+을/JKO
넣고	넣/VV+고/EC
10골을	10/SN+골/NNG+을/JKO
내줬다.	내주/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.266.3.7
A조 6팀 중 카타르와 함께 가장 많은 골을 내준 팀이 한국이다.

A조	A/SL+조/NNG
6팀	6/SN+팀/NNG
중	중/NNB
카타르와	카타르/NNP+와/JKB
함께	함께/MAG
가장	가장/MAG
많은	많/VA+은/ETM
골을	골/NNG+을/JKO
내준	내주/VV+ㄴ/ETM
팀이	팀/NNG+이/JKS
한국이다.	한국/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000054.266.3.8
중국(9실점), 시리아(5실점)보다도 많다.

중국(9실점),	중국/NNP+(/SS+9/SN+실점/NNG+)/SS+,/SP
시리아(5실점)보다도	시리아/NNP+(/SS+5/SN+실점/NNG+)/SS+보다/JKB+도/JX
많다.	많/VA+다/EF+./SF


# id : NWRW1800000054.266.3.9
골을 넣고도 어이없이 실점해 분위기가 뒤집혀 진땀을 흘린 일도 여러 차례였다.

골을	골/NNG+을/JKO
넣고도	넣/VV+고/EC+도/JX
어이없이	어이없이/MAG
실점해	실점/NNG+하/XSV+아/EC
분위기가	분위기/NNG+가/JKS
뒤집혀	뒤집히/VV+어/EC
진땀을	진땀/NNG+을/JKO
흘린	흘리/VV+ㄴ/ETM
일도	일/NNG+도/JX
여러	여러/MMN
차례였다.	차례/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.266.3.10
한국 수비는 어쩌다 이렇게 됐을까.

한국	한국/NNP
수비는	수비/NNG+는/JX
어쩌다	어쩌다/MAG
이렇게	이렇/VA+게/EC
됐을까.	되/VV+었/EP+을까/EF+./SF


# id : NWRW1800000054.266.4.1
한국은 지난 8경기 동안 한 번도 직전 경기와 수비 라인업이 일치한 적이 없었다.

한국은	한국/NNP+은/JX
