# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000042.259
metadata : {}


# id : NWRW1800000042.259.1.1
[강경희의 터치! 코리아] 개그맨 선거보다 깜깜한 敎育監 선거

[강경희의	[/SS+강경희/NNP+의/JKG
터치!	터치/NNG+!/SF
코리아]	코리아/NNP+]/SS
개그맨	개그맨/NNG
선거보다	선거/NNG+보다/JKB
깜깜한	깜깜/MAG+하/XSA+ㄴ/ETM
敎育監	敎育監/SH
선거	선거/NNG


# id : NWRW1800000042.259.2.1
6·4 지방선거 앞두고, TV의 한 예능프로그램에서 '선택 2014'란 선거 특집을 방송하고 있다.

6·4	6/SN+·/SP+4/SN
지방선거	지방/NNG+선거/NNG
앞두고,	앞두/VV+고/EC+,/SP
TV의	TV/SL+의/JKG
한	한/MMN
예능프로그램에서	예능/NNG+프로그램/NNG+에서/JKB
'선택	'/SS+선택/NNG
2014'란	2014/SN+'/SS+란/JX
선거	선거/NNG
특집을	특집/NNG+을/JKO
방송하고	방송/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000042.259.2.2
향후 10년간 이 프로의 차세대 리더를 뽑는다는 기치를 내걸고, 진짜 선거 비슷하게 개그맨 후보들이 공약도 내고, 유세도 다니고, TV토론도 하는 모습이 몇 차례 방송됐다.

향후	향후/NNG
10년간	10/SN+년/NNB+간/XSN
이	이/MMD
프로의	프로/NNG+의/JKG
차세대	차세대/NNG
리더를	리더/NNG+를/JKO
뽑는다는	뽑/VV+는다는/ETM
기치를	기치/NNG+를/JKO
내걸고,	내걸/VV+고/EC+,/SP
진짜	진짜/NNG
선거	선거/NNG
비슷하게	비슷하/VA+게/EC
개그맨	개그맨/NNG
후보들이	후보/NNG+들/XSN+이/JKS
공약도	공약/NNG+도/JX
내고,	내/VV+고/EC+,/SP
유세도	유세/NNG+도/JX
다니고,	다니/VV+고/EC+,/SP
TV토론도	TV/SL+토론/NNG+도/JX
하는	하/VV+는/ETM
모습이	모습/NNG+이/JKS
몇	몇/NR
차례	차례/NNG
방송됐다.	방송/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000042.259.2.3
최근 방송에선 각각 40%대 지지율로 여론조사 1·2위를 차지한 인기 개그맨 노홍철과 유재석에 멀찌감치 떨어져 한 자릿수 지지율을 얻은 군소 후보 4명이 온갖 익살을 떨며 단일화를 이뤄내는 장면이 전파를 탔다.

최근	최근/NNG
방송에선	방송/NNG+에서/JKB+ㄴ/JX
각각	각각/MAG
40%대	40/SN+%/SW+대/XSN
지지율로	지지/NNG+율/XSN+로/JKB
여론조사	여론/NNG+조사/NNG
1·2위를	1/SN+·/SP+2/SN+위/NNB+를/JKO
차지한	차지/NNG+하/XSV+ㄴ/ETM
인기	인기/NNG
개그맨	개그맨/NNG
노홍철과	노홍철/NNP+과/JC
유재석에	유재석/NNP+에/JKB
멀찌감치	멀찌감치/MAG
떨어져	떨어지/VV+어/EC
한	한/MMN
