# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.233
metadata : {}


# id : NWRW1800000038.233.1.1
'화려한 부활' 노리는 박지성, '눈부신 데뷔' 꿈꾸는 윤석영

'화려한	'/SS+화려하/VA+ㄴ/ETM
부활'	부활/NNG+'/SS
노리는	노리/VV+는/ETM
박지성,	박지성/NNP+,/SP
'눈부신	'/SS+눈부시/VA+ㄴ/ETM
데뷔'	데뷔/NNG+'/SS
꿈꾸는	꿈꾸/VV+는/ETM
윤석영	윤석영/NNP


# id : NWRW1800000038.233.2.1
QPR, 오늘밤 맨유와 대결… 떨리는 두 남자

QPR,	QPR/SL+,/SP
오늘밤	오늘/NNG+밤/NNG
맨유와	맨유/NNP+와/JKB
대결…	대결/NNG+…/SE
떨리는	떨리/VV+는/ETM
두	두/MMN
남자	남자/NNG


# id : NWRW1800000038.233.3.1
'코리안 듀오' 박지성(32)과 윤석영(23)이 속한 잉글랜드 프리미어리그 퀸스파크 레인저스(이하 QPR)가 23일 밤 12시(한국 시각) 영국 런던의 로프터스 로드 스타디움에서 리그 단독 선두 맨체스터 유나이티드와 맞붙는다.

'코리안	'/SS+코리안/NNP
듀오'	듀오/NNG+'/SS
박지성(32)과	박지성/NNP+(/SS+32/SN+)/SS+과/JC
윤석영(23)이	윤석영/NNP+(/SS+23/SN+)/SS+이/JKS
속한	속하/VV+ㄴ/ETM
잉글랜드	잉글랜드/NNP
프리미어리그	프리미어리그/NNG
퀸스파크	퀸스파크/NNP
레인저스(이하	레인저스/NNP+(/SS+이하/NNG
QPR)가	QPR/SL+)/SS+가/JKS
23일	23/SN+일/NNB
밤	밤/NNG
12시(한국	12/SN+시/NNB+(/SS+한국/NNP
시각)	시각/NNG+)/SS
영국	영국/NNP
런던의	런던/NNP+의/JKG
로프터스	로프터스/NNP
로드	로드/NNP
스타디움에서	스타디움/NNG+에서/JKB
리그	리그/NNG
단독	단독/NNG
선두	선두/NNG
맨체스터	맨체스터/NNP
유나이티드와	유나이티드/NNP+와/JKB
맞붙는다.	맞붙/VV+는다/EF+./SF


# id : NWRW1800000038.233.4.1
이번 대결은 1등과 꼴찌의 대결이다.

이번	이번/NNG
대결은	대결/NNG+은/JX
1등과	1/SN+등/NNB+과/JC
꼴찌의	꼴찌/NNG+의/JKG
대결이다.	대결/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.233.4.2
리그 최하위 QPR(2승11무13패·승점 17)은 승리 횟수가 맨유(21승2무3패·승점 65)의 패배 수보다 적다.

리그	리그/NNG
최하위	최/XPN+하위/NNG
QPR(2승11무13패·승점	QPR/SL+(/SS+2/SN+승/NNB+11/SN+무/NNB+13/SN+패/NNB+·/SP+승점/NNG
17)은	17/SN+)/SS+은/JX
승리	승리/NNG
횟수가	횟수/NNG+가/JKS
맨유(21승2무3패·승점	맨유/NNP+(/SS+21/SN+승/NNB+2/SN+무/NNB+3/SN+패/NNB+·/SP+승점/NNG
65)의	65/SN+)/SS+의/JKG
패배	패배/NNG
수보다	수/NNG+보다/JKB
적다.	적/VA+다/EF+./SF


# id : NWRW1800000038.233.4.3
최근 다섯 경기에서 QPR(4무1패)은 1승도 따내지 못했지만 맨유는 무패 행진(4승1무)을 달렸다.

최근	최근/NNG
다섯	다섯/NR
경기에서	경기/NNG+에서/JKB
QPR(4무1패)은	QPR/SL+(/SS+4/SN+무/NNB+1/SN+패/NNB+)/SS+은/JX
1승도	1/SN+승/NNB+도/JX
따내지	따내/VV+지/EC
못했지만	못하/VX+았/EP+지만/EC
맨유는	맨유/NNP+는/JX
무패	무패/NNG
행진(4승1무)을	행진/NNG+(/SS+4/SN+승/NNB+1/SN+무/NNB+)/SS+을/JKO
달렸다.	달리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.233.5.1
QPR은 맨유전에서 반드시 승점을 따내야 할 상황이다.

QPR은	QPR/SL+은/JX
맨유전에서	맨유전/NNG+에서/JKB
반드시	반드시/MAG
승점을	승점/NNG+을/JKO
따내야	따내/VV+어야/EC
할	하/VX+ㄹ/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.233.5.2
현재 승점 17점을 기록 중인 QPR은 남은 리그 12경기에서 최소한 승점 20점을 확보해야 1부 리그 생존을 바라볼 수 있다.

현재	현재/MAG
승점	승점/NNG
17점을	17/SN+점/NNB+을/JKO
기록	기록/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
QPR은	QPR/SL+은/JX
남은	남/VV+은/ETM
리그	리그/NNG
12경기에서	12/SN+경기/NNG+에서/JKB
최소한	최소한/MAG
20점을	20/SN+점/NNB+을/JKO
확보해야	확보/NNG+하/XSV+아야/EC
1부	1부/NNG
생존을	생존/NNG+을/JKO
바라볼	바라보/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.233.5.3
지난 네 시즌 동안 잔류 마지노선인 리그 17위 팀들의 평균 승점은 36.5점이었다.

지난	지나/VV+ㄴ/ETM
네	네/MMN
시즌	시즌/NNG
동안	동안/NNG
잔류	잔류/NNG
마지노선인	마지노선/NNG+이/VCP+ㄴ/ETM
리그	리그/NNG
17위	17/SN+위/NNB
팀들의	팀/NNG+들/XSN+의/JKG
평균	평균/NNG
승점은	승점/NNG+은/JX
36.5점이었다.	36/SN+./SP+5/SN+점/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.233.6.1
다행히 맨유의 '에이스' 웨인 루니(28·잉글랜드)가 축농증으로 결장한다.

다행히	다행히/MAG
맨유의	맨유/NNP+의/JKG
'에이스'	'/SS+에이스/NNG+'/SS
웨인	웨인/NNP
루니(28·잉글랜드)가	루니/NNP+(/SS+28/SN+·/SP+잉글랜드/NNP+)/SS+가/JKS
축농증으로	축농증/NNG+으로/JKB
결장한다.	결장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.233.6.2
수비와 중원의 핵인 필 존스(21·잉글랜드)와 폴 스콜스(39·잉글랜드)도 발목과 무릎 부상으로 그라운드에 나서지 못한다.

수비와	수비/NNG+와/JC
중원의	중원/NNG+의/JKG
핵인	핵/NNG+이/VCP+ㄴ/ETM
필	필/NNP
존스(21·잉글랜드)와	존스/NNP+(/SS+21/SN+·/SP+잉글랜드/NNP+)/SS+와/JC
폴	폴/NNP
스콜스(39·잉글랜드)도	스콜스/NNP+(/SS+39/SN+·/SP+잉글랜드/NNP+)/SS+도/JX
발목과	발목/NNG+과/JC
무릎	무릎/NNG
부상으로	부상/NNG+으로/JKB
그라운드에	그라운드/NNG+에/JKB
나서지	나서/VV+지/EC
못한다.	못하/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.233.6.3
QPR 해리 레드냅 감독은 "맨유전에 무슨 일이 일어날지 알 수 없다"고 했다.

QPR	QPR/SL
해리	해리/NNP
레드냅	레드냅/NNP
감독은	감독/NNG+은/JX
"맨유전에	"/SS+맨유전/NNG+에/JKB
무슨	무슨/MMD
일이	일/NNG+이/JKS
일어날지	일어나/VV+ㄹ지/EC
알	알/VV+ㄹ/ETM
수	수/NNB
없다"고	없/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.233.6.4
맨유 알렉스 퍼거슨 감독은 "방심하지 않을 것"이라며 "레알 마드리드를 상대한다는 마음으로 임할 것"이라고 했다.

맨유	맨유/NNP
알렉스	알렉스/NNP
퍼거슨	퍼거슨/NNP
감독은	감독/NNG+은/JX
"방심하지	"/SS+방심/NNG+하/XSV+지/EC
않을	않/VX+을/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"레알	"/SS+레알/NNP
마드리드를	마드리드/NNP+를/JKO
상대한다는	상대/NNG+하/XSV+ㄴ다는/ETM
마음으로	마음/NNG+으로/JKB
임할	임하/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.233.7.1
지난 두 경기에서 벤치를 지킨 박지성은 맨유전에 그라운드를 밟을 가능성이 크다.

지난	지나/VV+ㄴ/ETM
두	두/MMN
경기에서	경기/NNG+에서/JKB
벤치를	벤치/NNG+를/JKO
지킨	지키/VV+ㄴ/ETM
박지성은	박지성/NNP+은/JX
맨유전에	맨유전/NNG+에/JKB
그라운드를	그라운드/NNG+를/JKO
밟을	밟/VV+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000038.233.7.2
레드냅 감독은 지난 6일 토트넘전(0대0 무승부) 등 강팀을 상대할 때 박지성을 수비형 미드필더로 기용해 효과를 봤다.

레드냅	레드냅/NNP
감독은	감독/NNG+은/JX
지난	지나/VV+ㄴ/ETM
6일	6/SN+일/NNB
토트넘전(0대0	토트넘전/NNG+(/SS+0/SN+대/NNB+0/SN
무승부)	무/XPN+승부/NNG+)/SS
등	등/NNB
강팀을	강팀/NNG+을/JKO
상대할	상대/NNG+하/XSV+ㄹ/ETM
때	때/NNG
박지성을	박지성/NNP+을/JKO
수비형	수비/NNG+형/XSN
미드필더로	미드필더/NNG+로/JKB
기용해	기용/NNG+하/XSV+아/EC
효과를	효과/NNG+를/JKO
봤다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.233.7.3
게다가 박지성은 맨유에서 7년간 뛰어 팀의 전술과 선수 스타일에 대해 잘 알고 있다.

게다가	게다가/MAG
박지성은	박지성/NNP+은/JX
맨유에서	맨유/NNP+에서/JKB
7년간	7/SN+년/NNB+간/XSN
뛰어	뛰/VV+어/EC
팀의	팀/NNG+의/JKG
전술과	전술/NNG+과/JC
선수	선수/NNG
스타일에	스타일/NNG+에/JKB
대해	대하/VV+아/EC
잘	잘/MAG
알고	알/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.233.8.1
박지성 입장에서도 맨유전은 절호의 기회다.

박지성	박지성/NNP
입장에서도	입장/NNG+에서/JKB+도/JX
맨유전은	맨유전/NNG+은/JX
절호의	절호/NNG+의/JKG
기회다.	기회/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.233.8.2
팀의 '캡틴' 자리에서 물러난 박지성은 최근엔 벤치 신세로 전락했다.

