# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.326
metadata : {}


# id : NWRW1800000041.326.1.1
北당국 “몰래 ‘정도전’ 보면 엄벌”

北당국	北/SH+당국/NNG
“몰래	“/SS+몰래/MAG
‘정도전’	‘/SS+정도전/NNP+’/SS
보면	보/VV+면/EC
엄벌”	엄벌/NNG+”/SS


# id : NWRW1800000041.326.2.1
북한서… 홍콩서… 못말리는 한국드라마 열풍

북한서…	북한/NNP+서/JKB+…/SE
홍콩서…	홍콩/NNP+서/JKB+…/SE
못말리는	못/MAG+말리/VV+는/ETM
한국드라마	한국/NNP+드라마/NNG
열풍	열풍/NNG


# id : NWRW1800000041.326.3.1
북한 당국이 한국 역사드라마 ‘정도전’의 불법 유통을 철저히 차단하라는 지시를 지난달 전국 체제 보위기관들에 전달했다고 북한소식통이 27일 밝혔다.

북한	북한/NNP
당국이	당국/NNG+이/JKS
한국	한국/NNP
역사드라마	역사/NNG+드라마/NNG
‘정도전’의	‘/SS+정도전/NNP+’/SS+의/JKG
불법	불법/NNG
유통을	유통/NNG+을/JKO
철저히	철저히/MAG
차단하라는	차단/NNG+하/XSV+라는/ETM
지시를	지시/NNG+를/JKO
지난달	지난달/NNG
전국	전국/NNG
체제	체제/NNG
보위기관들에	보위/NNG+기관/NNG+들/XSN+에/JKB
전달했다고	전달/NNG+하/XSV+았/EP+다고/EC
북한소식통이	북한/NNP+소식통/NNG+이/JKS
27일	27/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.326.3.2
북한의 한국 드라마 단속은 늘 벌어지는 일이지만 이번처럼 특정 드라마의 제목을 거론하며 통제와 처벌을 강화하라고 지시한 것은 이례적이다.

북한의	북한/NNP+의/JKG
한국	한국/NNP
드라마	드라마/NNG
단속은	단속/NNG+은/JX
늘	늘/MAG
벌어지는	벌어지/VV+는/ETM
일이지만	일/NNG+이/VCP+지만/EC
이번처럼	이번/NNG+처럼/JKB
특정	특정/NNG
드라마의	드라마/NNG+의/JKG
제목을	제목/NNG+을/JKO
거론하며	거론/NNG+하/XSV+며/EC
통제와	통제/NNG+와/JC
처벌을	처벌/NNG+을/JKO
강화하라고	강화/NNG+하/XSV+라고/EC
지시한	지시/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
이례적이다.	이례/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000041.326.4.1
이 소식통은 “북한 당국이 보위부와 보위사령부 등 체제 보위기관들에 정도전 단속 지시를 하달하면서 이 드라마가 역사를 매우 심하게 왜곡하고 있다는 이유를 제시했다고 들었다”고 전했다.

이	이/MMD
소식통은	소식통/NNG+은/JX
“북한	“/SS+북한/NNP
당국이	당국/NNG+이/JKS
보위부와	보위부/NNG+와/JC
보위사령부	보위/NNG+사령부/NNG
등	등/NNB
체제	체제/NNG
보위기관들에	보위/NNG+기관/NNG+들/XSN+에/JKB
정도전	정도전/NNP
단속	단속/NNG
지시를	지시/NNG+를/JKO
하달하면서	하달/NNG+하/XSV+면서/EC
드라마가	드라마/NNG+가/JKS
역사를	역사/NNG+를/JKO
매우	매우/MAG
심하게	심하/VA+게/EC
왜곡하고	왜곡/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
이유를	이유/NNG+를/JKO
제시했다고	제시/NNG+하/XSV+았/EP+다고/EC
들었다”고	듣/VV+었/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


