# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.386
metadata : {}


# id : NWRW1800000045.386.1.1
공정위장 “기업 자료제출 거부땐 총수 징역형 법개정 추진”

공정위장	공정위장/NNG
“기업	“/SS+기업/NNG
자료제출	자료/NNG+제출/NNG
거부땐	거부/NNG+때/NNG+ㄴ/JX
총수	총수/NNG
징역형	징역형/NNG
법개정	법/NNG+개정/NNG
추진”	추진/NNG+”/SS


# id : NWRW1800000045.386.2.1
“롯데 16일까지 제출 안하면 제재… 네이버-카카오 불공정행위 점검”

“롯데	“/SS+롯데/NNP
16일까지	16/SN+일/NNB+까지/JX
제출	제출/NNG
안하면	안/MAG+하/VV+면/EC
제재…	제재/NNG+…/SE
네이버-카카오	네이버/NNP+-/SO+카카오/NNP
불공정행위	불/XPN+공정/NNG+행위/NNG
점검”	점검/NNG+”/SS


# id : NWRW1800000045.386.3.1
정재찬 공정거래위원장은 6일 “롯데 측이 16일까지 해외 계열사와 관련해 추가자료를 제출하지 않으면 법에 따라 제재하겠다”고 말했다.

정재찬	정재찬/NNP
공정거래위원장은	공정/NNG+거래/NNG+위원장/NNG+은/JX
6일	6/SN+일/NNB
“롯데	“/SS+롯데/NNP
측이	측/NNB+이/JKS
16일까지	16/SN+일/NNB+까지/JX
해외	해외/NNG
계열사와	계열사/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
추가자료를	추가/NNG+자료/NNG+를/JKO
제출하지	제출/NNG+하/XSV+지/EC
않으면	않/VX+으면/EC
법에	법/NNG+에/JKB
따라	따르/VV+아/EC
제재하겠다”고	제재/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.386.3.2
공정위가 날짜를 못 박으며 롯데그룹을 압박한 건 이번이 처음이다.

공정위가	공정위/NNG+가/JKS
날짜를	날짜/NNG+를/JKO
못	못/MAG
박으며	박/VV+으며/EC
롯데그룹을	롯데그룹/NNP+을/JKO
압박한	압박/NNG+하/XSV+ㄴ/ETM
건	거/NNB+ㄴ/JX
이번이	이번/NNG+이/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.386.4.1
정 위원장은 이날 국회에서 열린 정무위원회 국정감사에서 “지난달 국감에서 한 달 기한을 주기로 했지만 여전히 일부 자료가 넘어오지 않았다”면서 이같이 말했다.

정	정/NNP
위원장은	위원장/NNG+은/JX
이날	이날/NNG
국회에서	국회/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
정무위원회	정무/NNG+위원회/NNG
국정감사에서	국정/NNG+감사/NNG+에서/JKB
“지난달	“/SS+지난달/NNG
국감에서	국감/NNG+에서/JKB
한	한/MMN
달	달/NNB
기한을	기한/NNG+을/JKO
주기로	주/VV+기/ETN+로/JKB
했지만	하/VV+았/EP+지만/EC
여전히	여전히/MAG
일부	일부/NNG
자료가	자료/NNG+가/JKS
넘어오지	넘어오/VV+지/EC
않았다”면서	않/VX+았/EP+다/EF+”/SS+면서/EC
이같이	이/NP+같이/JKB
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.386.4.2
정 위원장은 또 현행법상 자료 제출을 거부해도 처벌이 벌금 1억 원에 그친다는 지적에 대해 “정당한 자료 제출 요구를 거부할 경우 총수에 대해 징역형까지 물릴 수 있도록 법 개정을 추진하겠다”라고 덧붙였다.

정	정/NNP
위원장은	위원장/NNG+은/JX
또	또/MAG
현행법상	현행법/NNG+상/XSN
자료	자료/NNG
제출을	제출/NNG+을/JKO
거부해도	거부/NNG+하/XSV+아도/EC
처벌이	처벌/NNG+이/JKS
벌금	벌금/NNG
1억	1/SN+억/NR
원에	원/NNB+에/JKB
그친다는	그치/VV+ㄴ다는/ETM
지적에	지적/NNG+에/JKB
대해	대하/VV+아/EC
“정당한	“/SS+정당하/VA+ㄴ/ETM
제출	제출/NNG
요구를	요구/NNG+를/JKO
거부할	거부/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
총수에	총수/NNG+에/JKB
징역형까지	징역형/NNG+까지/JX
물릴	물리/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
법	법/NNG
개정을	개정/NNG+을/JKO
추진하겠다”라고	추진/NNG+하/XSV+겠/EP+다/EF+”/SS+라고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.386.5.1
정 위원장은 이 밖에 “네이버와 카카오가 점유율로 보면 시장지배적 사업자로 추정된다”며 “불공정 행위가 없는지 지속적으로 모니터링 하겠다”고 밝혔다.

정	정/NNP
위원장은	위원장/NNG+은/JX
이	이/NP
밖에	밖/NNG+에/JKB
“네이버와	“/SS+네이버/NNP+와/JC
카카오가	카카오/NNP+가/JKS
점유율로	점유/NNG+율/XSN+로/JKB
보면	보/VV+면/EC
시장지배적	시장/NNG+지배/NNG+적/XSN
사업자로	사업자/NNG+로/JKB
추정된다”며	추정/NNG+되/XSV+ㄴ다/EF+”/SS+며/EC
“불공정	“/SS+불/XPN+공정/NNG
행위가	행위/NNG+가/JKS
없는지	없/VA+는지/EF
지속적으로	지속/NNG+적/XSN+으로/JKB
모니터링	모니터링/NNG
하겠다”고	하/VV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.386.5.2
이어 포털 사업자를 ‘정보유통업자’라는 새로운 사업군으로 분류해야 한다는 김상민 새누리당 의원의 지적에 대해 “필요하다면 그런 방법도 검토하겠다”고 말했다.

이어	이어/MAG
포털	포털/NNG
사업자를	사업자/NNG+를/JKO
‘정보유통업자’라는	‘/SS+정보/NNG+유통업자/NNG+’/SS+이/VCP+라는/ETM
새로운	새롭/VA+ㄴ/ETM
사업군으로	사업/NNG+군/NNG+으로/JKB
분류해야	분류/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
김상민	김상민/NNP
새누리당	새누리당/NNP
의원의	의원/NNG+의/JKG
지적에	지적/NNG+에/JKB
대해	대하/VV+아/EC
“필요하다면	“/SS+필요/NNG+하/XSA+다면/EC
그런	그런/MMD
방법도	방법/NNG+도/JX
검토하겠다”고	검토/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.386.6.1
또 카카오의 콜택시 서비스인 ‘카카오택시’의 영업 활동에 대해서도 공정거래법상 불법성이 있는지 검토하기로 했다.

또	또/MAG
카카오의	카카오/NNP+의/JKG
콜택시	콜택시/NNG
서비스인	서비스/NNG+이/VCP+ㄴ/ETM
‘카카오택시’의	‘/SS+카카오택시/NNP+’/SS+의/JKG
영업	영업/NNG
활동에	활동/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
공정거래법상	공정/NNG+거래법/NNG+상/XSN
불법성이	불법/NNG+성/XSN+이/JKS
있는지	있/VV+는지/EF
검토하기로	검토/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.386.6.2
카카오택시가 초기엔 택시 운전사들에게 콜비를 받지 않다가 나중에 시장을 독점한 뒤 수수료를 크게 올릴 수 있다는 지적에 따른 것이다.

카카오택시가	카카오택시/NNP+가/JKS
초기엔	초기/NNG+에/JKB+ㄴ/JX
택시	택시/NNG
운전사들에게	운전사/NNG+들/XSN+에게/JKB
콜비를	콜비/NNG+를/JKO
받지	받/VV+지/EC
않다가	않/VX+다가/EC
나중에	나중/NNG+에/JKB
시장을	시장/NNG+을/JKO
독점한	독점/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
수수료를	수수료/NNG+를/JKO
크게	크/VA+게/EC
올릴	올리/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
지적에	지적/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.386.6.3
정 위원장은 “독점을 하고 가격을 올리면 시장지배적 지위 남용이 될 수 있다”고 말했다.

정	정/NNP
위원장은	위원장/NNG+은/JX
“독점을	“/SS+독점/NNG+을/JKO
하고	하/VV+고/EC
가격을	가격/NNG+을/JKO
올리면	올리/VV+면/EC
시장지배적	시장/NNG+지배/NNG+적/XSN
지위	지위/NNG
남용이	남용/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


