# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.373
metadata : {}


# id : NWRW1800000040.373.1.1
개성공단기업 대표들, 9일 비상회의 열기로

개성공단기업	개성공단/NNP+기업/NNG
대표들,	대표/NNG+들/XSN+,/SP
9일	9/SN+일/NNB
비상회의	비상/NNG+회의/NNG
열기로	열/VV+기/ETN+로/JKB


# id : NWRW1800000040.373.2.1
“폐업이냐 정상화냐 갈림길”

“폐업이냐	“/SS+폐업/NNG+이/VCP+냐/EF
정상화냐	정상/NNG+화/XSN+이/VCP+냐/EF
갈림길”	갈림길/NNG+”/SS


# id : NWRW1800000040.373.3.1
가동을 멈춘 개성공단 입주기업이 급속히 늘어나고 있는 가운데 123개 입주 기업들이 참여하고 있는 개성공단기업협회는 9일 중소기업중앙회에서 전체 기업대표들이 모여 남북 당국과 국민들에게 이번 사태를 원만히 해결하기 위한 노력을 촉구할 예정이다.

가동을	가동/NNG+을/JKO
멈춘	멈추/VV+ㄴ/ETM
개성공단	개성공단/NNP
입주기업이	입주/NNG+기업/NNG+이/JKS
급속히	급속히/MAG
늘어나고	늘어나/VV+고/EC
있는	있/VX+는/ETM
가운데	가운데/NNG
123개	123/SN+개/NNB
입주	입주/NNG
기업들이	기업/NNG+들/XSN+이/JKS
참여하고	참여/NNG+하/XSV+고/EC
개성공단기업협회는	개성공단기업협회/NNP+는/JX
9일	9/SN+일/NNB
중소기업중앙회에서	중소기업/NNG+중앙회/NNG+에서/JKB
전체	전체/NNG
기업대표들이	기업/NNG+대표/NNG+들/XSN+이/JKS
모여	모이/VV+어/EC
남북	남북/NNP
당국과	당국/NNG+과/JC
국민들에게	국민/NNG+들/XSN+에게/JKB
이번	이번/NNG
사태를	사태/NNG+를/JKO
원만히	원만히/MAG
해결하기	해결/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
노력을	노력/NNG+을/JKO
촉구할	촉구/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.373.4.1
기업협회의의 한 관계자는 7일 “이번 주가 생산중단이냐 정상화냐의 갈림길이 될 수밖에 없다는 절박한 인식에 이같이 전체 모임을 열기로 했다”며, 개성공단 기업들이 한 목소리로 “남북당국과 언론, 국민들에게 상생과 협력이라는 개성공단의 정신으로 돌아갈 것을 호소하게 될 것”이라고 말했다.

기업협회의의	기업/NNG+협회/NNG+의/JKG+의/JKG
한	한/MMN
관계자는	관계자/NNG+는/JX
7일	7/SN+일/NNB
“이번	“/SS+이번/NNG
주가	주/NNG+가/JKS
생산중단이냐	생산/NNG+중단/NNG+이/VCP+냐/EF
정상화냐의	정상/NNG+화/XSN+이/VCP+냐/EF+의/JKG
갈림길이	갈림길/NNG+이/JKC
될	되/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다는	없/VA+다는/ETM
절박한	절박하/VA+ㄴ/ETM
인식에	인식/NNG+에/JKB
이같이	이/NP+같이/JKB
전체	전체/NNG
모임을	모임/NNG+을/JKO
열기로	열/VV+기/ETN+로/JKB
했다”며,	하/VV+았/EP+다/EF+”/SS+며/EC+,/SP
개성공단	개성공단/NNP
기업들이	기업/NNG+들/XSN+이/JKS
목소리로	목소리/NNG+로/JKB
“남북당국과	“/SS+남북/NNP+당국/NNG+과/JC
언론,	언론/NNG+,/SP
국민들에게	국민/NNG+들/XSN+에게/JKB
상생과	상생/NNG+과/JC
협력이라는	협력/NNG+이/VCP+라는/ETM
개성공단의	개성공단/NNP+의/JKG
정신으로	정신/NNG+으로/JKB
돌아갈	돌아가/VV+ㄹ/ETM
것을	것/NNB+을/JKO
호소하게	호소/NNG+하/XSV+게/EC
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.373.5.1
북한의 개성공단 통행 제한 닷새째인 7일 원·부자재 공급 중단 등으로 가동을 중단한 입주기업은 모두 13개로 늘어난 것으로 전해졌다.

북한의	북한/NNP+의/JKG
개성공단	개성공단/NNP
통행	통행/NNG
제한	제한/NNG
닷새째인	닷새/NNG+째/XSN+이/VCP+ㄴ/ETM
7일	7/SN+일/NNB
원·부자재	원·부자재/NNG
공급	공급/NNG
중단	중단/NNG
등으로	등/NNB+으로/JKB
가동을	가동/NNG+을/JKO
중단한	중단/NNG+하/XSV+ㄴ/ETM
입주기업은	입주/NNG+기업/NNG+은/JX
모두	모두/MAG
13개로	13/SN+개/NNB+로/JKB
늘어난	늘어나/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000040.373.6.1
