# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.206
metadata : {}


# id : NWRW1800000033.206.1.1
좀도둑에 2억 뜯은 보안요원… 그 뒤엔 홈플러스

좀도둑에	좀도둑/NNG+에/JKB
2억	2/SN+억/NR
뜯은	뜯/VV+은/ETM
보안요원…	보안/NNG+요원/NNG+…/SE
그	그/MMD
뒤엔	뒤/NNG+에/JKB+ㄴ/JX
홈플러스	홈플러스/NNP


# id : NWRW1800000033.206.2.1
지난해 10월 주부 이모 씨(35)는 대형마트에서 계산하지 않은 쥐포 한 봉지를 가방에 넣고 나오다 보안요원에게 적발됐다.

지난해	지난해/NNG
10월	10/SN+월/NNB
주부	주부/NNG
이모	이/NNP+모/NP
씨(35)는	씨/NNB+(/SS+35/SN+)/SS+는/JX
대형마트에서	대형/NNG+마트/NNG+에서/JKB
계산하지	계산/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
쥐포	쥐포/NNG
한	한/MMN
봉지를	봉지/NNG+를/JKO
가방에	가방/NNG+에/JKB
넣고	넣/VV+고/EC
나오다	나오/VV+다/EC
보안요원에게	보안/NNG+요원/NNG+에게/JKB
적발됐다.	적발/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.206.2.2
이 씨를 1시간 넘게 보안팀 사무실에 감금한 보안요원 2명은 “이전에 훔친 물건까지 말하지 않으면 경찰에 신고하고 가족에게 알리겠다.

이	이/NNP
씨를	씨/NNB+를/JKO
1시간	1/SN+시간/NNB
넘게	넘/VV+게/EC
보안팀	보안/NNG+팀/NNG
사무실에	사무실/NNG+에/JKB
감금한	감금/NNG+하/XSV+ㄴ/ETM
보안요원	보안/NNG+요원/NNG
2명은	2/SN+명/NNB+은/JX
“이전에	“/SS+이전/NNG+에/JKB
훔친	훔치/VV+ㄴ/ETM
물건까지	물건/NNG+까지/JX
말하지	말/NNG+하/XSV+지/EC
않으면	않/VX+으면/EC
경찰에	경찰/NNG+에/JKB
신고하고	신고/NNG+하/XSV+고/EC
가족에게	가족/NNG+에게/JKB
알리겠다.	알리/VV+겠/EP+다/EF+./SF


# id : NWRW1800000033.206.2.3
전과가 생기고 구속될 수 있다”고 협박했다.

전과가	전과/NNG+가/JKS
생기고	생기/VV+고/EC
구속될	구속/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
협박했다.	협박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.206.2.4
포인트카드를 통해 이 씨가 그때까지 약 300번 다녀간 사실을 알아낸 보안요원들은 1만 원짜리 쥐포를 훔친 대가로 300만 원을 요구했다.

포인트카드를	포인트/NNG+카드/NNG+를/JKO
통해	통하/VV+아/EC
이	이/NNP
씨가	씨/NNB+가/JKS
그때까지	그때/NNG+까지/JX
약	약/MMA
300번	300/SN+번/NNB
다녀간	다녀가/VV+ㄴ/ETM
사실을	사실/NNG+을/JKO
알아낸	알아내/VV+ㄴ/ETM
보안요원들은	보안/NNG+요원/NNG+들/XSN+은/JX
1만	1/SN+만/NR
원짜리	원/NNB+짜리/XSN
쥐포를	쥐포/NNG+를/JKO
훔친	훔치/VV+ㄴ/ETM
대가로	대가/NNG+로/JKB
300만	300/SN+만/NR
원을	원/NNB+을/JKO
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.206.2.5
약점을 잡힌 이 씨는 300배를 뜯길 수밖에 없었다.

약점을	약점/NNG+을/JKO
잡힌	잡히/VV+ㄴ/ETM
이	이/NNP
씨는	씨/NNB+는/JX
300배를	300/SN+배/NNG+를/JKO
뜯길	뜯기/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000033.206.3.1
영국계 글로벌 유통회사인 테스코가 100% 지분을 가진 홈플러스 서울 금천구 시흥점에서 일어난 일이다.

영국계	영국/NNP+계/XSN
글로벌	글로벌/NNG
유통회사인	유통/NNG+회사/NNG+이/VCP+ㄴ/ETM
테스코가	테스코/NNP+가/JKS
100%	100/SN+%/SW
지분을	지분/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
홈플러스	홈플러스/NNP
서울	서울/NNP
금천구	금천구/NNP
시흥점에서	시흥점/NNG+에서/JKB
일어난	일어나/VV+ㄴ/ETM
일이다.	일/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.206.3.2
홈플러스의 이승한 회장(66)은 기업의 사회적 책임에 대한 국제협약인 ‘유엔글로벌콤팩트(UNGC)’의 한국협회장을 맡고 있다.

홈플러스의	홈플러스/NNP+의/JKG
이승한	이승한/NNP
