# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.75
metadata : {}


# id : NWRW1800000030.75.1.1
[뉴욕 휘트니미술관展] "새로운 생각·시선이 예술 되네요" 슈퍼주니어도 美현대미술에 흠뻑

[뉴욕	[/SS+뉴욕/NNP
휘트니미술관展]	휘트니미술관/NNP+展/SH+]/SS
"새로운	"/SS+새롭/VA+ㄴ/ETM
생각·시선이	생각/NNG+·/SP+시선/NNG+이/JKS
예술	예술/NNG
되네요"	되/VV+네/EF+요/JX+"/SS
슈퍼주니어도	슈퍼주니어/NNP+도/JX
美현대미술에	美/SH+현대/NNG+미술/NNG+에/JKB
흠뻑	흠뻑/MAG


# id : NWRW1800000030.75.2.1
"난 이 그림이 참 좋아.

"난	"/SS+나/NP+ㄴ/JX
이	이/MMD
그림이	그림/NNG+이/JKS
참	참/MAG
좋아.	좋/VA+아/EF+./SF


# id : NWRW1800000030.75.2.2
외롭고 쓸쓸하면서도 색감은 예쁘잖아.

외롭고	외롭/VA+고/EC
쓸쓸하면서도	쓸쓸하/VA+면서/EC+도/JX
색감은	색감/NNG+은/JX
예쁘잖아.	예쁘/VA+잖아/EF+./SF


# id : NWRW1800000030.75.2.3
이런 느낌의 사진을 찍고 싶어."(성민)

이런	이런/MMD
느낌의	느낌/NNG+의/JKG
사진을	사진/NNG+을/JKO
찍고	찍/VV+고/EC
싶어."(성민)	싶/VX+어/EF+./SF+"/SS+(/SS+성민/NNP+)/SS


# id : NWRW1800000030.75.3.1
"나는 친구들과 한참 놀고 있다가 해질 때만 되면 집에 돌아가야 했던 어릴 때 기억이 떠올라서 슬픈데…."(려욱)

"나는	"/SS+나/NP+는/JX
친구들과	친구/NNG+들/XSN+과/JKB
한참	한참/MAG
놀고	놀/VV+고/EC
있다가	있/VX+다가/EC
해질	해/NNG+지/VV+ㄹ/ETM
때만	때/NNG+만/JX
되면	되/VV+면/EC
집에	집/NNG+에/JKB
돌아가야	돌아가/VV+아야/EC
했던	하/VX+았/EP+던/ETM
어릴	어리/VA+ㄹ/ETM
때	때/NNG
기억이	기억/NNG+이/JKS
떠올라서	떠오르/VV+아서/EC
슬픈데…."(려욱)	슬프/VA+ㄴ데/EF+…/SE+./SF+"/SS+(/SS+려욱/NNP+)/SS


# id : NWRW1800000030.75.4.1
"난 우울한 건 싫어.

"난	"/SS+나/NP+ㄴ/JX
우울한	우울/NNG+하/XSA+ㄴ/ETM
건	거/NNB+ㄴ/JX
싫어.	싫/VA+어/EF+./SF


# id : NWRW1800000030.75.4.2
그림 속에서 물결치는 건 뭐야?

그림	그림/NNG
속에서	속/NNG+에서/JKB
물결치는	물결치/VV+는/ETM
건	거/NNB+ㄴ/JX
뭐야?	뭐/NP+이/VCP+야/EF+?/SF


# id : NWRW1800000030.75.4.3
아, 파도인 줄 알았더니 산이구나!"(신동)

아,	아/IC+,/SP
파도인	파도/NNG+이/VCP+ㄴ/ETM
줄	줄/NNB
알았더니	알/VV+았/EP+더니/EC
산이구나!"(신동)	산/NNG+이/VCP+구나/EF+!/SF+"/SS+(/SS+신동/NNP+)/SS


# id : NWRW1800000030.75.5.1
노을 지는 기차역을 그린 에드워드 호퍼의 1929년 작 '해질녘의 철로' 앞에서 청년 세 명이 멈춰섰다.

노을	노을/NNG
지는	지/VV+는/ETM
기차역을	기차역/NNG+을/JKO
그린	그리/VV+ㄴ/ETM
에드워드	에드워드/NNP
호퍼의	호퍼/NNP+의/JKG
1929년	1929/SN+년/NNB
작	작/NNG
'해질녘의	'/SS+해질녘/NNG+의/JKG
철로'	철로/NNG+'/SS
앞에서	앞/NNG+에서/JKB
청년	청년/NNG
세	세/MMN
명이	명/NNB+이/JKS
멈춰섰다.	멈추/VV+어/EC+서/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.75.5.2
