# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.353
metadata : {}


# id : NWRW1800000028.353.1.1
구글, 스마트폰 시장에서 /‘표현자유 정책’ 물러서나

구글,	구글/NNP+,/SP
스마트폰	스마트폰/NNG
시장에서	시장/NNG+에서/JKB
/‘표현자유	//SP+‘/SS+표현/NNG+자유/NNG
정책’	정책/NNG+’/SS
물러서나	물러서/VV+나/EF


# id : NWRW1800000028.353.2.1
구글이 스마트폰 시장에서의 경쟁력을 강화하기 위해 기존의 ‘자율 우선’ 원칙에 본격 손을 댈 것인지에 관심이 쏠리고 있다.

구글이	구글/NNP+이/JKS
스마트폰	스마트폰/NNG
시장에서의	시장/NNG+에서/JKB+의/JKG
경쟁력을	경쟁력/NNG+을/JKO
강화하기	강화/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
기존의	기존/NNG+의/JKG
‘자율	‘/SS+자율/NNG
우선’	우선/NNG+’/SS
원칙에	원칙/NNG+에/JKB
본격	본격/NNG
손을	손/NNG+을/JKO
댈	대/VV+ㄹ/ETM
것인지에	것/NNB+이/VCP+ㄴ지/EF+에/JKB
관심이	관심/NNG+이/JKS
쏠리고	쏠리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.353.3.1
11일 구글코리아는 현재 운영중인 안드로이드마켓의 콘텐츠 모니터링 자율규제 인력을 더욱 확대할 방침이라고 밝혔다.

11일	11/SN+일/NNB
구글코리아는	구글코리아/NNP+는/JX
현재	현재/MAG
운영중인	운영/NNG+중/NNB+이/VCP+ㄴ/ETM
안드로이드마켓의	안드로이드/NNG+마켓/NNG+의/JKG
콘텐츠	콘텐츠/NNG
모니터링	모니터링/NNG
자율규제	자율/NNG+규제/NNG
인력을	인력/NNG+을/JKO
더욱	더욱/MAG
확대할	확대/NNG+하/XSV+ㄹ/ETM
방침이라고	방침/NNG+이/VCP+라고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.353.3.2
이는 국내 방송통신위원회 심의규정과 관련 청소년 보호조처를 강화하겠다는 뜻으로 읽혀, 구글의 ‘글로벌 공통’ 정책에 변화가 있는지 눈길을 끈다.

이는	이/NP+는/JX
국내	국내/NNG
