# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.218
metadata : {}


# id : NWRW1800000037.218.1.1
한국인 학교 졸업후 공부 안한다

한국인	한국인/NNG
학교	학교/NNG
졸업후	졸업/NNG+후/NNG
공부	공부/NNG
안한다	안/MAG+하/VV+ㄴ다/EF


# id : NWRW1800000037.218.2.1
■ OECD ‘국제 성인역량 조사’ 발표 수리력-컴퓨터활용 문제해결력 OECD국가 평균보다 낮아 16∼24세 청년층은 최상위권

■	■/SW
OECD	OECD/SL
‘국제	‘/SS+국제/NNG
성인역량	성인/NNG+역량/NNG
조사’	조사/NNG+’/SS
발표	발표/NNG
수리력-컴퓨터활용	수리력/NNG+-/SO+컴퓨터/NNG+활용/NNG
문제해결력	문제/NNG+해결력/NNG
OECD국가	OECD/SL+국가/NNG
평균보다	평균/NNG+보다/JKB
낮아	낮/VA+아/EC
16∼24세	16/SN+∼/SO+24/SN+세/NNB
청년층은	청년/NNG+층/XSN+은/JX
최상위권	최/XPN+상위/NNG+권/XSN


# id : NWRW1800000037.218.3.1
한국 성인의 수리력과 컴퓨터 기반 문제해결력은 경제협력개발기구(OECD) 국가 평균보다 낮은 반면 한국 청년층은 최상위권에 들어 연령 간 편차가 심한 것으로 드러났다.

한국	한국/NNP
성인의	성인/NNG+의/JKG
수리력과	수리력/NNG+과/JC
컴퓨터	컴퓨터/NNG
기반	기반/NNG
문제해결력은	문제/NNG+해결력/NNG+은/JX
경제협력개발기구(OECD)	경제협력개발기구/NNP+(/SS+OECD/SL+)/SS
국가	국가/NNG
평균보다	평균/NNG+보다/JKB
낮은	낮/VA+은/ETM
반면	반면/NNG
청년층은	청년/NNG+층/XSN+은/JX
최상위권에	최/XPN+상위/NNG+권/XSN+에/JKB
들어	들/VV+어/EC
연령	연령/NNG
간	간/NNB
편차가	편차/NNG+가/JKS
심한	심하/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.218.3.2
전문가들은 한국 고교생과 대학생은 관련 공부를 열심히 하는 반면에 성인은 학교만 졸업하면 공부를 하지 않는 것으로 풀이했다.

전문가들은	전문가/NNG+들/XSN+은/JX
한국	한국/NNP
고교생과	고교/NNG+생/XSN+과/JC
대학생은	대학/NNG+생/XSN+은/JX
관련	관련/NNG
공부를	공부/NNG+를/JKO
열심히	열심히/MAG
하는	하/VV+는/ETM
반면에	반면/NNG+에/JKB
성인은	성인/NNG+은/JX
학교만	학교/NNG+만/JX
졸업하면	졸업/NNG+하/XSV+면/EC
하지	하/VV+지/EC
않는	않/VX+는/ETM
것으로	것/NNB+으로/JKB
풀이했다.	풀이/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.218.4.1
OECD는 이러한 내용의 2013년 국제 성인역량 조사(PIAAC) 결과를 8일 발표했다.

OECD는	OECD/SL+는/JX
이러한	이러하/VA+ㄴ/ETM
내용의	내용/NNG+의/JKG
2013년	2013/SN+년/NNB
국제	국제/NNG
성인역량	성인/NNG+역량/NNG
조사(PIAAC)	조사/NNG+(/SS+PIAAC/SL+)/SS
결과를	결과/NNG+를/JKO
8일	8/SN+일/NNB
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.218.4.2
PIAAC는 미국 일본 독일 등 24개국 16∼65세 성인 15만7000명을 대상으로 언어능력, 수리력, 컴퓨터 기반 문제해결력을 비교한다.

PIAAC는	PIAAC/SL+는/JX
미국	미국/NNP
일본	일본/NNP
독일	독일/NNP
등	등/NNB
24개국	24/SN+개국/NNB
16∼65세	16/SN+∼/SO+65/SN+세/NNB
성인	성인/NNG
15만7000명을	15/SN+만/NR+7000/SN+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
언어능력,	언어/NNG+능력/NNG+,/SP
수리력,	수리력/NNG+,/SP
컴퓨터	컴퓨터/NNG
기반	기반/NNG
문제해결력을	문제/NNG+해결력/NNG+을/JKO
비교한다.	비교/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.218.4.3
한국은 성인 6667명이 조사 대상이었다.

한국은	한국/NNP+은/JX
성인	성인/NNG
6667명이	6667/SN+명/NNB+이/JKS
조사	조사/NNG
대상이었다.	대상/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.218.5.1
한국 성인의 언어능력은 OECD 평균(273점)과 같았다.

한국	한국/NNP
성인의	성인/NNG+의/JKG
언어능력은	언어/NNG+능력/NNG+은/JX
OECD	OECD/SL
평균(273점)과	평균/NNG+(/SS+273/SN+점/NNB+)/SS+과/JKB
같았다.	같/VA+았/EP+다/EF+./SF


# id : NWRW1800000037.218.5.2
캐나다 체코 슬로바키아 영국과 비슷한 수준이다.

캐나다	캐나다/NNP
체코	체코/NNP
슬로바키아	슬로바키아/NNP
영국과	영국/NNP+과/JKB
비슷한	비슷하/VA+ㄴ/ETM
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.218.5.3
반면 수리력은 OECD 평균 269점보다 6점 낮은 263점으로 1위인 일본(288점)보다 25점 낮았다.

반면	반면/NNG
수리력은	수리력/NNG+은/JX
OECD	OECD/SL
평균	평균/NNG
269점보다	269/SN+점/NNB+보다/JKB
6점	6/SN+점/NNB
낮은	낮/VA+은/ETM
263점으로	263/SN+점/NNB+으로/JKB
1위인	1/SN+위/NNB+이/VCP+ㄴ/ETM
