# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.229
metadata : {}


# id : NWRW1800000037.229.1.1
‘메시의 전설’ 또 하나 보태나

‘메시의	‘/SS+메시/NNP+의/JKG
전설’	전설/NNG+’/SS
또	또/MAG
하나	하나/NR
보태나	보태/VV+나/EF


# id : NWRW1800000037.229.2.1
‘FIFA 발롱도르’ 4연속 수상 유력

‘FIFA	‘/SS+FIFA/SL
발롱도르’	발롱도르/NNG+’/SS
4연속	4/SN+연속/NNG
수상	수상/NNG
유력	유력/NNG


# id : NWRW1800000037.229.3.1
미셸 플라티니 현 유럽축구연맹(UEFA) 회장(58·프랑스)이 3회 연속(1983∼1985) 발롱도르(올해의 선수상)를 수상했을 당시 서른 살이었다.

미셸	미셸/NNP
플라티니	플라티니/NNP
현	현/MMD
유럽축구연맹(UEFA)	유럽축구연맹/NNP+(/SS+UEFA/SL+)/SS
회장(58·프랑스)이	회장/NNG+(/SS+58/SN+·/SP+프랑스/NNP+)/SS+이/JKS
3회	3/SN+회/NNB
연속(1983∼1985)	연속/NNG+(/SS+1983/SN+∼/SO+1985/SN+)/SS
발롱도르(올해의	발롱도르/NNG+(/SS+올해/NNG+의/JKG
선수상)를	선수상/NNG+)/SS+를/JKO
수상했을	수상/NNG+하/XSV+았/EP+을/ETM
당시	당시/NNG
서른	서른/NR
살이었다.	살/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.229.3.2
2013년 플라티니를 넘어서려는 스물여섯 살의 청년이 있다.

2013년	2013/SN+년/NNB
플라티니를	플라티니/NNP+를/JKO
넘어서려는	넘어서/VV+려는/ETM
스물여섯	스물여섯/NR
살의	살/NNB+의/JKG
청년이	청년/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.229.3.3
성장호르몬 결핍으로 여덟 살 때부터 매일 밤 다리에 성장호르몬 주사를 맞는 아픔을 극복하고 세계 최고의 축구 선수가 된 리오넬 메시(아르헨티나·사진)가 그 주인공이다.

성장호르몬	성장/NNG+호르몬/NNG
결핍으로	결핍/NNG+으로/JKB
여덟	여덟/NR
살	살/NNB
때부터	때/NNG+부터/JX
매일	매일/MAG
밤	밤/NNG
다리에	다리/NNG+에/JKB
주사를	주사/NNG+를/JKO
맞는	맞/VV+는/ETM
아픔을	아픔/NNG+을/JKO
극복하고	극복/NNG+하/XSV+고/EC
세계	세계/NNG
최고의	최고/NNG+의/JKG
축구	축구/NNG
선수가	선수/NNG+가/JKC
된	되/VV+ㄴ/ETM
리오넬	리오넬/NNP
메시(아르헨티나·사진)가	메시/NNP+(/SS+아르헨티나/NNP+·/SP+사진/NNG+)/SS+가/JKS
그	그/MMD
주인공이다.	주인공/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.229.4.1
현재 메시는 2009∼2011년 3회 연속으로 발롱도르를 수상해 플라티니와 어깨를 나란히 하고 있다.

현재	현재/MAG
메시는	메시/NNP+는/JX
2009∼2011년	2009/SN+∼/SO+2011/SN+년/NNB
3회	3/SN+회/NNB
연속으로	연속/NNG+으로/JKB
발롱도르를	발롱도르/NNG+를/JKO
수상해	수상/NNG+하/XSV+아/EC
플라티니와	플라티니/NNP+와/JKB
어깨를	어깨/NNG+를/JKO
나란히	나란히/MAG
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.229.4.2
