# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.368
metadata : {}


# id : NWRW1800000038.368.1.1
'改憲 연구 기구' 만든다며 국회 규정 무시한 새누리·민주당

'改憲	'/SS+改憲/SH
연구	연구/NNG
기구'	기구/NNG+'/SS
만든다며	만들/VV+ㄴ다며/EC
국회	국회/NNG
규정	규정/NNG
무시한	무시/NNG+하/XSV+ㄴ/ETM
새누리·민주당	새누리/NNP+·/SP+민주당/NNP


# id : NWRW1800000038.368.2.1
"의장 직속 기구로 15일 출범" 현역의원 등 24명 명단 발표

"의장	"/SS+의장/NNG
직속	직속/NNG
기구로	기구/NNG+로/JKB
15일	15/SN+일/NNB
출범"	출범/NNG+"/SS
현역의원	현역/NNG+의원/NNG
등	등/NNB
24명	24/SN+명/NNB
명단	명단/NNG
발표	발표/NNG


# id : NWRW1800000038.368.3.1
여야는 13일 "국회의원 20명을 포함한 '헌법개정연구회'를 국회의장 직속 자문 기구로 오는 15일 출범시키겠다"고 발표했다.

여야는	여야/NNG+는/JX
13일	13/SN+일/NNB
"국회의원	"/SS+국회/NNG+의원/NNG
20명을	20/SN+명/NNB+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
'헌법개정연구회'를	'/SS+헌법/NNG+개정/NNG+연구회/NNG+'/SS+를/JKO
국회의장	국회/NNG+의장/NNG
직속	직속/NNG
자문	자문/NNG
기구로	기구/NNG+로/JKB
오는	오/VV+는/ETM
15일	15/SN+일/NNB
출범시키겠다"고	출범/NNG+시키/XSV+겠/EP+다/EF+"/SS+고/JKQ
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.368.3.2
그러나 이는 현직 의원이 국회의장 자문 기구에 참여할 수 없도록 하고 있는 현행 국회 규정을 무시한 것이어서 논란이 일고 있다.

그러나	그러나/MAJ
이는	이/NP+는/JX
현직	현직/NNG
의원이	의원/NNG+이/JKS
국회의장	국회/NNG+의장/NNG
자문	자문/NNG
기구에	기구/NNG+에/JKB
참여할	참여/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없도록	없/VA+도록/EC
하고	하/VX+고/EC
있는	있/VX+는/ETM
현행	현행/NNG
국회	국회/NNG
규정을	규정/NNG+을/JKO
무시한	무시/NNG+하/XSV+ㄴ/ETM
것이어서	것/NNB+이/VCP+어서/EC
논란이	논란/NNG+이/JKS
일고	일/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.368.4.1
새누리당 신의진, 민주당 이언주 원내 대변인은 이날 공동 브리핑을 갖고 "2년간 운영되는 헌법개정연구회의 공동 회장은 새누리당 이한구 원내대표와 민주당 이상민 의원이 맡기로 했다"며 양당 소속 국회의원 각 10명과 민간 전문가 4명 등 명단 총 24명도 공개했다.

새누리당	새누리당/NNP
신의진,	신의진/NNP+,/SP
민주당	민주당/NNP
이언주	이언주/NNP
원내	원내/NNG
대변인은	대변인/NNG+은/JX
이날	이날/NNG
공동	공동/NNG
브리핑을	브리핑/NNG+을/JKO
갖고	갖/VV+고/EC
"2년간	"/SS+2/SN+년/NNB+간/XSN
운영되는	운영/NNG+되/XSV+는/ETM
헌법개정연구회의	헌법/NNG+개정/NNG+연구회/NNG+의/JKG
회장은	회장/NNG+은/JX
이한구	이한구/NNP
원내대표와	원내/NNG+대표/NNG+와/JC
이상민	이상민/NNP
의원이	의원/NNG+이/JKS
맡기로	맡/VV+기/ETN+로/JKB
했다"며	하/VV+았/EP+다/EF+"/SS+며/EC
양당	양당/NNG
소속	소속/NNG
국회의원	국회/NNG+의원/NNG
각	각/MMD
10명과	10/SN+명/NNB+과/JC
민간	민간/NNG
전문가	전문가/NNG
4명	4/SN+명/NNB
등	등/NNB
명단	명단/NNG
총	총/MMA
24명도	24/SN+명/NNB+도/JX
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.368.5.1
하지만 강창희 국회의장실은 "현행 '국회의장 자문 기구 설치 및 운영에 관한 규정'은 국회의장 자문 기구 위원의 자격을 국회 공무원과 외부 인사로 제한하고 있다"며 "정치적 중립성을 보장하기 위한 이런 규정을 여야 합의만으로 바꿀 수 있는지 검토가 필요하다"는 입장이다.

하지만	하지만/MAJ
강창희	강창희/NNP
국회의장실은	국회/NNG+의장실/NNG+은/JX
"현행	"/SS+현행/NNG
'국회의장	'/SS+국회/NNG+의장/NNG
자문	자문/NNG
기구	기구/NNG
설치	설치/NNG
및	및/MAG
운영에	운영/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
규정'은	규정/NNG+'/SS+은/JX
국회의장	국회/NNG+의장/NNG
위원의	위원/NNG+의/JKG
자격을	자격/NNG+을/JKO
국회	국회/NNG
공무원과	공무원/NNG+과/JC
외부	외부/NNG
