# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.323
metadata : {}


# id : NWRW1800000044.323.1.1
[유레카] 대통령 헬스트레이너 / 박찬수

[유레카]	[/SS+유레카/NNG+]/SS
대통령	대통령/NNG
헬스트레이너	헬스/NNG+트레이너/NNG
/	//SP
박찬수	박찬수/NNP


# id : NWRW1800000044.323.2.1
[한겨레]

[한겨레]	[/SS+한겨레/NNP+]/SS


# id : NWRW1800000044.323.3.1
대통령의 건강 관리는 어느 나라에서나 관심사다.

대통령의	대통령/NNG+의/JKG
건강	건강/NNG
관리는	관리/NNG+는/JX
어느	어느/MMD
나라에서나	나라/NNG+에서/JKB+나/JX
관심사다.	관심사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.323.3.2
대통령의 일거수일투족이 원래 관심의 대상인데다, 건강에 온갖 노력을 쏟는 현대인의 욕구와 맞아떨어지는 측면도 있다.

대통령의	대통령/NNG+의/JKG
일거수일투족이	일거수일투족/NNG+이/JKS
원래	원래/MAG
관심의	관심/NNG+의/JKG
대상인데다,	대상/NNG+이/VCP+ㄴ/ETM+데/NNB+다/JX+,/SP
건강에	건강/NNG+에/JKB
온갖	온갖/MMN
노력을	노력/NNG+을/JKO
쏟는	쏟/VV+는/ETM
현대인의	현대인/NNG+의/JKG
욕구와	욕구/NNG+와/JKB
맞아떨어지는	맞아떨어지/VV+는/ETM
측면도	측면/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000044.323.4.1
버락 오바마 미국 대통령이 백악관에 입성한 뒤 퍼스트레이디 미셸 오바마의 근육이 화제가 됐다.

버락	버락/NNP
오바마	오바마/NNP
미국	미국/NNP
대통령이	대통령/NNG+이/JKS
백악관에	백악관/NNP+에/JKB
입성한	입성/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
퍼스트레이디	퍼스트레이디/NNG
미셸	미셸/NNP
오바마의	오바마/NNP+의/JKG
근육이	근육/NNG+이/JKS
화제가	화제/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.323.4.2
이전의 퍼스트레이디들과 달리, 미셸은 어깨가 훤히 드러난 민소매 드레스를 즐겨 입었다.

이전의	이전/NNG+의/JKG
퍼스트레이디들과	퍼스트레이디/NNG+들/XSN+과/JKB
달리,	달리/MAG+,/SP
미셸은	미셸/NNP+은/JX
어깨가	어깨/NNG+가/JKS
훤히	훤히/MAG
드러난	드러나/VV+ㄴ/ETM
민소매	민소매/NNG
드레스를	드레스/NNG+를/JKO
즐겨	즐기/VV+어/EC
입었다.	입/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.323.4.3
<뉴욕 타임스>가 ‘이젠 미셸의 이두박근을 가릴 때가 됐다’는 칼럼을 실을 정도로 그의 잘 단련된 이두박근은 관심을 끌었다.

<뉴욕	</SS+뉴욕/NNP
타임스>가	타임스/NNP+>/SS+가/JKS
‘이젠	‘/SS+이제/NNG+ㄴ/JX
미셸의	미셸/NNP+의/JKG
이두박근을	이두박근/NNG+을/JKO
가릴	가리/VV+ㄹ/ETM
때가	때/NNG+가/JKC
됐다’는	되/VV+었/EP+다/EF+’/SS+는/ETM
칼럼을	칼럼/NNG+을/JKO
실을	싣/VV+을/ETM
정도로	정도/NNG+로/JKB
그의	그/NP+의/JKG
잘	잘/MAG
단련된	단련/NNG+되/XSV+ㄴ/ETM
이두박근은	이두박근/NNG+은/JX
관심을	관심/NNG+을/JKO
끌었다.	끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.323.4.4
‘저 이두박근은 어떻게 만들어졌을까.’

‘저	‘/SS+저/MMD
이두박근은	이두박근/NNG+은/JX
어떻게	어떻/VA+게/EC
