# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.5
metadata : {}


# id : NWRW1800000037.5.1.1
차이나머니, 국내 패션업계 이어 호텔까지 접수

차이나머니,	차이나머니/NNP+,/SP
국내	국내/NNG
패션업계	패션업/NNG+계/XSN
이어	잇/VV+어/EC
호텔까지	호텔/NNG+까지/JX
접수	접수/NNG


# id : NWRW1800000037.5.2.1
감정가 518억 인천 하버파크 中투자자가 인수협상 나서 국제여객터미널과 가까워 中관광객-보따리상 주로 이용

감정가	감정/NNG+가/XSN
518억	518/SN+억/NR
인천	인천/NNP
하버파크	하버파크/NNP
中투자자가	中/SH+투자자/NNG+가/JKS
인수협상	인수/NNG+협상/NNG
나서	나서/VV+어/EC
국제여객터미널과	국제/NNG+여객/NNG+터미널/NNG+과/JKB
가까워	가깝/VA+어/EC
中관광객-보따리상	中/SH+관광객/NNG+-/SO+보따리상/NNG
주로	주로/MAG
이용	이용/NNG


# id : NWRW1800000037.5.3.1
패션에 이어 한국 호텔업계에도 ‘차이나 머니’가 들어온다.

패션에	패션/NNG+에/JKB
이어	잇/VV+어/EC
한국	한국/NNP
호텔업계에도	호텔업/NNG+계/XSN+에/JKB+도/JX
‘차이나	‘/SS+차이나/NNP
머니’가	머니/NNG+’/SS+가/JKS
들어온다.	들어오/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.5.4.1
22일 호텔업계에 따르면 최근 인천도시공사가 매각하려던 인천 중구 향동의 하버파크호텔을 한 중국 업체가 인수할 예정이며, 현재 마무리 절차가 진행되고 있다.

22일	22/SN+일/NNB
호텔업계에	호텔업/NNG+계/XSN+에/JKB
따르면	따르/VV+면/EC
최근	최근/MAG
인천도시공사가	인천도시공사/NNP+가/JKS
매각하려던	매각/NNG+하/XSV+려던/ETM
인천	인천/NNP
중구	중구/NNP
향동의	향동/NNP+의/JKG
하버파크호텔을	하버파크호텔/NNP+을/JKO
한	한/MMN
중국	중국/NNP
업체가	업체/NNG+가/JKS
인수할	인수/NNG+하/XSV+ㄹ/ETM
예정이며,	예정/NNG+이/VCP+며/EC+,/SP
현재	현재/MAG
마무리	마무리/NNG
절차가	절차/NNG+가/JKS
진행되고	진행/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.5.4.2
한국 호텔이 중국 자본에 인수되는 것은 이번이 처음이다.

한국	한국/NNP
호텔이	호텔/NNG+이/JKS
중국	중국/NNP
자본에	자본/NNG+에/JKB
인수되는	인수/NNG+되/XSV+는/ETM
것은	것/NNB+은/JX
이번이	이번/NNG+이/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.5.5.1
인천도시공사 관계자는 “중국 쪽 투자자와의 인수 협상이 상당히 진척된 걸로 알고 있다”며 “중국 업체는 이 호텔을 소유하기만 하고 운영은 국내 업체에 위탁할 가능성이 크다”고 전했다.

인천도시공사	인천도시공사/NNP
관계자는	관계자/NNG+는/JX
“중국	“/SS+중국/NNP
쪽	쪽/NNB
투자자와의	투자자/NNG+와/JKB+의/JKG
인수	인수/NNG
협상이	협상/NNG+이/JKS
상당히	상당히/MAG
진척된	진척/NNG+되/XSV+ㄴ/ETM
걸로	거/NNB+ㄹ로/JKB
알고	알/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
업체는	업체/NNG+는/JX
이	이/MMD
호텔을	호텔/NNG+을/JKO
소유하기만	소유/NNG+하/XSV+기/ETN+만/JX
하고	하/VX+고/EC
운영은	운영/NNG+은/JX
국내	국내/NNG
업체에	업체/NNG+에/JKB
위탁할	위탁/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다”고	크/VA+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.5.5.2
현재 하버파크호텔의 감정가는 518억 원에 이르는 것으로 알려졌다.

현재	현재/MAG
하버파크호텔의	하버파크호텔/NNP+의/JKG
감정가는	감정/NNG+가/XSN+는/JX
518억	518/SN+억/NR
원에	원/NNB+에/JKB
이르는	이르/VV+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.5.6.1
2009년 7월 문을 연 이 호텔은 특2급 비즈니스호텔로 객실 213개를 갖추고 있다.

2009년	2009/SN+년/NNB
7월	7/SN+월/NNB
문을	문/NNG+을/JKO
연	열/VV+ㄴ/ETM
이	이/MMD
호텔은	호텔/NNG+은/JX
특2급	특/NA+2/SN+급/NNG
비즈니스호텔로	비즈니스호텔/NNG+로/JKB
객실	객실/NNG
213개를	213/SN+개/NNB+를/JKO
갖추고	갖추/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.5.6.2
인천항 국제여객터미널과 가까워 주로 중국인 관광객과 ‘보따리상’으로 불리는 국내 소무역상들이 이용해 왔다.

인천항	인천항/NNP
국제여객터미널과	국제/NNG+여객/NNG+터미널/NNG+과/JKB
가까워	가깝/VA+어/EC
주로	주로/MAG
중국인	중국인/NNG
관광객과	관광객/NNG+과/JC
‘보따리상’으로	‘/SS+보따리상/NNG+’/SS+으로/JKB
불리는	불리/VV+는/ETM
국내	국내/NNG
소무역상들이	소/XPN+무역상/NNG+들/XSN+이/JKS
이용해	이용/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.5.6.3
바로 옆에 차이나타운이 있다.

바로	바로/MAG
옆에	옆/NNG+에/JKB
차이나타운이	차이나타운/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.5.7.1
하버파크호텔에 대한 중국 투자자들의 관심이 높아진 것은 중국과 인천항을 오가는 정기 크루즈선의 운항(올해 5월 예정)이 발표되면서부터다.

