# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.8
metadata : {}


# id : NWRW1800000024.8.1.1
엘지, 이번엔 ‘상업용 에어컨’ 바람몰이

엘지,	엘지/NNP+,/SP
이번엔	이번/NNG+에/JKB+ㄴ/JX
‘상업용	‘/SS+상업/NNG+용/XSN
에어컨’	에어컨/NNG+’/SS
바람몰이	바람몰이/NNG


# id : NWRW1800000024.8.2.1
전자업체들이 한때 ‘사양산업론’이 제기됐던 백색가전의 중요성에 다시 눈을 뜨고 있다.

전자업체들이	전자업체/NNG+들/XSN+이/JKS
한때	한때/MAG
‘사양산업론’이	‘/SS+사양/NNG+산업/NNG+론/XSN+’/SS+이/JKS
제기됐던	제기/NNG+되/XSV+었/EP+던/ETM
백색가전의	백색/NNG+가전/NNG+의/JKG
중요성에	중요/NNG+성/XSN+에/JKB
다시	다시/MAG
눈을	눈/NNG+을/JKO
뜨고	뜨/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.8.2.2
엘지전자는 9년째 1위를 유지하고 있는 세계 가정용 에어컨에 이어 부가가치가 높은 상업용 에어컨 시장에 도전장을 내밀었다.

엘지전자는	엘지전자/NNP+는/JX
9년째	9/SN+년/NNB+째/XSN
1위를	1/SN+위/NNB+를/JKO
유지하고	유지/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
세계	세계/NNG
가정용	가정/NNG+용/XSN
에어컨에	에어컨/NNG+에/JKB
이어	잇/VV+어/EC
부가가치가	부가/NNG+가치/NNG+가/JKS
높은	높/VA+은/ETM
상업용	상업/NNG+용/XSN
에어컨	에어컨/NNG
시장에	시장/NNG+에/JKB
도전장을	도전장/NNG+을/JKO
내밀었다.	내밀/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.8.2.3
삼성전자도 글로벌 프리미엄 가전제품 전략을 강화하고 있다.

삼성전자도	삼성전자/NNP+도/JX
글로벌	글로벌/NNG
프리미엄	프리미엄/NNG
가전제품	가전제품/NNG
전략을	전략/NNG+을/JKO
강화하고	강화/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.8.3.1
엘지전자는 6일 서울 밀레니엄 힐튼호텔에서 ‘2009 휘센 신제품 발표회’를 열었다.

