# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.361
metadata : {}


# id : NWRW1800000038.361.1.1
YS, 폐렴으로 서울대병원 중환자실에

YS,	YS/SL+,/SP
폐렴으로	폐렴/NNG+으로/JKB
서울대병원	서울대병원/NNP
중환자실에	중환자실/NNG+에/JKB


# id : NWRW1800000038.361.2.1
의식 또렷, 위중상태 아닌 듯

의식	의식/NNG
또렷,	또렷/XR+,/SP
위중상태	위중/XR+상태/NNG
아닌	아니/VCN+ㄴ/ETM
듯	듯/NNB


# id : NWRW1800000038.361.3.1
지난 5일 감기 증세로 서울대병원에 입원한 김영삼(86·사진) 전 대통령이 중환자실에서 집중 치료를 받고 있는 것으로 알려졌다.

지난	지나/VV+ㄴ/ETM
5일	5/SN+일/NNB
감기	감기/NNG
증세로	증세/NNG+로/JKB
서울대병원에	서울대병원/NNP+에/JKB
입원한	입원/NNG+하/XSV+ㄴ/ETM
김영삼(86·사진)	김영삼/NNP+(/SS+86/SN+·/SP+사진/NNG+)/SS
전	전/MMD
대통령이	대통령/NNG+이/JKS
중환자실에서	중환자실/NNG+에서/JKB
집중	집중/NNG
치료를	치료/NNG+를/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.361.4.1
김 전 대통령의 김기수 비서실장은 14일 본지와 통화해 "(김 전 대통령이) 폐렴에 걸렸고 지난 11일 염증 수치가 너무 올라가 중환자실로 옮겨 집중 치료를 계속 받고 있다"며 "맑은 공기를 공급하는 장치를 입과 코에 연결해 말을 하기 어렵다"고 말했다.

김	김/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
김기수	김기수/NNP
비서실장은	비서실장/NNG+은/JX
14일	14/SN+일/NNB
본지와	본지/NNG+와/JKB
통화해	통화/NNG+하/XSV+아/EC
"(김	"/SS+(/SS+김/NNP
대통령이)	대통령/NNG+이/JKS+)/SS
폐렴에	폐렴/NNG+에/JKB
걸렸고	걸리/VV+었/EP+고/EC
지난	지나/VV+ㄴ/ETM
11일	11/SN+일/NNB
염증	염증/NNG
수치가	수치/NNG+가/JKS
너무	너무/MAG
올라가	올라가/VV+아/EC
중환자실로	중환자실/NNG+로/JKB
옮겨	옮기/VV+어/EC
집중	집중/NNG
치료를	치료/NNG+를/JKO
계속	계속/MAG
받고	받/VV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"맑은	"/SS+맑/VA+은/ETM
공기를	공기/NNG+를/JKO
공급하는	공급/NNG+하/XSV+는/ETM
장치를	장치/NNG+를/JKO
입과	입/NNG+과/JC
코에	코/NNG+에/JKB
연결해	연결/NNG+하/XSV+아/EC
말을	말/NNG+을/JKO
하기	하/VV+기/ETN
어렵다"고	어렵/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.361.4.2
하지만 김 전 대통령이 위중한 상태는 아닌 것으로 전해졌다.

하지만	하지만/MAJ
김	김/NNP
