# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.207
metadata : {}


# id : NWRW1800000041.207.1.1
줄소송-운항정지… 충격의 아시아나

줄소송-운항정지…	줄소송/NNG+-/SO+운항/NNG+정지/NNG+…/SE
충격의	충격/NNG+의/JKG
아시아나	아시아나/NNP


# id : NWRW1800000041.207.2.1
美NTSB “작년 착륙사고는 조종사 과실” 결론

美NTSB	美/SH+NTSB/SL
“작년	“/SS+작년/NNG
착륙사고는	착륙/NNG+사고/NNG+는/JX
조종사	조종사/NNG
과실”	과실/NNG+”/SS
결론	결론/NNG


# id : NWRW1800000041.207.3.1
2013년 7월 6일 미국 샌프란시스코에서 추락한 아시아나항공 보잉777기의 사고 원인은 조종사 과실이라는 판정이 내려졌다.

2013년	2013/SN+년/NNB
7월	7/SN+월/NNB
6일	6/SN+일/NNB
미국	미국/NNP
샌프란시스코에서	샌프란시스코/NNP+에서/JKB
추락한	추락/NNG+하/XSV+ㄴ/ETM
아시아나항공	아시아나항공/NNP
보잉777기의	보잉777기/NNP+의/JKG
사고	사고/NNG
원인은	원인/NNG+은/JX
조종사	조종사/NNG
과실이라는	과실/NNG+이/VCP+라는/ETM
판정이	판정/NNG+이/JKS
내려졌다.	내려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.207.3.2
미국 국가교통안전위원회(NTSB)는 24일(현지 시간) 오전 9시 반부터 이사회 전체회의를 열어 이런 내용의 최종 보고서를 채택했다.

미국	미국/NNP
국가교통안전위원회(NTSB)는	국가교통안전위원회/NNP+(/SS+NTSB/SL+)/SS+는/JX
24일(현지	24/SN+일/NNB+(/SS+현지/NNG
시간)	시간/NNG+)/SS
오전	오전/NNG
9시	9/SN+시/NNB
반부터	반/NNG+부터/JX
이사회	이사회/NNG
전체회의를	전체/NNG+회의/NNG+를/JKO
열어	열/VV+어/EC
이런	이런/MMD
내용의	내용/NNG+의/JKG
최종	최종/NNG
보고서를	보고서/NNG+를/JKO
채택했다.	채택/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.207.3.3
그러나 위원회는 보잉사의 자동비행장치 등도 부차적인 사고 원인이라며 설계 변경 등을 권고했다.

그러나	그러나/MAJ
위원회는	위원회/NNG+는/JX
보잉사의	보잉사/NNP+의/JKG
자동비행장치	자동/NNG+비행/NNG+장치/NNG
등도	등/NNB+도/JX
부차적인	부차/NNG+적/XSN+이/VCP+ㄴ/ETM
사고	사고/NNG
원인이라며	원인/NNG+이/VCP+라며/EC
설계	설계/NNG
변경	변경/NNG
등을	등/NNB+을/JKO
권고했다.	권고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.207.4.1
크리스토퍼 하트 NTSB 위원장 대행은 이날 오후 1시 내외신 기자회견에서 “비정상적인 상황을 통제해야 할 최종적인 책임은 조종사에게 있다”며 사고의 기본 책임은 조종사들에게 있다고 밝혔다.

크리스토퍼	크리스토퍼/NNP
하트	하트/NNP
NTSB	NTSB/SL
위원장	위원장/NNG
대행은	대행/NNG+은/JX
이날	이날/NNG
오후	오후/NNG
1시	1/SN+시/NNB
내외신	내외신/NNG
기자회견에서	기자/NNG+회견/NNG+에서/JKB
“비정상적인	“/SS+비/XPN+정상/NNG+적/XSN+이/VCP+ㄴ/ETM
상황을	상황/NNG+을/JKO
통제해야	통제/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
최종적인	최종/NNG+적/XSN+이/VCP+ㄴ/ETM
책임은	책임/NNG+은/JX
조종사에게	조종사/NNG+에게/JKB
있다”며	있/VA+다/EF+”/SS+며/EC
사고의	사고/NNG+의/JKG
기본	기본/NNG
조종사들에게	조종사/NNG+들/XSN+에게/JKB
있다고	있/VA+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.207.4.2
그는 “조종사들은 훌륭한 기록을 가진 노련한 승무원들이었지만 (항공기의) 자동화 장치에 대한 이해가 부족했다”고 설명했다.

그는	그/NP+는/JX
“조종사들은	“/SS+조종사/NNG+들/XSN+은/JX
훌륭한	훌륭하/VA+ㄴ/ETM
