# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.148
metadata : {}


# id : NWRW1800000025.148.1.1
“6·25전쟁의 참상 생생히 그려 韓-美에 잊혀진 전쟁 환기시킬 것”

“6·25전쟁의	“/SS+6/SN+·/SP+25/SN+전쟁/NNG+의/JKG
참상	참상/NNG
생생히	생생히/MAG
그려	그리/VV+어/EC
韓-美에	韓/SH+-/SO+美/SH+에/JKB
잊혀진	잊혀지/VV+ㄴ/ETM
전쟁	전쟁/NNG
환기시킬	환기/NNG+시키/XSV+ㄹ/ETM
것”	것/NNB+”/SS


# id : NWRW1800000025.148.2.1
“학도병들은 제대로 된 지원도 받지 못한 채 단지 두 손만으로 싸웠습니다.

“학도병들은	“/SS+학도병/NNG+들/XSN+은/JX
제대로	제대로/MAG
된	되/VV+ㄴ/ETM
지원도	지원/NNG+도/JX
받지	받/VV+지/EC
못한	못하/VX+ㄴ/ETM
채	채/NNB
단지	단지/MAG
두	두/MMN
손만으로	손/NNG+만/JX+으로/JKB
싸웠습니다.	싸우/VV+었/EP+습니다/EF+./SF


# id : NWRW1800000025.148.2.2
그들이 보여주었던 영웅적인 행동과 희생정신에 존경을 표합니다.”

그들이	그/NP+들/XSN+이/JKS
보여주었던	보이/VV+어/EC+주/VX+었/EP+던/ETM
영웅적인	영웅/NNG+적/XSN+이/VCP+ㄴ/ETM
행동과	행동/NNG+과/JC
희생정신에	희생정신/NNG+에/JKB
존경을	존경/NNG+을/JKO
표합니다.”	표/NNG+하/XSV+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000025.148.3.1
미국의 존 스티븐스 중령(89)은 1950년 8월 부산에 도착했다.

미국의	미국/NNP+의/JKG
존	존/NNP
스티븐스	스티븐스/NNP
중령(89)은	중령/NNG+(/SS+89/SN+)/SS+은/JX
1950년	1950/SN+년/NNB
8월	8/SN+월/NNB
부산에	부산/NNP+에/JKB
도착했다.	도착/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.148.3.2
그는 ‘부산 해두보(Pusan Perimeter)’라고 불린 ‘낙동강 방어선’을 지켰던 몇 번의 전투에 참전했다.

그는	그/NP+는/JX
‘부산	‘/SS+부산/NNP
해두보(Pusan	해두보/NNG+(/SS+Pusan/SL
Perimeter)’라고	Perimeter/SL+)/SS+’/SS+이라고/JKQ
불린	불리/VV+ㄴ/ETM
‘낙동강	‘/SS+낙동강/NNP
방어선’을	방어선/NNG+’/SS+을/JKO
지켰던	지키/VV+었/EP+던/ETM
몇	몇/NR
번의	번/NNB+의/JKG
전투에	전투/NNG+에/JKB
참전했다.	참전/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.148.3.3
9월에는 인천상륙작전에 참가했고 11월에는 사망 1029명, 부상 4582명을 기록하며 미 해병대 역사상 가장 치열했던 전투 중 하나로 기록된 ‘장진호 전투’에서도 싸웠다.

9월에는	9/SN+월/NNB+에/JKB+는/JX
인천상륙작전에	인천/NNP+상륙/NNG+작전/NNG+에/JKB
참가했고	참가/NNG+하/XSV+았/EP+고/EC
11월에는	11/SN+월/NNB+에/JKB+는/JX
사망	사망/NNG
1029명,	1029/SN+명/NNB+,/SP
부상	부상/NNG
4582명을	4582/SN+명/NNB+을/JKO
기록하며	기록/NNG+하/XSV+며/EC
미	미/NNP
해병대	해병대/NNG
역사상	역사/NNG+상/XSN
가장	가장/MAG
치열했던	치열/NNG+하/XSA+았/EP+던/ETM
전투	전투/NNG
중	중/NNB
하나로	하나/NR+로/JKB
기록된	기록/NNG+되/XSV+ㄴ/ETM
‘장진호	‘/SS+장진호/NNP
전투’에서도	전투/NNG+’/SS+에서/JKB+도/JX
싸웠다.	싸우/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.148.3.4
“한국전쟁은 내 인생에서 가장 큰 사건이었고 공산군은 잔인했습니다.

“한국전쟁은	“/SS+한국/NNP+전쟁/NNG+은/JX
내	나/NP+의/JKG
인생에서	인생/NNG+에서/JKB
가장	가장/MAG
큰	크/VA+ㄴ/ETM
사건이었고	사건/NNG+이/VCP+었/EP+고/EC
공산군은	공산군/NNG+은/JX
