# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.21
metadata : {}


# id : NWRW1800000052.21.1.1
은행들 CD금리 담합·한진 총수일가 ‘일감 몰아주기’ 공정위, 6월중 제재 수위 결정

은행들	은행/NNG+들/XSN
CD금리	CD/SL+금리/NNG
담합·한진	담합/NNG+·/SP+한진/NNP
총수일가	총수/NNG+일가/NNG
‘일감	‘/SS+일감/NNG
몰아주기’	몰아주기/NNG+’/SS
공정위,	공정위/NNG+,/SP
6월중	6/SN+월/NNB+중/NNB
제재	제재/NNG
수위	수위/NNG
결정	결정/NNG


# id : NWRW1800000052.21.2.1
2012년 6개 은행 조사 시작

2012년	2012/SN+년/NNB
6개	6/SN+개/NNB
은행	은행/NNG
조사	조사/NNG
시작	시작/NNG


# id : NWRW1800000052.21.3.1
증거 확보에만 4년이나 걸려

증거	증거/NNG
확보에만	확보/NNG+에/JKB+만/JX
4년이나	4/SN+년/NNB+이나/JX
걸려	걸리/VV+어/EF


# id : NWRW1800000052.21.4.1
“피해자 500만·피해액 4조” 주장도

“피해자	“/SS+피해자/NNG
500만·피해액	500/SN+만/NR+·/SP+피해액/NNG
4조”	4/SN+조/NR+”/SS
주장도	주장/NNG+도/JX


# id : NWRW1800000052.21.5.1
조 회장 일가 소유 싸이버스카이

조	조/NNP
회장	회장/NNG
일가	일가/NNG
소유	소유/NNG
싸이버스카이	싸이버스카이/NNP


# id : NWRW1800000052.21.6.1
계열사 일감 지원으로 부당이득

계열사	계열사/NNG
일감	일감/NNG
지원으로	지원/NNG+으로/JKB
부당이득	부당/NNG+이득/NNG


# id : NWRW1800000052.21.7.1
한화·CJ 등도 순차적 제재키로

한화·CJ	한화/NNP+·/SP+CJ/SL
등도	등/NNB+도/JX
순차적	순차/NNG+적/XSN
제재키로	제재/NNG+하/XSV+기/ETN+로/JKB


# id : NWRW1800000052.21.8.1
공정거래위원회가 6월 중에 은행 양도성예금증서(CD) 담합 사건과 한진그룹 조양호 회장 일가의 ‘일감 몰아주기’ 사건을 제재한다.

공정거래위원회가	공정/NNG+거래/NNG+위원회/NNG+가/JKS
6월	6/SN+월/NNB
중에	중/NNB+에/JKB
은행	은행/NNG
양도성예금증서(CD)	양도/NNG+성/XSN+예금/NNG+증서/NNG+(/SS+CD/SL+)/SS
담합	담합/NNG
사건과	사건/NNG+과/JC
한진그룹	한진그룹/NNP
조양호	조양호/NNP
