# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.141
metadata : {}


# id : NWRW1800000032.141.1.1
“런던 올림픽 치안 못 믿겠다” 미, 영국에 보안요원 1000명 파견

“런던	“/SS+런던/NNP
올림픽	올림픽/NNG
치안	치안/NNG
못	못/MAG
믿겠다”	믿/VV+겠/EP+다/EF+”/SS
미,	미/NNP+,/SP
영국에	영국/NNP+에/JKB
보안요원	보안/NNG+요원/NNG
1000명	1000/SN+명/NNB
파견	파견/NNG


# id : NWRW1800000032.141.2.1
경찰 현황 등 요구하자

경찰	경찰/NNG
현황	현황/NNG
등	등/NNB
요구하자	요구/NNG+하/XSV+자/EC


# id : NWRW1800000032.141.3.1
영 “지나친 간섭” 반발

영	영/NNP
“지나친	“/SS+지나치/VA+ㄴ/ETM
간섭”	간섭/NNG+”/SS
반발	반발/NNG


# id : NWRW1800000032.141.4.1
미국이 2012년 영국 런던 올림픽 때 연방수사국(FBI) 요원 500명 등 1000여명을 파견할 계획이다.

미국이	미국/NNP+이/JKS
2012년	2012/SN+년/NNB
영국	영국/NNP
런던	런던/NNP
올림픽	올림픽/NNG
때	때/NNG
연방수사국(FBI)	연방수사국/NNP+(/SS+FBI/SL+)/SS
요원	요원/NNG
500명	500/SN+명/NNB
등	등/NNB
1000여명을	1000/SN+여/XSN+명/NNB+을/JKO
파견할	파견/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.141.4.2
런던올림픽의 보안·경비에 의구심을 제기하며 자국 선수들과 외교관은 스스로 보호하겠다는 것이다.

런던올림픽의	런던/NNP+올림픽/NNG+의/JKG
보안·경비에	보안/NNG+·/SP+경비/NNG+에/JKB
의구심을	의구심/NNG+을/JKO
제기하며	제기/NNG+하/XSV+며/EC
자국	자국/NNG
선수들과	선수/NNG+들/XSN+과/JC
외교관은	외교관/NNG+은/JX
스스로	스스로/MAG
보호하겠다는	보호/NNG+하/XSV+겠/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.141.4.3
영국 정부 안에서도 “지나친 간섭”이란 말이 나온다.

영국	영국/NNP
정부	정부/NNG
안에서도	안/NNG+에서/JKB+도/JX
“지나친	“/SS+지나치/VA+ㄴ/ETM
간섭”이란	간섭/NNG+”/SS+이/VCP+란/ETM
말이	말/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.141.5.1
영국이 테러 용의자에 대한 불심검문 권한을 제한한 데 대해 미국 정부 관계자들이 깊은 우려를 표시하면서 올림픽 기간 동안 배치될 수 있는 영국 경찰과 보안요원 숫자 등 내역을 요구하고 있다고 영국 일간 <가디언>이 13일 보도했다.

영국이	영국/NNP+이/JKS
테러	테러/NNG
용의자에	용의자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
불심검문	불심/NNG+검문/NNG
권한을	권한/NNG+을/JKO
제한한	제한/NNG+하/XSV+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
미국	미국/NNP
정부	정부/NNG
관계자들이	관계자/NNG+들/XSN+이/JKS
깊은	깊/VA+은/ETM
우려를	우려/NNG+를/JKO
표시하면서	표시/NNG+하/XSV+면서/EC
올림픽	올림픽/NNG
기간	기간/NNG
동안	동안/NNG
배치될	배치/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
영국	영국/NNP
경찰과	경찰/NNG+과/JC
보안요원	보안/NNG+요원/NNG
숫자	숫자/NNG
등	등/NNB
내역을	내역/NNG+을/JKO
요구하고	요구/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
일간	일간/NNG
<가디언>이	</SS+가디언/NNP+>/SS+이/JKS
13일	13/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.141.6.1
미국 쪽의 이런 요구는 런던올림픽의 보안·경비 준비 상태가 미흡하다는 판단에 따른 것으로 보인다.

미국	미국/NNP
쪽의	쪽/NNB+의/JKG
이런	이런/MMD
요구는	요구/NNG+는/JX
런던올림픽의	런던/NNP+올림픽/NNG+의/JKG
보안·경비	보안/NNG+·/SP+경비/NNG
준비	준비/NNG
상태가	상태/NNG+가/JKS
미흡하다는	미흡/NNG+하/XSA+다는/ETM
판단에	판단/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.141.6.2
런던올림픽조직위원회(LOCOG)는 전국 32개 경기장에 1만여명의 보안·경비 인력이 필요하다고 했다가, 올 여름에서야 그 수를 2만1000명까지 늘려야 한다고 수정했다.

런던올림픽조직위원회(LOCOG)는	런던올림픽조직위원회/NNP+(/SS+LOCOG/SL+)/SS+는/JX
전국	전국/NNG
32개	32/SN+개/NNB
경기장에	경기장/NNG+에/JKB
1만여명의	1/SN+만/NR+여/XSN+명/NNB+의/JKG
보안·경비	보안/NNG+·/SP+경비/NNG
인력이	인력/NNG+이/JKS
필요하다고	필요/NNG+하/XSA+다고/EC
했다가,	하/VV+았/EP+다가/EC+,/SP
올	올/NNG
여름에서야	여름/NNG+에서/JKB+야/JX
그	그/MMD
수를	수/NNG+를/JKO
2만1000명까지	2/SN+만/NR+1000/SN+명/NNB+까지/JX
늘려야	늘리/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
수정했다.	수정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.141.6.3
급한 대로, 국방부가 군인 3000명과 예비군 2000명을 동원하겠다고 나섰지만, 여전히 5000명가량이 부족해 올림픽 8개월을 앞두고 비상이 걸린 상태다.

급한	급하/VA+ㄴ/ETM
대로,	대로/NNB+,/SP
국방부가	국방부/NNG+가/JKS
군인	군인/NNG
3000명과	3000/SN+명/NNB+과/JC
예비군	예비군/NNG
2000명을	2000/SN+명/NNB+을/JKO
동원하겠다고	동원/NNG+하/XSV+겠/EP+다고/EC
나섰지만,	나서/VV+었/EP+지만/EC+,/SP
여전히	여전히/MAG
5000명가량이	5000/SN+명/NNB+가량/XSN+이/JKS
부족해	부족/NNG+하/XSA+아/EC
올림픽	올림픽/NNG
8개월을	8/SN+개월/NNB+을/JKO
앞두고	앞두/VV+고/EC
비상이	비상/NNG+이/JKS
걸린	걸리/VV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.141.7.1
사정이 이렇다 보니, 미국은 연방수사국 요원을 포함해 일부 무장한 보안 인력을 직접 파견하게 해달라고 요구하고 있다.

사정이	사정/NNG+이/JKS
이렇다	이렇/VA+다/EF
보니,	보/VX+니/EC+,/SP
미국은	미국/NNP+은/JX
연방수사국	연방수사국/NNP
요원을	요원/NNG+을/JKO
포함해	포함/NNG+하/XSV+아/EC
일부	일부/NNG
무장한	무장/NNG+하/XSV+ㄴ/ETM
보안	보안/NNG
인력을	인력/NNG+을/JKO
직접	직접/MAG
파견하게	파견/NNG+하/XSV+게/EC
해달라고	하/VX+아/EC+달/VX+라고/EC
요구하고	요구/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.141.7.2
런던올림픽 기간, 알카에다나 그 연계 조직의 미국팀 선수 테러 가능성을 염려하고 있는 미국은 올 여름 런던 폭동 사태 때 보여준 영국 경찰의 부실 대처 등에 의구심을 보내고 있다.

런던올림픽	런던/NNP+올림픽/NNG
기간,	기간/NNG+,/SP
알카에다나	알카에다/NNP+나/JC
그	그/MMD
연계	연계/NNG
조직의	조직/NNG+의/JKG
미국팀	미국/NNP+팀/NNG
선수	선수/NNG
테러	테러/NNG
가능성을	가능/NNG+성/XSN+을/JKO
염려하고	염려/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
미국은	미국/NNP+은/JX
올	올/NNG
여름	여름/NNG
런던	런던/NNP
폭동	폭동/NNG
사태	사태/NNG
때	때/NNG
보여준	보이/VV+어/EC+주/VX+ㄴ/ETM
영국	영국/NNP
경찰의	경찰/NNG+의/JKG
부실	부실/NNG
대처	대처/NNG
등에	등/NNB+에/JKB
의구심을	의구심/NNG+을/JKO
보내고	보내/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.141.7.3
특히 미국은 테러 용의자를 불심검문하는 경찰관에게 사실상의 면책권을 부여했던 ‘테러법 44항’이 폐지된 데 대해 심각한 우려를 나타낸 것으로 알려졌다.

특히	특히/MAG
미국은	미국/NNP+은/JX
테러	테러/NNG
용의자를	용의자/NNG+를/JKO
불심검문하는	불심/NNG+검문/NNG+하/XSV+는/ETM
경찰관에게	경찰관/NNG+에게/JKB
사실상의	사실/NNG+상/XSN+의/JKG
면책권을	면책/NNG+권/XSN+을/JKO
부여했던	부여/NNG+하/XSV+았/EP+던/ETM
‘테러법	‘/SS+테러/NNG+법/NNG
44항’이	44/SN+항/NNG+’/SS+이/JKS
폐지된	폐지/NNG+되/XSV+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
심각한	심각하/VA+ㄴ/ETM
우려를	우려/NNG+를/JKO
나타낸	나타내/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.141.8.1
선수단 등의 안전을 걱정하는 미국 정부를 이해못할 바는 아니지만 영국 쪽에선 지나친 간섭이라는 비판도 나온다.

선수단	선수단/NNG
등의	등/NNB+의/JKG
안전을	안전/NNG+을/JKO
걱정하는	걱정/NNG+하/XSV+는/ETM
미국	미국/NNP
정부를	정부/NNG+를/JKO
이해못할	이해/NNG+못/MAG+하/VV+ㄹ/ETM
바는	바/NNB+는/JX
아니지만	아니/VCN+지만/EC
영국	영국/NNP
쪽에선	쪽/NNB+에서/JKB+ㄴ/JX
