# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.238
metadata : {}


# id : NWRW1800000032.238.1.1
김두우 전 수석 21일 소환

김두우	김두우/NNP
전	전/MMD
수석	수석/NNG
21일	21/SN+일/NNB
소환	소환/NNG


# id : NWRW1800000032.238.2.1
박태규에 1억대 수수 혐의

박태규에	박태규/NNP+에/JKB
1억대	1/SN+억/NR+대/XSN
수수	수수/NNG
혐의	혐의/NNG


# id : NWRW1800000032.238.3.1
검찰, 구속영장 청구 방침

검찰,	검찰/NNG+,/SP
구속영장	구속/NNG+영장/NNG
청구	청구/NNG
방침	방침/NNG


# id : NWRW1800000032.238.4.1
대검찰청 중앙수사부(부장 최재경)는 로비스트 박태규(71·구속 기소)씨에게서 부산저축은행그룹의 구명 청탁과 함께 1억원 상당의 금품을 받은 의혹을 사고 있는 김두우(54·사진) 전 청와대 홍보수석을 21일 오전 9시에 불러 조사한다고 19일 밝혔다.

대검찰청	대/XPN+검찰청/NNG
중앙수사부(부장	중앙/NNG+수사부/NNG+(/SS+부장/NNG
최재경)는	최재경/NNP+)/SS+는/JX
로비스트	로비스트/NNG
박태규(71·구속	박태규/NNP+(/SS+71/SN+·/SP+구속/NNG
기소)씨에게서	기소/NNG+)/SS+씨/NNB+에게서/JKB
부산저축은행그룹의	부산저축은행그룹/NNP+의/JKG
구명	구명/NNG
청탁과	청탁/NNG+과/JKB
함께	함께/MAG
1억원	1/SN+억/NR+원/NNB
상당의	상당/NNG+의/JKG
금품을	금품/NNG+을/JKO
받은	받/VV+은/ETM
의혹을	의혹/NNG+을/JKO
사고	사/VV+고/EC
있는	있/VX+는/ETM
김두우(54·사진)	김두우/NNP+(/SS+54/SN+·/SP+사진/NNG+)/SS
전	전/MMD
청와대	청와대/NNP
홍보수석을	홍보/NNG+수석/NNG+을/JKO
21일	21/SN+일/NNB
오전	오전/NNG
9시에	9/SN+시/NNB+에/JKB
불러	부르/VV+어/EC
조사한다고	조사/NNG+하/XSV+ㄴ다고/EC
19일	19/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.238.5.1
검찰은 김 전 수석의 혐의가 확인되는 대로 구속영장을 청구할 방침이다.

검찰은	검찰/NNG+은/JX
김	김/NNP
전	전/MMD
수석의	수석/NNG+의/JKG
혐의가	혐의/NNG+가/JKS
확인되는	확인/NNG+되/XSV+는/ETM
대로	대로/NNB
구속영장을	구속/NNG+영장/NNG+을/JKO
청구할	청구/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.238.6.1
검찰은 박씨에게서 부산저축은행그룹이 퇴출 위기에 몰린 지난해 이 그룹의 로비 대행을 부탁받고 김 전 수석에게 여러 차례에 걸쳐 상품권 등 1억원의 금품을 전달했다는 진술을 확보한 것으로 알려졌다.

검찰은	검찰/NNG+은/JX
박씨에게서	박/NNP+씨/NNB+에게서/JKB
부산저축은행그룹이	부산저축은행그룹/NNP+이/JKS
퇴출	퇴출/NNG
위기에	위기/NNG+에/JKB
몰린	몰리/VV+ㄴ/ETM
지난해	지난해/NNG
이	이/MMD
그룹의	그룹/NNG+의/JKG
로비	로비/NNG
대행을	대행/NNG+을/JKO
부탁받고	부탁/NNG+받/XSV+고/EC
김	김/NNP
전	전/MMD
수석에게	수석/NNG+에게/JKB
여러	여러/MMN
차례에	차례/NNG+에/JKB
